model,cntr,crop,component,dln
ipsl-cm6a-lr,SE,Winter barley,heat_mj,0.0039331998629375
ec-earth3,SK,Winter barley,heat_mj,0.0225229287150583
ipsl-cm6a-lr,SK,Winter barley,heat_mj,0.0304562627042568
ec-earth3,CZ,Soft wheat,frost_mj,0.0381135388702298
ipsl-cm6a-lr,CZ,Soft wheat,frost_mj,0.0366812317807264
ec-earth3,DE,Soft wheat,frost_mj,0.0272668759627527
ipsl-cm6a-lr,DE,Soft wheat,frost_mj,0.0279911804045615
ec-earth3,DK,Soft wheat,frost_mj,0.026172815287066
ipsl-cm6a-lr,DK,Soft wheat,frost_mj,0.0268206699781784
ec-earth3,EE,Soft wheat,frost_mj,0.0654300863560249
ipsl-cm6a-lr,EE,Soft wheat,frost_mj,0.0558590342233235
ec-earth3,EL,Soft wheat,frost_mj,0.0144105373974203
ipsl-cm6a-lr,EL,Soft wheat,frost_mj,0.0126300583522374
ec-earth3,ES,Soft wheat,frost_mj,0.0166274286981061
ipsl-cm6a-lr,ES,Soft wheat,frost_mj,0.0130875736294907
ec-earth3,FI,Soft wheat,frost_mj,0.0815763266903702
ipsl-cm6a-lr,FI,Soft wheat,frost_mj,0.0653706387472312
ec-earth3,FR,Soft wheat,frost_mj,0.0128018872187063
ipsl-cm6a-lr,FR,Soft wheat,frost_mj,0.0158992760939267
ec-earth3,HU,Soft wheat,frost_mj,0.0184911621796121
ipsl-cm6a-lr,HU,Soft wheat,frost_mj,0.0214323521851347
ec-earth3,IT,Soft wheat,frost_mj,0.00942294474326883
ipsl-cm6a-lr,IT,Soft wheat,frost_mj,0.0109556114197287
ec-earth3,LT,Soft wheat,frost_mj,0.052022811007674
ipsl-cm6a-lr,LT,Soft wheat,frost_mj,0.0408899578953594
ec-earth3,LV,Soft wheat,frost_mj,0.057376813490473
ipsl-cm6a-lr,LV,Soft wheat,frost_mj,0.0453323124608405
ec-earth3,RO,Soft wheat,frost_mj,0.0211832872797816
ipsl-cm6a-lr,RO,Soft wheat,frost_mj,0.0193163360273615
ec-earth3,SE,Soft wheat,frost_mj,0.0543447107238696
ipsl-cm6a-lr,SE,Soft wheat,frost_mj,0.0469395068395809
ec-earth3,SK,Soft wheat,frost_mj,0.0291908602637371
ipsl-cm6a-lr,SK,Soft wheat,frost_mj,0.0333797333906469
ec-earth3,EL,Durum wheat,frost_mj,0.0233182172575952
ipsl-cm6a-lr,EL,Durum wheat,frost_mj,0.0201656335351305
ec-earth3,ES,Durum wheat,frost_mj,0.00814685068114437
ipsl-cm6a-lr,ES,Durum wheat,frost_mj,0.00701113245193881
ec-earth3,FR,Durum wheat,frost_mj,0.0210841639023596
ipsl-cm6a-lr,FR,Durum wheat,frost_mj,0.0244958292172958
ec-earth3,HU,Durum wheat,frost_mj,0.0370175893608724
ipsl-cm6a-lr,HU,Durum wheat,frost_mj,0.0440536903130709
ec-earth3,IT,Durum wheat,frost_mj,0.00642047564735123
ipsl-cm6a-lr,IT,Durum wheat,frost_mj,0.00773611742995606
ec-earth3,RO,Durum wheat,frost_mj,0.047538960976186
ipsl-cm6a-lr,RO,Durum wheat,frost_mj,0.0427890231899456
ec-earth3,SK,Durum wheat,frost_mj,0.0552295837217669
ipsl-cm6a-lr,SK,Durum wheat,frost_mj,0.064531607465253
ec-earth3,CZ,Spring barley,frost_mj,0.0233338053633366
ipsl-cm6a-lr,CZ,Spring barley,frost_mj,0.0225145391610014
ec-earth3,DE,Spring barley,frost_mj,0.017517671365922
ipsl-cm6a-lr,DE,Spring barley,frost_mj,0.0173570184033383
ec-earth3,DK,Spring barley,frost_mj,0.0155694389608621
ipsl-cm6a-lr,DK,Spring barley,frost_mj,0.0160881473206186
ec-earth3,EE,Spring barley,frost_mj,0.040190531544745
ipsl-cm6a-lr,EE,Spring barley,frost_mj,0.0344461050241329
ec-earth3,ES,Spring barley,frost_mj,0.0102559756811709
ipsl-cm6a-lr,ES,Spring barley,frost_mj,0.00815235564648501
ec-earth3,FI,Spring barley,frost_mj,0.0503072830943286
ipsl-cm6a-lr,FI,Spring barley,frost_mj,0.0400092264848172
ec-earth3,FR,Spring barley,frost_mj,0.00886974224398901
ipsl-cm6a-lr,FR,Spring barley,frost_mj,0.0113106385208617
ec-earth3,HU,Spring barley,frost_mj,0.0119791125902796
