model,bin_id,delta_sv,n_years,hos_year,component,dln
IPSL-CM6A-LR,-4.5,-4.229,1,36,heat_mj,0.00187924318341215
IPSL-CM6A-LR,-3.5,-3.7165,1,37,heat_mj,-0.00418507885962355
IPSL-CM6A-LR,-5.5,-5.1443,1,38,heat_mj,0.0082594724705917
IPSL-CM6A-LR,-4.5,-4.9696,1,39,heat_mj,0.00511462791090074
IPSL-CM6A-LR,-3.5,-3.7356,1,40,heat_mj,0.00117321513738535
IPSL-CM6A-LR,-4.5,-4.1062,1,41,heat_mj,0.00230964621388293
IPSL-CM6A-LR,-4.5,-4.777,1,42,heat_mj,-0.00272907612434337
IPSL-CM6A-LR,-5.5,-5.5255,1,43,heat_mj,0.00957903126969616
IPSL-CM6A-LR,-5.5,-5.6091,1,44,heat_mj,0.00543760519657108
IPSL-CM6A-LR,-5.5,-5.0614,1,45,heat_mj,0.00802658298980192
IPSL-CM6A-LR,-4.5,-4.0228,1,46,heat_mj,0.000802735737755019
IPSL-CM6A-LR,-3.5,-3.5681,1,47,heat_mj,0.00972660092012147
IPSL-CM6A-LR,-4.5,-4.7253,1,48,heat_mj,0.00617800139847715
IPSL-CM6A-LR,-5.5,-5.7852,1,49,heat_mj,0.00162764294588465
IPSL-CM6A-LR,-5.5,-5.6439,1,50,heat_mj,0.00552660811959945
IPSL-CM6A-LR,-5.5,-5.7916,1,51,heat_mj,0.00248316692629979
IPSL-CM6A-LR,-7.5,-7.5335,1,52,heat_mj,0.000180080426349239
IPSL-CM6A-LR,-6.5,-6.8874,1,53,heat_mj,-0.00315190342904243
IPSL-CM6A-LR,-5.5,-5.5267,1,54,heat_mj,0.0136561325477885
IPSL-CM6A-LR,-5.5,-5.319,1,55,heat_mj,-2.13767315607588e-06
IPSL-CM6A-LR,-5.5,-5.9791,1,56,heat_mj,0.0106939654527993
IPSL-CM6A-LR,-8.5,-8.0124,1,57,heat_mj,0.0109422827687065
IPSL-CM6A-LR,-6.5,-6.674,1,58,heat_mj,0.00963054383820005
IPSL-CM6A-LR,-5.5,-5.697,1,59,heat_mj,0.00242369605561207
IPSL-CM6A-LR,-7.5,-7.0038,1,60,heat_mj,-0.00350671556723213
IPSL-CM6A-LR,-7.5,-7.4198,1,61,heat_mj,0.00208017515940788
IPSL-CM6A-LR,-6.5,-6.1575,1,62,heat_mj,0.00158651028679779
IPSL-CM6A-LR,-7.5,-7.0646,1,63,heat_mj,-8.918115313103e-05
IPSL-CM6A-LR,-5.5,-5.9699,1,64,heat_mj,0.00234644932494121
IPSL-CM6A-LR,-6.5,-6.6177,1,65,heat_mj,0.014089849331697
IPSL-CM6A-LR,-6.5,-6.4034,1,66,heat_mj,0.00781451832576499
IPSL-CM6A-LR,-7.5,-7.4208,1,67,heat_mj,0.00590346743653442
IPSL-CM6A-LR,-6.5,-6.7989,1,68,heat_mj,0.00605352275818767
IPSL-CM6A-LR,-7.5,-7.6028,1,69,heat_mj,0.00724791305270043
IPSL-CM6A-LR,-7.5,-7.1661,1,70,heat_mj,0.0029932751245682
IPSL-CM6A-LR,-7.5,-7.4013,1,71,heat_mj,0.0111265145467337
IPSL-CM6A-LR,-7.5,-7.6406,1,72,heat_mj,0.00557855875210885
IPSL-CM6A-LR,-6.5,-6.5805,1,73,heat_mj,0.00762071013669647
IPSL-CM6A-LR,-7.5,-7.7579,1,74,heat_mj,0.00652352458306955
IPSL-CM6A-LR,-7.5,-7.9349,1,75,heat_mj,0.0127760683337166
IPSL-CM6A-LR,-7.5,-7.941,1,76,heat_mj,0.0114879162954728
IPSL-CM6A-LR,-8.5,-8.2695,1,77,heat_mj,0.0116788063172352
IPSL-CM6A-LR,-7.5,-7.5299,1,78,heat_mj,0.00417883505535814
IPSL-CM6A-LR,-6.5,-6.2088,1,79,heat_mj,0.00635650658857649
IPSL-CM6A-LR,-7.5,-7.6756,1,80,heat_mj,0.00723553350769493
IPSL-CM6A-LR,-6.5,-6.6415,1,81,heat_mj,0.00186302444542542
IPSL-CM6A-LR,-8.5,-8.0555,1,82,heat_mj,0.00424164548877531
IPSL-CM6A-LR,-7.5,-7.3084,1,84,heat_mj,0.0108195042266626
IPSL-CM6A-LR,-9.5,-9.384,1,85,heat_mj,0.00419332450101584
IPSL-CM6A-LR,-7.5,-7.4004,1,86,heat_mj,0.0114318943703329
IPSL-CM6A-LR,-8.5,-8.3239,1,87,heat_mj,0.0111945651887634
IPSL-CM6A-LR,-7.5,-7.7418,1,88,heat_mj,0.00788458890779246
IPSL-CM6A-LR,-9.5,-9.1721,1,89,heat_mj,0.00784231027426944
IPSL-CM6A-LR,-8.5,-8.5532,1,90,heat_mj,0.0113649670534912
IPSL-CM6A-LR,-9.5,-9.0631,1,91,heat_mj,0.0116084283800911
IPSL-CM6A-LR,-9.5,-9.9064,1,92,heat_mj,0.0135759826157247
IPSL-CM6A-LR,-7.5,-7.5646,1,93,heat_mj,0.00351663263278512
IPSL-CM6A-LR,-8.5,-8.6305,1,94,heat_mj,0.0110022978405577
IPSL-CM6A-LR,-9.5,-9.1749,1,95,heat_mj,0.00786099070081376
IPSL-CM6A-LR,-7.5,-7.8759,1,96,heat_mj,0.00605227284339379
IPSL-CM6A-LR,-6.5,-6.2615,1,97,heat_mj,0.00423288377019161
IPSL-CM6A-LR,-8.5,-8.9677,1,98,heat_mj,0.00786770357941518
IPSL-CM6A-LR,-8.5,-8.8657,1,99,heat_mj,0.00587891023876694
IPSL-CM6A-LR,-6.5,-6.9036,1,100,heat_mj,0.0055437499401487
IPSL-CM6A-LR,-0.5,-0.7613,1,1,frost_mj,0.00257231580196863
IPSL-CM6A-LR,-0.5,-0.9061,1,2,frost_mj,0.0130224065574611
IPSL-CM6A-LR,-2.5,-2.1752,1,3,frost_mj,-0.0248612465529554
IPSL-CM6A-LR,-0.5,-0.979,1,5,frost_mj,-0.00142800718275114
IPSL-CM6A-LR,-1.5,-1.6221,1,6,frost_mj,-0.00194771609827006
IPSL-CM6A-LR,-1.5,-1.1701,1,7,frost_mj,-0.0109684218159875
IPSL-CM6A-LR,-0.5,-0.5998,1,8,frost_mj,-0.0178952032867458
IPSL-CM6A-LR,-0.5,-0.1997,1,9,frost_mj,0.0154426865214843
IPSL-CM6A-LR,-0.5,-0.7418,1,10,frost_mj,0.0154549484485168
IPSL-CM6A-LR,-2.5,-2.713,1,11,frost_mj,-0.000410460191166965
IPSL-CM6A-LR,-1.5,-1.3383,1,12,frost_mj,-0.0247755670376302
IPSL-CM6A-LR,-0.5,-0.4327,1,13,frost_mj,-0.0166813968422746
IPSL-CM6A-LR,-0.5,-0.4569,1,14,frost_mj,-0.0132780561016761
IPSL-CM6A-LR,-1.5,-1.3271,1,15,frost_mj,-0.0502544274634239
IPSL-CM6A-LR,-1.5,-1.1959,1,16,frost_mj,-0.0154880204201622
IPSL-CM6A-LR,-2.5,-2.5833,1,17,frost_mj,-0.00530181742866603
IPSL-CM6A-LR,-2.5,-2.8658,1,18,frost_mj,-0.0122558364570363
IPSL-CM6A-LR,-1.5,-1.0916,1,19,frost_mj,-0.0613224076118999
IPSL-CM6A-LR,-3.5,-3.2099,1,20,frost_mj,-0.00635528418570402
IPSL-CM6A-LR,-2.5,-2.3795,1,21,frost_mj,-0.0220052343803045
IPSL-CM6A-LR,-3.5,-3.4662,1,22,frost_mj,-0.0444715580183389
IPSL-CM6A-LR,-2.5,-2.7286,1,23,frost_mj,0.0188273762232783
IPSL-CM6A-LR,-4.5,-4.0303,1,24,frost_mj,-0.0132615559256401
IPSL-CM6A-LR,-2.5,-2.8085,1,25,frost_mj,-0.00927289820028501
IPSL-CM6A-LR,-2.5,-2.5323,1,26,frost_mj,-0.0147143642939292
IPSL-CM6A-LR,-3.5,-3.0615,1,27,frost_mj,-0.0379978385194469
IPSL-CM6A-LR,-2.5,-2.3161,1,28,frost_mj,-0.026604684785829
IPSL-CM6A-LR,-3.5,-3.3374,1,29,frost_mj,0.00223687712433261
IPSL-CM6A-LR,-4.5,-4.2179,1,30,frost_mj,-0.0170609861805618
IPSL-CM6A-LR,-5.5,-5.2566,1,31,frost_mj,-0.0333852817534489
IPSL-CM6A-LR,-3.5,-3.6201,1,32,frost_mj,-0.0380719250270496
IPSL-CM6A-LR,-4.5,-4.2133,1,33,frost_mj,-0.0590436431819484
IPSL-CM6A-LR,-4.5,-4.3351,1,34,frost_mj,-0.0280079179560201
IPSL-CM6A-LR,-4.5,-4.2314,1,35,frost_mj,-0.0233018737414549
IPSL-CM6A-LR,-4.5,-4.229,1,36,frost_mj,-0.0171434161253245
IPSL-CM6A-LR,-3.5,-3.7165,1,37,frost_mj,-0.0161035812021965
IPSL-CM6A-LR,-5.5,-5.1443,1,38,frost_mj,-0.0365464379511645
IPSL-CM6A-LR,-4.5,-4.9696,1,39,frost_mj,-0.0228964176038189
IPSL-CM6A-LR,-3.5,-3.7356,1,40,frost_mj,-0.025390344733753
IPSL-CM6A-LR,-4.5,-4.1062,1,41,frost_mj,-0.0237326549539184
IPSL-CM6A-LR,-4.5,-4.777,1,42,frost_mj,-0.0408433415830774
IPSL-CM6A-LR,-5.5,-5.5255,1,43,frost_mj,-0.0163830028245262
IPSL-CM6A-LR,-5.5,-5.6091,1,44,frost_mj,-0.0588404333904499
IPSL-CM6A-LR,-5.5,-5.0614,1,45,frost_mj,-0.0336207181766235
IPSL-CM6A-LR,-4.5,-4.0228,1,46,frost_mj,-0.063485292860037
IPSL-CM6A-LR,-3.5,-3.5681,1,47,frost_mj,-0.0421910395990124
IPSL-CM6A-LR,-4.5,-4.7253,1,48,frost_mj,-0.0559970251798723
IPSL-CM6A-LR,-5.5,-5.7852,1,49,frost_mj,-0.010122826784227
IPSL-CM6A-LR,-5.5,-5.6439,1,50,frost_mj,-0.00125926798035727
IPSL-CM6A-LR,-5.5,-5.7916,1,51,frost_mj,-0.0347342999633762
IPSL-CM6A-LR,-7.5,-7.5335,1,52,frost_mj,-0.0477986975526615
IPSL-CM6A-LR,-6.5,-6.8874,1,53,frost_mj,-0.0216840175244024
IPSL-CM6A-LR,-5.5,-5.5267,1,54,frost_mj,-0.0577649751506541
IPSL-CM6A-LR,-5.5,-5.319,1,55,frost_mj,-0.0426775484396829
IPSL-CM6A-LR,-5.5,-5.9791,1,56,frost_mj,-0.0283008602021444
IPSL-CM6A-LR,-8.5,-8.0124,1,57,frost_mj,-0.0164556823217942
IPSL-CM6A-LR,-6.5,-6.674,1,58,frost_mj,-0.0758731461991553
IPSL-CM6A-LR,-5.5,-5.697,1,59,frost_mj,-0.0458449702659684
IPSL-CM6A-LR,-7.5,-7.0038,1,60,frost_mj,-0.0384632401191267
IPSL-CM6A-LR,-7.5,-7.4198,1,61,frost_mj,-0.0244271554914799
IPSL-CM6A-LR,-6.5,-6.1575,1,62,frost_mj,-0.0447799897082196
IPSL-CM6A-LR,-7.5,-7.0646,1,63,frost_mj,-0.0177775897332221
IPSL-CM6A-LR,-5.5,-5.9699,1,64,frost_mj,-0.050759500834005
IPSL-CM6A-LR,-6.5,-6.6177,1,65,frost_mj,-0.0664038984150778
IPSL-CM6A-LR,-6.5,-6.4034,1,66,frost_mj,-0.0867252403604296
IPSL-CM6A-LR,-7.5,-7.4208,1,67,frost_mj,-0.0688931310484711
IPSL-CM6A-LR,-6.5,-6.7989,1,68,frost_mj,-0.0816893047965452
IPSL-CM6A-LR,-7.5,-7.6028,1,69,frost_mj,-0.056428797252263
IPSL-CM6A-LR,-7.5,-7.1661,1,70,frost_mj,-0.0710010999445393
IPSL-CM6A-LR,-7.5,-7.4013,1,71,frost_mj,-0.0557486432037272
IPSL-CM6A-LR,-7.5,-7.6406,1,72,frost_mj,-0.0519678991027456
IPSL-CM6A-LR,-6.5,-6.5805,1,73,frost_mj,-0.0675160765363731
IPSL-CM6A-LR,-7.5,-7.7579,1,74,frost_mj,-0.0542785456878744
IPSL-CM6A-LR,-7.5,-7.9349,1,75,frost_mj,-0.0628559082552194
IPSL-CM6A-LR,-7.5,-7.941,1,76,frost_mj,-0.0344285446579593
IPSL-CM6A-LR,-8.5,-8.2695,1,77,frost_mj,-0.0477325221485876
IPSL-CM6A-LR,-7.5,-7.5299,1,78,frost_mj,-0.041260633856722
IPSL-CM6A-LR,-6.5,-6.2088,1,79,frost_mj,-0.0334310579503944
IPSL-CM6A-LR,-7.5,-7.6756,1,80,frost_mj,-0.0527013426137517
IPSL-CM6A-LR,-6.5,-6.6415,1,81,frost_mj,-0.0675863225807295
IPSL-CM6A-LR,-8.5,-8.0555,1,82,frost_mj,-0.0483752921540842
IPSL-CM6A-LR,-7.5,-7.3084,1,84,frost_mj,-0.0307074804256548
IPSL-CM6A-LR,-9.5,-9.384,1,85,frost_mj,-0.0698226032108079
IPSL-CM6A-LR,-7.5,-7.4004,1,86,frost_mj,-0.0562032864008954
IPSL-CM6A-LR,-8.5,-8.3239,1,87,frost_mj,-0.0621878971522287
IPSL-CM6A-LR,-7.5,-7.7418,1,88,frost_mj,-0.0539146171624013
IPSL-CM6A-LR,-9.5,-9.1721,1,89,frost_mj,-0.0693069077213132
