model,NUTS_ID,year,window,gdd,heat,frost,precip
ec-earth3,AL013,2016,Apr-Aug,2622.354,511.207,0.058,191.28
ec-earth3,AL013,2016,Mar-Jul,2075.969,336.959,1.173,288.341
ec-earth3,AL013,2017,Apr-Aug,2603.647,691.02,0.933,138.438
ec-earth3,AL013,2017,Mar-Jul,2102.316,402.598,1.302,202.61
ec-earth3,AL013,2018,Apr-Aug,2744.217,497.843,0,178.285
ec-earth3,AL013,2018,Mar-Jul,2183.852,281.902,5.219,397.467
ec-earth3,AL013,2019,Apr-Aug,2550.722,619.821,0,215.873
ec-earth3,AL013,2019,Mar-Jul,2019.956,348.096,1.622,237.502
ec-earth3,AL013,2020,Apr-Aug,2519.877,536.889,2.417,160.881
ec-earth3,AL013,2020,Mar-Jul,1969.23,320.244,4.932,219.127
ec-earth3,AL013,2021,Apr-Aug,2541.076,753.75,3.254,129.962
ec-earth3,AL013,2021,Mar-Jul,1924.237,469.718,10.815,205.244
ec-earth3,AL013,2022,Apr-Aug,2687.057,735.496,0.699,175.154
ec-earth3,AL013,2022,Mar-Jul,2072.824,505.595,15.404,199.366
ec-earth3,AL013,2023,Apr-Aug,2511.702,611.474,1.716,196.182
ec-earth3,AL013,2023,Mar-Jul,1987.386,383.724,3.257,259.623
ec-earth3,AL014,1989,Apr-Aug,2712.641,477.768,0,174.872
ec-earth3,AL014,1989,Mar-Jul,2295.336,269.825,0.007,203.446
ec-earth3,AL014,1990,Apr-Aug,2800.421,679.428,0,140.07
ec-earth3,AL014,1990,Mar-Jul,2377.205,433.435,0.895,140.066
ec-earth3,AL014,1991,Apr-Aug,2629.726,624.127,0,126.442
ec-earth3,AL014,1991,Mar-Jul,2186.879,400.794,0.251,157.26
ec-earth3,AL014,1992,Apr-Aug,2793.729,727.611,0,162.011
ec-earth3,AL014,1992,Mar-Jul,2251.816,362.323,2.446,210.441
ec-earth3,AL014,1993,Apr-Aug,2850.578,814.765,0.258,83.304
ec-earth3,AL014,1993,Mar-Jul,2305.535,479.694,3.645,224.67
ec-earth3,AL014,1994,Apr-Aug,2837.524,845.833,0,158.692
ec-earth3,AL014,1994,Mar-Jul,2372.759,510.326,0,143.619
ec-earth3,AL014,1995,Apr-Aug,2730.346,627.07,0.626,195.286
ec-earth3,AL014,1995,Mar-Jul,2202.657,441.652,1.138,248.042
ec-earth3,AL014,1996,Apr-Aug,2803.992,714.481,0.498,132.665
ec-earth3,AL014,1996,Mar-Jul,2234.467,445.262,5.339,245.052
ec-earth3,AL014,1997,Apr-Aug,2712.123,677.863,2.185,95.246
ec-earth3,AL014,1997,Mar-Jul,2213.661,469.846,3.21,111.317
ec-earth3,AL014,1998,Apr-Aug,2828.588,834.193,0,120.744
ec-earth3,AL014,1998,Mar-Jul,2261.634,509.409,4.016,105.743
ec-earth3,AL014,1999,Apr-Aug,2902.731,822.299,0,134.381
ec-earth3,AL014,1999,Mar-Jul,2390.731,496.106,0.964,167.363
ec-earth3,AL014,2000,Apr-Aug,2962.171,867.774,0.013,84.301
ec-earth3,AL014,2000,Mar-Jul,2418.384,540.917,3.948,142.518
ec-earth3,AL014,2001,Apr-Aug,2898.174,857.267,0.013,132.493
ec-earth3,AL014,2001,Mar-Jul,2508.178,510.437,0.013,161.527
ec-earth3,AL014,2002,Apr-Aug,2899.099,637.386,0.008,127.889
ec-earth3,AL014,2002,Mar-Jul,2475.859,461.767,0.008,140.006
ec-earth3,AL014,2003,Apr-Aug,2993.613,1030.237,1.156,61.102
ec-earth3,AL014,2003,Mar-Jul,2456.488,679.06,3.856,57.757
ec-earth3,AL014,2004,Apr-Aug,2802.041,610.39,0,144.254
ec-earth3,AL014,2004,Mar-Jul,2311.782,385.991,1.39,243.623
ec-earth3,AL014,2005,Apr-Aug,2856.747,650.361,0.735,74.058
ec-earth3,AL014,2005,Mar-Jul,2361.743,447.262,6.179,131.589
ec-earth3,AL014,2006,Apr-Aug,2822.103,670.567,0,154.643
ec-earth3,AL014,2006,Mar-Jul,2324.933,465.179,0.932,230.102
ec-earth3,AL014,2007,Apr-Aug,2971.887,930.414,0,51.899
ec-earth3,AL014,2007,Mar-Jul,2512.125,622.014,0,141.122
ec-earth3,AL014,2008,Apr-Aug,2870.162,818.085,0,112.644
ec-earth3,AL014,2008,Mar-Jul,2383.695,506.81,0.007,229.291
ec-earth3,AL014,2009,Apr-Aug,2936.754,755.844,0,126.443
ec-earth3,AL014,2009,Mar-Jul,2398.544,464.373,0.762,204.034
ec-earth3,AL014,2010,Apr-Aug,2861.258,719.636,0,121.66
ec-earth3,AL014,2010,Mar-Jul,2354.03,419.339,1.854,192.91
ec-earth3,AL014,2011,Apr-Aug,2873.28,792.031,0,62.453
ec-earth3,AL014,2011,Mar-Jul,2365.982,448.021,3.47,114.85
ec-earth3,AL014,2012,Apr-Aug,2886.551,1012.388,0.249,137.483
ec-earth3,AL014,2012,Mar-Jul,2401.41,650.393,0.759,149.039
ec-earth3,AL014,2013,Apr-Aug,2918.426,790.826,0,130.409
ec-earth3,AL014,2013,Mar-Jul,2419.89,480.568,0.658,307.701
ec-earth3,AL014,2014,Apr-Aug,2790.57,662.563,0,178.717
ec-earth3,AL014,2014,Mar-Jul,2325.28,389.773,0,220.829
ec-earth3,AL014,2015,Apr-Aug,2891.248,960.27,0.269,78.416
ec-earth3,AL014,2015,Mar-Jul,2365.841,613.484,0.669,156.566
ec-earth3,AL014,2016,Apr-Aug,2926.825,812.464,0,129.146
ec-earth3,AL014,2016,Mar-Jul,2448.133,523.735,0,222.861
ec-earth3,AL014,2017,Apr-Aug,2922.038,1006.669,0.233,77.899
ec-earth3,AL014,2017,Mar-Jul,2493.117,622.201,0.233,121.042
ec-earth3,AL014,2018,Apr-Aug,3077.374,875.906,0,97.17
ec-earth3,AL014,2018,Mar-Jul,2586.901,549.112,1.557,314.44
ec-earth3,AL014,2019,Apr-Aug,2862.557,889.883,0,158.422
ec-earth3,AL014,2019,Mar-Jul,2423.036,540.018,0.013,169.807
ec-earth3,AL014,2020,Apr-Aug,2870.236,853.569,0.523,79.046
ec-earth3,AL014,2020,Mar-Jul,2393.749,523.5,1.019,147.025
ec-earth3,AL014,2021,Apr-Aug,2842.376,1015.811,0.271,96.141
ec-earth3,AL014,2021,Mar-Jul,2297.274,650.418,1.029,153.32
ec-earth3,AL014,2022,Apr-Aug,2974.479,1075.026,0,117.379
ec-earth3,AL014,2022,Mar-Jul,2419.005,740.389,4.396,141.749
ec-earth3,AL014,2023,Apr-Aug,2864.987,902.477,0.015,126.93
ec-earth3,AL014,2023,Mar-Jul,2409.277,584.881,0.028,200.451
ec-earth3,AL015,1989,Apr-Aug,2499.131,384.935,0,213.687
ec-earth3,AL015,1989,Mar-Jul,2063.305,209.423,0.643,254.254
ec-earth3,AL015,1990,Apr-Aug,2586.516,551.95,0.107,164.218
ec-earth3,AL015,1990,Mar-Jul,2145.021,343.453,2.126,169.24
ec-earth3,AL015,1991,Apr-Aug,2423.804,498.707,0.271,161.59
ec-earth3,AL015,1991,Mar-Jul,1978.292,322.363,0.567,185.458
ec-earth3,AL015,1992,Apr-Aug,2612.954,602.948,0.006,201.813
ec-earth3,AL015,1992,Mar-Jul,2032.48,278.098,6.048,257.926
ec-earth3,AL015,1993,Apr-Aug,2681.173,677.643,0.523,105.18
ec-earth3,AL015,1993,Mar-Jul,2110.902,387.949,8.113,257.084
ec-earth3,AL015,1994,Apr-Aug,2680.477,702.317,0.104,204.83
ec-earth3,AL015,1994,Mar-Jul,2189.703,409.91,0.322,194.156
ec-earth3,AL015,1995,Apr-Aug,2542.414,500.892,1.48,237.526
ec-earth3,AL015,1995,Mar-Jul,2012.916,358.828,3.751,301.101
ec-earth3,AL015,1996,Apr-Aug,2625.04,590.289,1.146,175.226
ec-earth3,AL015,1996,Mar-Jul,2040.397,365.33,9.586,292.846
ec-earth3,AL015,1997,Apr-Aug,2519.816,534.485,4.896,147.065
ec-earth3,AL015,1997,Mar-Jul,2009.395,378.244,8.587,165.129
ec-earth3,AL015,1998,Apr-Aug,2670.813,722.538,0,171.151
ec-earth3,AL015,1998,Mar-Jul,2081.67,439.76,8.15,145.208
ec-earth3,AL015,1999,Apr-Aug,2744.654,696.154,0,187.547
ec-earth3,AL015,1999,Mar-Jul,2204.11,413.752,2.042,233.824
ec-earth3,AL015,2000,Apr-Aug,2790.304,775.534,0.265,103.761
ec-earth3,AL015,2000,Mar-Jul,2219.373,473.546,7.851,175.42
ec-earth3,AL015,2001,Apr-Aug,2708.876,710.53,0.868,178.9
ec-earth3,AL015,2001,Mar-Jul,2276.794,407.072,1.193,216.687
ec-earth3,AL015,2002,Apr-Aug,2710.387,537.844,0.108,186.007
ec-earth3,AL015,2002,Mar-Jul,2267.542,389.274,0.538,193.234
ec-earth3,AL015,2003,Apr-Aug,2832.048,904.434,2.402,89.211
ec-earth3,AL015,2003,Mar-Jul,2254.646,580.354,7.909,84.441
ec-earth3,AL015,2004,Apr-Aug,2608.788,541.415,0,192.004
ec-earth3,AL015,2004,Mar-Jul,2093.039,340.189,3,278.794
ec-earth3,AL015,2005,Apr-Aug,2654.386,561.444,0.841,121.428
ec-earth3,AL015,2005,Mar-Jul,2145.943,387.763,9.089,183.158
ec-earth3,AL015,2006,Apr-Aug,2641.12,592.612,0,212.425
ec-earth3,AL015,2006,Mar-Jul,2126.396,410.338,3.806,306.01
ec-earth3,AL015,2007,Apr-Aug,2828.763,841.475,0.052,86.419
ec-earth3,AL015,2007,Mar-Jul,2331.943,554.984,0.263,188.993
ec-earth3,AL015,2008,Apr-Aug,2718.932,708.083,0,132.245
ec-earth3,AL015,2008,Mar-Jul,2195.361,424.882,0.755,265.148
ec-earth3,AL015,2009,Apr-Aug,2779.026,655.816,0,168.698
ec-earth3,AL015,2009,Mar-Jul,2211.057,398.043,3.154,268.129
ec-earth3,AL015,2010,Apr-Aug,2703.888,647.045,0,170.66
ec-earth3,AL015,2010,Mar-Jul,2167.786,365.042,3.859,253.817
ec-earth3,AL015,2011,Apr-Aug,2717.835,700.05,0.158,98.099
ec-earth3,AL015,2011,Mar-Jul,2175.588,381.85,5.629,154.436
ec-earth3,AL015,2012,Apr-Aug,2768.191,916.549,1.177,164.971
ec-earth3,AL015,2012,Mar-Jul,2249.362,580.671,3.555,170.648
ec-earth3,AL015,2013,Apr-Aug,2767.091,678.525,0,164.091
ec-earth3,AL015,2013,Mar-Jul,2237.777,403.929,2.241,375.563
ec-earth3,AL015,2014,Apr-Aug,2623.279,545.085,0,236.564
ec-earth3,AL015,2014,Mar-Jul,2136.771,308.349,0.211,291.57
ec-earth3,AL015,2015,Apr-Aug,2745.528,825.906,0.885,102.511
ec-earth3,AL015,2015,Mar-Jul,2184.643,515.973,3.848,196.303
ec-earth3,AL015,2016,Apr-Aug,2772.665,676.434,0,188.445
ec-earth3,AL015,2016,Mar-Jul,2259.776,434.09,0.274,315.731
ec-earth3,AL015,2017,Apr-Aug,2789.348,876.347,0.563,119.893
ec-earth3,AL015,2017,Mar-Jul,2330.414,525.457,0.724,194.107
ec-earth3,AL015,2018,Apr-Aug,2946.627,732.897,0,152.013
ec-earth3,AL015,2018,Mar-Jul,2418.852,443.718,2.791,446.002
ec-earth3,AL015,2019,Apr-Aug,2724.347,769.319,0,229.414
ec-earth3,AL015,2019,Mar-Jul,2248.552,456.895,0.753,252.861
ec-earth3,AL015,2020,Apr-Aug,2715.935,693.476,1.277,124.402
ec-earth3,AL015,2020,Mar-Jul,2209.782,415.073,2.136,204.07
ec-earth3,AL015,2021,Apr-Aug,2701.292,892.839,1.169,139.454
ec-earth3,AL015,2021,Mar-Jul,2131.142,566.885,4.758,202.187
ec-earth3,AL015,2022,Apr-Aug,2852.586,935.845,0.541,169.569
ec-earth3,AL015,2022,Mar-Jul,2275.809,640.06,8.127,201.972
ec-earth3,AL015,2023,Apr-Aug,2718.42,764.951,0.271,208.399
ec-earth3,AL015,2023,Mar-Jul,2237.641,493.062,0.811,285.329
ec-earth3,AL021,1989,Apr-Aug,2646.974,433.292,0,144.95
ec-earth3,AL021,1989,Mar-Jul,2208.573,247.572,0.094,155.41
ec-earth3,AL021,1990,Apr-Aug,2711.436,592.069,0,98.859
ec-earth3,AL021,1990,Mar-Jul,2267.313,379.906,1.602,98.055
ec-earth3,AL021,1991,Apr-Aug,2525.576,524.887,0,122.417
ec-earth3,AL021,1991,Mar-Jul,2056.895,343.261,0.58,166.923
ec-earth3,AL021,1992,Apr-Aug,2684.546,600.586,0,138.062
ec-earth3,AL021,1992,Mar-Jul,2105.977,290.238,6.033,165.675
ec-earth3,AL021,1993,Apr-Aug,2743.266,720.644,0.502,72.491
ec-earth3,AL021,1993,Mar-Jul,2178.037,420.838,6.911,168.611
ec-earth3,AL021,1994,Apr-Aug,2779.228,744.685,0,93.535
ec-earth3,AL021,1994,Mar-Jul,2289.149,442.764,0.14,94.059
