model,bin_id,delta_sv,n_years,cntr,crop,component,dln
HadGEM3-GC3-1MM,-13.5,-13.3931,8,DK,Soft wheat,gdd_mj,0.176056683972653
HadGEM3-GC3-1MM,-12.5,-12.588,13,DK,Soft wheat,gdd_mj,0.180328329666284
HadGEM3-GC3-1MM,-11.5,-11.5321,21,DK,Soft wheat,gdd_mj,0.172268853538354
HadGEM3-GC3-1MM,-10.5,-10.4803,10,DK,Soft wheat,gdd_mj,0.157670544348513
HadGEM3-GC3-1MM,-9.5,-9.6161,7,DK,Soft wheat,gdd_mj,0.117864248060613
HadGEM3-GC3-1MM,-8.5,-8.6582,7,DK,Soft wheat,gdd_mj,0.12103850669274
HadGEM3-GC3-1MM,-7.5,-7.6345,8,DK,Soft wheat,gdd_mj,0.109140599854978
HadGEM3-GC3-1MM,-6.5,-6.4299,4,DK,Soft wheat,gdd_mj,0.0588596564325366
HadGEM3-GC3-1MM,-5.5,-5.3528,4,DK,Soft wheat,gdd_mj,0.0612852440498622
HadGEM3-GC3-1MM,-4.5,-4.3969,4,DK,Soft wheat,gdd_mj,0.0458476400985171
IPSL-CM6A-LR,-9.5,-9.3401,5,DK,Soft wheat,gdd_mj,0.124484529896687
IPSL-CM6A-LR,-8.5,-8.4598,8,DK,Soft wheat,gdd_mj,0.146485950826127
IPSL-CM6A-LR,-7.5,-7.5255,19,DK,Soft wheat,gdd_mj,0.11516747217064
IPSL-CM6A-LR,-6.5,-6.5577,11,DK,Soft wheat,gdd_mj,0.131414877233098
IPSL-CM6A-LR,-5.5,-5.5623,13,DK,Soft wheat,gdd_mj,0.0835791812857092
IPSL-CM6A-LR,-4.5,-4.3507,11,DK,Soft wheat,gdd_mj,0.0693144658663027
IPSL-CM6A-LR,-3.5,-3.4644,8,DK,Soft wheat,gdd_mj,0.0762149892827228
IPSL-CM6A-LR,-2.5,-2.5669,9,DK,Soft wheat,gdd_mj,0.0294880075895605
IPSL-CM6A-LR,-1.5,-1.2909,6,DK,Soft wheat,gdd_mj,0.053940833644188
IPSL-CM6A-LR,-0.5,-0.6347,8,DK,Soft wheat,gdd_mj,0.019956155391924
EC-Earth3,-9.5,-9.1554,4,EE,Soft wheat,gdd_mj,0.0414168875769559
EC-Earth3,-8.5,-8.4726,15,EE,Soft wheat,gdd_mj,0.0514161837720899
EC-Earth3,-7.5,-7.5562,20,EE,Soft wheat,gdd_mj,0.0546176123132907
EC-Earth3,-6.5,-6.4767,21,EE,Soft wheat,gdd_mj,0.0273690375473941
EC-Earth3,-5.5,-5.3342,8,EE,Soft wheat,gdd_mj,0.0270630196727878
