model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
IPSL-CM6A-LR,-7.5,-7.4004,1,86,Electricity,hdd_calendar,0.0550094321942244,energy Electricity
IPSL-CM6A-LR,-8.5,-8.3239,1,87,Electricity,hdd_calendar,0.0680278535134342,energy Electricity
IPSL-CM6A-LR,-7.5,-7.7418,1,88,Electricity,hdd_calendar,0.0615067626561226,energy Electricity
IPSL-CM6A-LR,-9.5,-9.1721,1,89,Electricity,hdd_calendar,0.0691297243963845,energy Electricity
IPSL-CM6A-LR,-8.5,-8.5532,1,90,Electricity,hdd_calendar,0.0560335572723361,energy Electricity
IPSL-CM6A-LR,-9.5,-9.0631,1,91,Electricity,hdd_calendar,0.0312781953385992,energy Electricity
IPSL-CM6A-LR,-9.5,-9.9064,1,92,Electricity,hdd_calendar,0.0556838302526066,energy Electricity
IPSL-CM6A-LR,-7.5,-7.5646,1,93,Electricity,hdd_calendar,0.0844910996272191,energy Electricity
IPSL-CM6A-LR,-8.5,-8.6305,1,94,Electricity,hdd_calendar,0.105118206056365,energy Electricity
IPSL-CM6A-LR,-9.5,-9.1749,1,95,Electricity,hdd_calendar,0.110662903364138,energy Electricity
IPSL-CM6A-LR,-7.5,-7.8759,1,96,Electricity,hdd_calendar,0.088256545212538,energy Electricity
IPSL-CM6A-LR,-6.5,-6.2615,1,97,Electricity,hdd_calendar,0.0717949486376275,energy Electricity
IPSL-CM6A-LR,-8.5,-8.9677,1,98,Electricity,hdd_calendar,0.106069018266331,energy Electricity
IPSL-CM6A-LR,-8.5,-8.8657,1,99,Electricity,hdd_calendar,0.101707075445649,energy Electricity
IPSL-CM6A-LR,-6.5,-6.9036,1,100,Electricity,hdd_calendar,0.101566803515351,energy Electricity
IPSL-CM6A-LR,-0.5,-0.7613,1,1,Electricity,cdd_jja,-0.00340043337857548,energy Electricity
IPSL-CM6A-LR,-0.5,-0.9061,1,2,Electricity,cdd_jja,0.00173951038635883,energy Electricity
IPSL-CM6A-LR,-2.5,-2.1752,1,3,Electricity,cdd_jja,-0.00434776384673127,energy Electricity
IPSL-CM6A-LR,-0.5,-0.979,1,5,Electricity,cdd_jja,0.000719041936184998,energy Electricity
