model,bin_id,delta_sv,n_years,cntr,crop,component,dln
HadGEM3-GC3-1LL,-4.5,-4.5263,6,EE,Soft wheat,gdd,-0.000494213140453481
HadGEM3-GC3-1LL,-3.5,-3.7835,7,EE,Soft wheat,gdd,-0.000422116388490959
HadGEM3-GC3-1LL,-2.5,-2.4504,6,EE,Soft wheat,gdd,-0.000712610296986682
HadGEM3-GC3-1LL,-1.5,-1.3098,8,EE,Soft wheat,gdd,-2.35694435137529e-05
HadGEM3-GC3-1LL,-0.5,-0.331,6,EE,Soft wheat,gdd,-0.000215243659399642
HadGEM3-GC3-1MM,-14.5,-14.3032,4,EE,Soft wheat,gdd,0.0261526129782274
HadGEM3-GC3-1MM,-13.5,-13.3931,8,EE,Soft wheat,gdd,0.0469590069122752
HadGEM3-GC3-1MM,-12.5,-12.588,13,EE,Soft wheat,gdd,0.0556315569992292
HadGEM3-GC3-1MM,-11.5,-11.5321,21,EE,Soft wheat,gdd,0.0337655574197744
HadGEM3-GC3-1MM,-10.5,-10.4803,10,EE,Soft wheat,gdd,0.0395755504251669
HadGEM3-GC3-1MM,-9.5,-9.6161,7,EE,Soft wheat,gdd,0.00675853397733155
HadGEM3-GC3-1MM,-8.5,-8.6582,7,EE,Soft wheat,gdd,0.00386583638382746
HadGEM3-GC3-1MM,-7.5,-7.6345,8,EE,Soft wheat,gdd,0.00257734031807169
HadGEM3-GC3-1MM,-6.5,-6.4299,4,EE,Soft wheat,gdd,-0.000692245440700256
HadGEM3-GC3-1MM,-5.5,-5.3528,4,EE,Soft wheat,gdd,-0.000685785294748521
HadGEM3-GC3-1MM,-4.5,-4.3969,4,EE,Soft wheat,gdd,-0.000493297634708335
IPSL-CM6A-LR,-9.5,-9.3401,5,EE,Soft wheat,gdd,0.00457745395107975
IPSL-CM6A-LR,-8.5,-8.4598,8,EE,Soft wheat,gdd,0.010485277538635
IPSL-CM6A-LR,-7.5,-7.5255,19,EE,Soft wheat,gdd,0.00266663836247647
IPSL-CM6A-LR,-6.5,-6.5577,11,EE,Soft wheat,gdd,0.00393876812266773
IPSL-CM6A-LR,-5.5,-5.5623,13,EE,Soft wheat,gdd,-0.000469083981719164
IPSL-CM6A-LR,-4.5,-4.3507,11,EE,Soft wheat,gdd,-0.000576532792317016
IPSL-CM6A-LR,-3.5,-3.4644,8,EE,Soft wheat,gdd,-0.000419930879540031
IPSL-CM6A-LR,-2.5,-2.5669,9,EE,Soft wheat,gdd,-0.000462060859086091
IPSL-CM6A-LR,-1.5,-1.2909,6,EE,Soft wheat,gdd,-0.000324530094137662
IPSL-CM6A-LR,-0.5,-0.6347,8,EE,Soft wheat,gdd,-0.000204072163413232
EC-Earth3,-9.5,-9.1554,4,EL,Soft wheat,gdd,-0.000382352656020862
EC-Earth3,-8.5,-8.4726,15,EL,Soft wheat,gdd,-0.000223301747015396
EC-Earth3,-7.5,-7.5562,20,EL,Soft wheat,gdd,-0.000485417958907242
EC-Earth3,-6.5,-6.4767,21,EL,Soft wheat,gdd,-0.000416002670964561
EC-Earth3,-5.5,-5.3342,8,EL,Soft wheat,gdd,-0.000249973860706896
EC-Earth3,-4.5,-4.5495,8,EL,Soft wheat,gdd,-0.000294438113780829
EC-Earth3,-3.5,-3.3459,9,EL,Soft wheat,gdd,-0.000413295392757616
EC-Earth3,-2.5,-2.4493,5,EL,Soft wheat,gdd,-0.000414511572206578
EC-Earth3,-1.5,-1.3807,6,EL,Soft wheat,gdd,-0.000357474660890323
EC-Earth3,-0.5,-0.6596,3,EL,Soft wheat,gdd,3.97736558699015e-05
HadGEM3-GC3-1LL,-8.5,-8.3848,12,EL,Soft wheat,gdd,-0.000518701960475141
HadGEM3-GC3-1LL,-7.5,-7.5599,19,EL,Soft wheat,gdd,-0.000140384406386888
HadGEM3-GC3-1LL,-6.5,-6.5442,24,EL,Soft wheat,gdd,-0.000301984975971472
HadGEM3-GC3-1LL,-5.5,-5.5797,10,EL,Soft wheat,gdd,-0.000278187909502319
HadGEM3-GC3-1LL,-4.5,-4.5263,6,EL,Soft wheat,gdd,-0.000269146415799148
HadGEM3-GC3-1LL,-3.5,-3.7835,7,EL,Soft wheat,gdd,-0.00031312632247125
HadGEM3-GC3-1LL,-2.5,-2.4504,6,EL,Soft wheat,gdd,-0.00034236683451766
HadGEM3-GC3-1LL,-1.5,-1.3098,8,EL,Soft wheat,gdd,-0.000260142552838029
HadGEM3-GC3-1LL,-0.5,-0.331,6,EL,Soft wheat,gdd,1.86674100318524e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,EL,Soft wheat,gdd,-0.000776986128091007
HadGEM3-GC3-1MM,-13.5,-13.3931,8,EL,Soft wheat,gdd,-0.000591352978404283
HadGEM3-GC3-1MM,-12.5,-12.588,13,EL,Soft wheat,gdd,-0.000757366638046379
HadGEM3-GC3-1MM,-11.5,-11.5321,21,EL,Soft wheat,gdd,-0.000723466864271639
HadGEM3-GC3-1MM,-10.5,-10.4803,10,EL,Soft wheat,gdd,-0.000612774099142005
HadGEM3-GC3-1MM,-9.5,-9.6161,7,EL,Soft wheat,gdd,-0.00041829428421145
HadGEM3-GC3-1MM,-8.5,-8.6582,7,EL,Soft wheat,gdd,-0.000325172077345418
HadGEM3-GC3-1MM,-7.5,-7.6345,8,EL,Soft wheat,gdd,-0.000387923694846448
HadGEM3-GC3-1MM,-6.5,-6.4299,4,EL,Soft wheat,gdd,-0.000605771073195363
HadGEM3-GC3-1MM,-5.5,-5.3528,4,EL,Soft wheat,gdd,-0.000105483976074912
HadGEM3-GC3-1MM,-4.5,-4.3969,4,EL,Soft wheat,gdd,-0.000414224523712245
IPSL-CM6A-LR,-9.5,-9.3401,5,EL,Soft wheat,gdd,-0.000498033871001304
IPSL-CM6A-LR,-8.5,-8.4598,8,EL,Soft wheat,gdd,-0.000600781984312859
IPSL-CM6A-LR,-7.5,-7.5255,19,EL,Soft wheat,gdd,-0.000322010846750825
IPSL-CM6A-LR,-6.5,-6.5577,11,EL,Soft wheat,gdd,-0.000361289275310016
IPSL-CM6A-LR,-5.5,-5.5623,13,EL,Soft wheat,gdd,-0.000359629005194429
IPSL-CM6A-LR,-4.5,-4.3507,11,EL,Soft wheat,gdd,-0.000284299611876032
IPSL-CM6A-LR,-3.5,-3.4644,8,EL,Soft wheat,gdd,-0.00029235968271459
IPSL-CM6A-LR,-2.5,-2.5669,9,EL,Soft wheat,gdd,-0.000243622429722997
IPSL-CM6A-LR,-1.5,-1.2909,6,EL,Soft wheat,gdd,-0.000290146780383702
IPSL-CM6A-LR,-0.5,-0.6347,8,EL,Soft wheat,gdd,-2.26302645085935e-05
EC-Earth3,-9.5,-9.1554,4,ES,Soft wheat,gdd,-0.000386995917885736
EC-Earth3,-8.5,-8.4726,15,ES,Soft wheat,gdd,-0.000462476411851691
EC-Earth3,-7.5,-7.5562,20,ES,Soft wheat,gdd,-0.000359137413914084
EC-Earth3,-6.5,-6.4767,21,ES,Soft wheat,gdd,-0.000162240242054723
EC-Earth3,-5.5,-5.3342,8,ES,Soft wheat,gdd,-0.00051389593136955
EC-Earth3,-4.5,-4.5495,8,ES,Soft wheat,gdd,-0.000410746832400358
EC-Earth3,-3.5,-3.3459,9,ES,Soft wheat,gdd,-0.000310902819251097
EC-Earth3,-2.5,-2.4493,5,ES,Soft wheat,gdd,-0.000326422509578169
EC-Earth3,-1.5,-1.3807,6,ES,Soft wheat,gdd,-0.0002540821974578
EC-Earth3,-0.5,-0.6596,3,ES,Soft wheat,gdd,5.50960656246682e-05
HadGEM3-GC3-1LL,-8.5,-8.3848,12,ES,Soft wheat,gdd,-0.000353401685071643
HadGEM3-GC3-1LL,-7.5,-7.5599,19,ES,Soft wheat,gdd,-0.00034487881306688
HadGEM3-GC3-1LL,-6.5,-6.5442,24,ES,Soft wheat,gdd,-0.00015896222447503
HadGEM3-GC3-1LL,-5.5,-5.5797,10,ES,Soft wheat,gdd,-0.000285896092569431
HadGEM3-GC3-1LL,-4.5,-4.5263,6,ES,Soft wheat,gdd,-0.000258135889585195
HadGEM3-GC3-1LL,-3.5,-3.7835,7,ES,Soft wheat,gdd,-0.00046129791828641
HadGEM3-GC3-1LL,-2.5,-2.4504,6,ES,Soft wheat,gdd,-0.000129829233202978
HadGEM3-GC3-1LL,-1.5,-1.3098,8,ES,Soft wheat,gdd,-7.47215291877137e-05
HadGEM3-GC3-1LL,-0.5,-0.331,6,ES,Soft wheat,gdd,-4.69000642163416e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,ES,Soft wheat,gdd,-8.44208603112116e-05
HadGEM3-GC3-1MM,-13.5,-13.3931,8,ES,Soft wheat,gdd,0.000214873365235613
HadGEM3-GC3-1MM,-12.5,-12.588,13,ES,Soft wheat,gdd,-0.000778266702221446
HadGEM3-GC3-1MM,-11.5,-11.5321,21,ES,Soft wheat,gdd,-0.000862002958038418
HadGEM3-GC3-1MM,-10.5,-10.4803,10,ES,Soft wheat,gdd,-0.000527787099149369
HadGEM3-GC3-1MM,-9.5,-9.6161,7,ES,Soft wheat,gdd,-0.000475310735802307
HadGEM3-GC3-1MM,-8.5,-8.6582,7,ES,Soft wheat,gdd,-0.000701861173211538
HadGEM3-GC3-1MM,-7.5,-7.6345,8,ES,Soft wheat,gdd,-0.000480769252271411
HadGEM3-GC3-1MM,-6.5,-6.4299,4,ES,Soft wheat,gdd,-0.000286189764482924
HadGEM3-GC3-1MM,-5.5,-5.3528,4,ES,Soft wheat,gdd,-0.000204903194309024
HadGEM3-GC3-1MM,-4.5,-4.3969,4,ES,Soft wheat,gdd,-0.000281482030377343
IPSL-CM6A-LR,-9.5,-9.3401,5,ES,Soft wheat,gdd,-0.000569370406332808
IPSL-CM6A-LR,-8.5,-8.4598,8,ES,Soft wheat,gdd,-0.000501149029965163
IPSL-CM6A-LR,-7.5,-7.5255,19,ES,Soft wheat,gdd,-0.000362931611972789
IPSL-CM6A-LR,-6.5,-6.5577,11,ES,Soft wheat,gdd,-0.000418741949532775
IPSL-CM6A-LR,-5.5,-5.5623,13,ES,Soft wheat,gdd,-0.000310557222659311
IPSL-CM6A-LR,-4.5,-4.3507,11,ES,Soft wheat,gdd,-0.000138026050778738
IPSL-CM6A-LR,-3.5,-3.4644,8,ES,Soft wheat,gdd,-0.000213520504017704
IPSL-CM6A-LR,-2.5,-2.5669,9,ES,Soft wheat,gdd,-0.00030514969869708
IPSL-CM6A-LR,-1.5,-1.2909,6,ES,Soft wheat,gdd,-0.000249038207747667
IPSL-CM6A-LR,-0.5,-0.6347,8,ES,Soft wheat,gdd,1.19528383250685e-05
EC-Earth3,-9.5,-9.1554,4,FI,Soft wheat,gdd,-0.000390498472155033
EC-Earth3,-8.5,-8.4726,15,FI,Soft wheat,gdd,-0.000468657211517672
EC-Earth3,-7.5,-7.5562,20,FI,Soft wheat,gdd,-0.0004411646991123
EC-Earth3,-6.5,-6.4767,21,FI,Soft wheat,gdd,-0.000148232823957217
EC-Earth3,-5.5,-5.3342,8,FI,Soft wheat,gdd,0.000151696485461235
EC-Earth3,-4.5,-4.5495,8,FI,Soft wheat,gdd,-0.000193248955848948
EC-Earth3,-3.5,-3.3459,9,FI,Soft wheat,gdd,-0.000122458836457396
EC-Earth3,-2.5,-2.4493,5,FI,Soft wheat,gdd,-0.000167595220757106
EC-Earth3,-1.5,-1.3807,6,FI,Soft wheat,gdd,0.000222827506853481
EC-Earth3,-0.5,-0.6596,3,FI,Soft wheat,gdd,0.000212068747427373
HadGEM3-GC3-1LL,-8.5,-8.3848,12,FI,Soft wheat,gdd,-0.000300112512971962
HadGEM3-GC3-1LL,-7.5,-7.5599,19,FI,Soft wheat,gdd,-0.00025009408951677
HadGEM3-GC3-1LL,-6.5,-6.5442,24,FI,Soft wheat,gdd,-0.000247001716876765
HadGEM3-GC3-1LL,-5.5,-5.5797,10,FI,Soft wheat,gdd,2.63380321952592e-05
HadGEM3-GC3-1LL,-4.5,-4.5263,6,FI,Soft wheat,gdd,4.39480546891544e-05
HadGEM3-GC3-1LL,-3.5,-3.7835,7,FI,Soft wheat,gdd,-0.000242992036655344
HadGEM3-GC3-1LL,-2.5,-2.4504,6,FI,Soft wheat,gdd,-0.000200925642815538
HadGEM3-GC3-1LL,-1.5,-1.3098,8,FI,Soft wheat,gdd,0.000129499206984945
HadGEM3-GC3-1LL,-0.5,-0.331,6,FI,Soft wheat,gdd,0.000202443162159671
HadGEM3-GC3-1MM,-14.5,-14.3032,4,FI,Soft wheat,gdd,0.0547978963249673
HadGEM3-GC3-1MM,-13.5,-13.3931,8,FI,Soft wheat,gdd,0.067238368221925
HadGEM3-GC3-1MM,-12.5,-12.588,13,FI,Soft wheat,gdd,0.0750125315231451
HadGEM3-GC3-1MM,-11.5,-11.5321,21,FI,Soft wheat,gdd,0.0619330606024159
HadGEM3-GC3-1MM,-10.5,-10.4803,10,FI,Soft wheat,gdd,0.0586019082530021
HadGEM3-GC3-1MM,-9.5,-9.6161,7,FI,Soft wheat,gdd,0.0179717310917097
HadGEM3-GC3-1MM,-8.5,-8.6582,7,FI,Soft wheat,gdd,0.0147630605521682
HadGEM3-GC3-1MM,-7.5,-7.6345,8,FI,Soft wheat,gdd,0.00781686379912287
HadGEM3-GC3-1MM,-6.5,-6.4299,4,FI,Soft wheat,gdd,-0.000494506107721599
HadGEM3-GC3-1MM,-5.5,-5.3528,4,FI,Soft wheat,gdd,-0.000452642825625463
HadGEM3-GC3-1MM,-4.5,-4.3969,4,FI,Soft wheat,gdd,-7.04293569562945e-05
IPSL-CM6A-LR,-9.5,-9.3401,5,FI,Soft wheat,gdd,0.00648147369480662
IPSL-CM6A-LR,-8.5,-8.4598,8,FI,Soft wheat,gdd,0.0176931282510018
IPSL-CM6A-LR,-7.5,-7.5255,19,FI,Soft wheat,gdd,0.00760665541214481
IPSL-CM6A-LR,-6.5,-6.5577,11,FI,Soft wheat,gdd,0.00706287134563395
IPSL-CM6A-LR,-5.5,-5.5623,13,FI,Soft wheat,gdd,-0.000277770877663253
IPSL-CM6A-LR,-4.5,-4.3507,11,FI,Soft wheat,gdd,-0.000301042560845168
IPSL-CM6A-LR,-3.5,-3.4644,8,FI,Soft wheat,gdd,-0.000260759071110204
IPSL-CM6A-LR,-2.5,-2.5669,9,FI,Soft wheat,gdd,-0.000120486530745231
IPSL-CM6A-LR,-1.5,-1.2909,6,FI,Soft wheat,gdd,-2.5805265982291e-05
