model,cntr,country_id,component,dln,fuel
ipsl-cm6a-lr,UK,GBR,cdd_jja,0.000361229092382067,Electricity
ec-earth3,AT,AUT,hdd_octmar,-0.0486493202796377,Natural gas
ipsl-cm6a-lr,AT,AUT,hdd_octmar,-0.0539748196128994,Natural gas
ec-earth3,BE,BEL,hdd_octmar,-0.0395103866474416,Natural gas
ipsl-cm6a-lr,BE,BEL,hdd_octmar,-0.0478865507572095,Natural gas
ec-earth3,BG,BGR,hdd_octmar,-0.0519173464713945,Natural gas
ipsl-cm6a-lr,BG,BGR,hdd_octmar,-0.0420930155490101,Natural gas
ec-earth3,CZ,CZE,hdd_octmar,-0.0459734479187034,Natural gas
ipsl-cm6a-lr,CZ,CZE,hdd_octmar,-0.0569106246493445,Natural gas
ec-earth3,DE,DEU,hdd_octmar,-0.0420413513982089,Natural gas
ipsl-cm6a-lr,DE,DEU,hdd_octmar,-0.0539238580945492,Natural gas
ec-earth3,DK,DNK,hdd_octmar,-0.0377346277874252,Natural gas
ipsl-cm6a-lr,DK,DNK,hdd_octmar,-0.0495986180521183,Natural gas
ec-earth3,EE,EST,hdd_octmar,-0.0492461445496925,Natural gas
ipsl-cm6a-lr,EE,EST,hdd_octmar,-0.0655668911190959,Natural gas
ec-earth3,EL,GRC,hdd_octmar,-0.0428080887274186,Natural gas
ipsl-cm6a-lr,EL,GRC,hdd_octmar,-0.03126747471542,Natural gas
ec-earth3,ES,ESP,hdd_octmar,-0.0376570902299028,Natural gas
ipsl-cm6a-lr,ES,ESP,hdd_octmar,-0.0316711163927992,Natural gas
ec-earth3,FR,FRA,hdd_octmar,-0.0412310095257231,Natural gas
ipsl-cm6a-lr,FR,FRA,hdd_octmar,-0.0441659466044347,Natural gas
ec-earth3,HR,HRV,hdd_octmar,-0.0441596229123766,Natural gas
ipsl-cm6a-lr,HR,HRV,hdd_octmar,-0.0482944908919354,Natural gas
ec-earth3,HU,HUN,hdd_octmar,-0.0487396292152381,Natural gas
ipsl-cm6a-lr,HU,HUN,hdd_octmar,-0.0550615440265111,Natural gas
ec-earth3,IE,IRL,hdd_octmar,-0.041652754321543,Natural gas
ipsl-cm6a-lr,IE,IRL,hdd_octmar,-0.0271695569365142,Natural gas
ec-earth3,IT,ITA,hdd_octmar,-0.0422350712980529,Natural gas
ipsl-cm6a-lr,IT,ITA,hdd_octmar,-0.0398456249891601,Natural gas
ec-earth3,LT,LTU,hdd_octmar,-0.0500432603995733,Natural gas
ipsl-cm6a-lr,LT,LTU,hdd_octmar,-0.0667229281574224,Natural gas
ec-earth3,LU,LUX,hdd_octmar,-0.0426868639639788,Natural gas
ipsl-cm6a-lr,LU,LUX,hdd_octmar,-0.0513101067085381,Natural gas
ec-earth3,LV,LVA,hdd_octmar,-0.0470194609814837,Natural gas
ipsl-cm6a-lr,LV,LVA,hdd_octmar,-0.0654716224250186,Natural gas
ec-earth3,NL,NLD,hdd_octmar,-0.038377040504147,Natural gas
ipsl-cm6a-lr,NL,NLD,hdd_octmar,-0.0469589105967448,Natural gas
ec-earth3,PL,POL,hdd_octmar,-0.0464273071506613,Natural gas
ipsl-cm6a-lr,PL,POL,hdd_octmar,-0.0621811119948332,Natural gas
ec-earth3,PT,PRT,hdd_octmar,-0.033461795859567,Natural gas
ipsl-cm6a-lr,PT,PRT,hdd_octmar,-0.0274051454641675,Natural gas
ec-earth3,RO,ROU,hdd_octmar,-0.0531565421268505,Natural gas
ipsl-cm6a-lr,RO,ROU,hdd_octmar,-0.0515094063366686,Natural gas
ec-earth3,SE,SWE,hdd_octmar,-0.0448815157586909,Natural gas
ipsl-cm6a-lr,SE,SWE,hdd_octmar,-0.055743304160483,Natural gas
ec-earth3,SI,SVN,hdd_octmar,-0.0492516002840172,Natural gas
ipsl-cm6a-lr,SI,SVN,hdd_octmar,-0.0522464677776581,Natural gas
ec-earth3,SK,SVK,hdd_octmar,-0.0497914699942288,Natural gas
ipsl-cm6a-lr,SK,SVK,hdd_octmar,-0.0574393762343038,Natural gas
ec-earth3,UK,GBR,hdd_octmar,-0.0417124367485485,Natural gas
ipsl-cm6a-lr,UK,GBR,hdd_octmar,-0.026961247080484,Natural gas
