model,bin_id,delta_sv,n_years,cntr,crop,component,dln
IPSL-CM6A-LR,-2.5,-2.2964,6,SK,Soft wheat,gdd_mj,-0.154583368833541
EC-Earth3,-4.5,-4.5546,8,EL,Durum wheat,gdd_mj,-0.270416565308496
EC-Earth3,-3.5,-3.4737,8,EL,Durum wheat,gdd_mj,-0.273578942477081
EC-Earth3,-2.5,-2.5448,11,EL,Durum wheat,gdd_mj,-0.236134360214421
IPSL-CM6A-LR,-5.5,-5.3985,4,EL,Durum wheat,gdd_mj,-0.227477893037238
IPSL-CM6A-LR,-4.5,-4.3046,12,EL,Durum wheat,gdd_mj,-0.210222318922066
IPSL-CM6A-LR,-3.5,-3.5013,7,EL,Durum wheat,gdd_mj,-0.174237673945525
IPSL-CM6A-LR,-2.5,-2.2964,6,EL,Durum wheat,gdd_mj,-0.174918734779957
EC-Earth3,-4.5,-4.5546,8,ES,Durum wheat,gdd_mj,-0.263207238534833
EC-Earth3,-3.5,-3.4737,8,ES,Durum wheat,gdd_mj,-0.255243172869689
EC-Earth3,-2.5,-2.5448,11,ES,Durum wheat,gdd_mj,-0.242499338271949
IPSL-CM6A-LR,-5.5,-5.3985,4,ES,Durum wheat,gdd_mj,-0.205355014711961
IPSL-CM6A-LR,-4.5,-4.3046,12,ES,Durum wheat,gdd_mj,-0.198415245403317
IPSL-CM6A-LR,-3.5,-3.5013,7,ES,Durum wheat,gdd_mj,-0.167643261088335
IPSL-CM6A-LR,-2.5,-2.2964,6,ES,Durum wheat,gdd_mj,-0.161429930926526
EC-Earth3,-4.5,-4.5546,8,FR,Durum wheat,gdd_mj,-0.246922373826815
EC-Earth3,-3.5,-3.4737,8,FR,Durum wheat,gdd_mj,-0.260304933648188
EC-Earth3,-2.5,-2.5448,11,FR,Durum wheat,gdd_mj,-0.231087760169169
IPSL-CM6A-LR,-5.5,-5.3985,4,FR,Durum wheat,gdd_mj,-0.226449650581283
IPSL-CM6A-LR,-4.5,-4.3046,12,FR,Durum wheat,gdd_mj,-0.19422452422477
IPSL-CM6A-LR,-3.5,-3.5013,7,FR,Durum wheat,gdd_mj,-0.189695939055293
IPSL-CM6A-LR,-2.5,-2.2964,6,FR,Durum wheat,gdd_mj,-0.155405762947807
EC-Earth3,-4.5,-4.5546,8,HU,Durum wheat,gdd_mj,-0.243316026623785
