model,bin_id,delta_sv,n_years,component,dln
IPSL-CM6A-LR,-0.5,-0.6347,8,frost,-2.77333860612435e-05
EC-Earth3,-9.5,-9.1554,4,precip,-0.00637106328702427
EC-Earth3,-8.5,-8.4726,15,precip,-0.046028340578303
EC-Earth3,-7.5,-7.5562,20,precip,-0.029671262836237
EC-Earth3,-6.5,-6.4767,21,precip,-0.0520185428504097
EC-Earth3,-5.5,-5.3342,8,precip,-0.0366129269590493
EC-Earth3,-4.5,-4.5495,8,precip,-0.0476917376062872
EC-Earth3,-3.5,-3.3459,9,precip,-0.0411811458104066
EC-Earth3,-2.5,-2.4493,5,precip,-0.0446221442218277
EC-Earth3,-1.5,-1.3807,6,precip,-0.0194125387527872
EC-Earth3,-0.5,-0.6596,3,precip,-0.0165766766207727
HadGEM3-GC3-1LL,-8.5,-8.3848,12,precip,-0.0495747230889844
HadGEM3-GC3-1LL,-7.5,-7.5599,19,precip,-0.0343531214314917
HadGEM3-GC3-1LL,-6.5,-6.5442,24,precip,-0.0360799453336754
HadGEM3-GC3-1LL,-5.5,-5.5797,10,precip,-0.0286433075767463
HadGEM3-GC3-1LL,-4.5,-4.5263,6,precip,-0.0482126968902106
HadGEM3-GC3-1LL,-3.5,-3.7835,7,precip,-0.0226179188355769
HadGEM3-GC3-1LL,-2.5,-2.4504,6,precip,-0.0303580014396727
HadGEM3-GC3-1LL,-1.5,-1.3098,8,precip,0.0158913933189686
HadGEM3-GC3-1LL,-0.5,-0.331,6,precip,-0.00717752108574225
HadGEM3-GC3-1MM,-14.5,-14.3032,4,precip,0.0146695610684218
HadGEM3-GC3-1MM,-13.5,-13.3931,8,precip,0.0214215344997557
HadGEM3-GC3-1MM,-12.5,-12.588,13,precip,0.0141691166404376
HadGEM3-GC3-1MM,-11.5,-11.5321,21,precip,-0.00284651017814118
HadGEM3-GC3-1MM,-10.5,-10.4803,10,precip,-0.0150501750043708
HadGEM3-GC3-1MM,-9.5,-9.6161,7,precip,-0.0517912633645008
HadGEM3-GC3-1MM,-8.5,-8.6582,7,precip,-0.0299968474077277
HadGEM3-GC3-1MM,-7.5,-7.6345,8,precip,-0.0217683322632308
HadGEM3-GC3-1MM,-6.5,-6.4299,4,precip,-0.0369115359676262
HadGEM3-GC3-1MM,-5.5,-5.3528,4,precip,-0.0138048261079439
HadGEM3-GC3-1MM,-4.5,-4.3969,4,precip,-0.016834826864182
IPSL-CM6A-LR,-9.5,-9.3401,5,precip,-0.0293434135863836
IPSL-CM6A-LR,-8.5,-8.4598,8,precip,-0.0280034778288118
IPSL-CM6A-LR,-7.5,-7.5255,19,precip,-0.0463019162932234
IPSL-CM6A-LR,-6.5,-6.5577,11,precip,-0.0586705870791451
IPSL-CM6A-LR,-5.5,-5.5623,13,precip,-0.0515946828143457
IPSL-CM6A-LR,-4.5,-4.3507,11,precip,-0.0295483741362722
IPSL-CM6A-LR,-3.5,-3.4644,8,precip,-0.0245883194245826
IPSL-CM6A-LR,-2.5,-2.5669,9,precip,-0.0360966458309815
IPSL-CM6A-LR,-1.5,-1.2909,6,precip,-0.0254768431442111
IPSL-CM6A-LR,-0.5,-0.6347,8,precip,-0.00469851204353798
EC-Earth3,-9.5,-9.1554,4,precip2,-0.000481264580672744
EC-Earth3,-8.5,-8.4726,15,precip2,0.0304892373200318
EC-Earth3,-7.5,-7.5562,20,precip2,0.020127541361867
EC-Earth3,-6.5,-6.4767,21,precip2,0.0361217213758899
EC-Earth3,-5.5,-5.3342,8,precip2,0.0229637277249348
EC-Earth3,-4.5,-4.5495,8,precip2,0.0312466559088267
EC-Earth3,-3.5,-3.3459,9,precip2,0.0289569202192457
EC-Earth3,-2.5,-2.4493,5,precip2,0.0305639625176921
EC-Earth3,-1.5,-1.3807,6,precip2,0.0136255551850342
EC-Earth3,-0.5,-0.6596,3,precip2,0.0094266755837898
HadGEM3-GC3-1LL,-8.5,-8.3848,12,precip2,0.0335552076336509
HadGEM3-GC3-1LL,-7.5,-7.5599,19,precip2,0.0234297039081275
HadGEM3-GC3-1LL,-6.5,-6.5442,24,precip2,0.0248685006763367
HadGEM3-GC3-1LL,-5.5,-5.5797,10,precip2,0.0188239729423083
HadGEM3-GC3-1LL,-4.5,-4.5263,6,precip2,0.0320489934413381
HadGEM3-GC3-1LL,-3.5,-3.7835,7,precip2,0.0150409435498049
HadGEM3-GC3-1LL,-2.5,-2.4504,6,precip2,0.0202954808952154
HadGEM3-GC3-1LL,-1.5,-1.3098,8,precip2,-0.0157060128882215
HadGEM3-GC3-1LL,-0.5,-0.331,6,precip2,0.00371907365225148
HadGEM3-GC3-1MM,-14.5,-14.3032,4,precip2,-0.0296867501659562
HadGEM3-GC3-1MM,-13.5,-13.3931,8,precip2,-0.0317704198928844
HadGEM3-GC3-1MM,-12.5,-12.588,13,precip2,-0.0259554204820837
HadGEM3-GC3-1MM,-11.5,-11.5321,21,precip2,-0.011995569474306
HadGEM3-GC3-1MM,-10.5,-10.4803,10,precip2,0.000435776731614649
HadGEM3-GC3-1MM,-9.5,-9.6161,7,precip2,0.031141925424863
HadGEM3-GC3-1MM,-8.5,-8.6582,7,precip2,0.0184459911219808
HadGEM3-GC3-1MM,-7.5,-7.6345,8,precip2,0.00972105824273649
HadGEM3-GC3-1MM,-6.5,-6.4299,4,precip2,0.0251970037967301
HadGEM3-GC3-1MM,-5.5,-5.3528,4,precip2,0.00779993757081961
HadGEM3-GC3-1MM,-4.5,-4.3969,4,precip2,0.0118781286647821
IPSL-CM6A-LR,-9.5,-9.3401,5,precip2,0.0163090248100251
IPSL-CM6A-LR,-8.5,-8.4598,8,precip2,0.0129675404759807
IPSL-CM6A-LR,-7.5,-7.5255,19,precip2,0.0293476522345677
IPSL-CM6A-LR,-6.5,-6.5577,11,precip2,0.0364046113749438
IPSL-CM6A-LR,-5.5,-5.5623,13,precip2,0.0349899635070728
IPSL-CM6A-LR,-4.5,-4.3507,11,precip2,0.0197578000133035
IPSL-CM6A-LR,-3.5,-3.4644,8,precip2,0.0146277135184278
IPSL-CM6A-LR,-2.5,-2.5669,9,precip2,0.0266301771098278
IPSL-CM6A-LR,-1.5,-1.2909,6,precip2,0.0172927524509142
IPSL-CM6A-LR,-0.5,-0.6347,8,precip2,0.000774686125541507
EC-Earth3,-9.5,-9.1554,4,n_day,0.00274611829903026
EC-Earth3,-8.5,-8.4726,15,n_day,-0.0111221464304241
EC-Earth3,-7.5,-7.5562,20,n_day,-0.00247677738400275
EC-Earth3,-6.5,-6.4767,21,n_day,-0.00625972245700544
EC-Earth3,-5.5,-5.3342,8,n_day,-0.00586061240061076
EC-Earth3,-4.5,-4.5495,8,n_day,-0.00614981400694948
EC-Earth3,-3.5,-3.3459,9,n_day,-0.00834013451330242
EC-Earth3,-2.5,-2.4493,5,n_day,-0.00608099451717969
EC-Earth3,-1.5,-1.3807,6,n_day,-0.00480461176054468
EC-Earth3,-0.5,-0.6596,3,n_day,0.00145469932432954
HadGEM3-GC3-1LL,-8.5,-8.3848,12,n_day,-0.00686545292104453
HadGEM3-GC3-1LL,-7.5,-7.5599,19,n_day,-0.00282585868626529
HadGEM3-GC3-1LL,-6.5,-6.5442,24,n_day,-0.00692484699034111
HadGEM3-GC3-1LL,-5.5,-5.5797,10,n_day,-0.00457121024625508
HadGEM3-GC3-1LL,-4.5,-4.5263,6,n_day,-0.00612116091279022
HadGEM3-GC3-1LL,-3.5,-3.7835,7,n_day,-0.0045129173675746
HadGEM3-GC3-1LL,-2.5,-2.4504,6,n_day,0.00401454809282256
HadGEM3-GC3-1LL,-1.5,-1.3098,8,n_day,0.00680283516171982
HadGEM3-GC3-1LL,-0.5,-0.331,6,n_day,0.000160967142693067
HadGEM3-GC3-1MM,-14.5,-14.3032,4,n_day,0.0190446627102205
HadGEM3-GC3-1MM,-13.5,-13.3931,8,n_day,0.022188478273401
HadGEM3-GC3-1MM,-12.5,-12.588,13,n_day,0.0162251687456931
HadGEM3-GC3-1MM,-11.5,-11.5321,21,n_day,0.0112831522263351
HadGEM3-GC3-1MM,-10.5,-10.4803,10,n_day,0.0108408306507413
HadGEM3-GC3-1MM,-9.5,-9.6161,7,n_day,-0.00653789348171303
HadGEM3-GC3-1MM,-8.5,-8.6582,7,n_day,0.000755544199222241
HadGEM3-GC3-1MM,-7.5,-7.6345,8,n_day,0.00298265564659542
HadGEM3-GC3-1MM,-6.5,-6.4299,4,n_day,0.00113758726146773
HadGEM3-GC3-1MM,-5.5,-5.3528,4,n_day,0.00522772224736745
HadGEM3-GC3-1MM,-4.5,-4.3969,4,n_day,-0.00654545793969434
IPSL-CM6A-LR,-9.5,-9.3401,5,n_day,-0.00356960397663287
IPSL-CM6A-LR,-8.5,-8.4598,8,n_day,-0.00127436979837954
IPSL-CM6A-LR,-7.5,-7.5255,19,n_day,-0.00677413346208601
IPSL-CM6A-LR,-6.5,-6.5577,11,n_day,-0.0120653264249876
IPSL-CM6A-LR,-5.5,-5.5623,13,n_day,-0.00755280017961035
IPSL-CM6A-LR,-4.5,-4.3507,11,n_day,-0.00411859099114798
IPSL-CM6A-LR,-3.5,-3.4644,8,n_day,-0.0019401477193343
IPSL-CM6A-LR,-2.5,-2.5669,9,n_day,-0.00507280578226423
IPSL-CM6A-LR,-1.5,-1.2909,6,n_day,-0.00590466844369835
IPSL-CM6A-LR,-0.5,-0.6347,8,n_day,0.00165930653010438
