model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-3.5,-3.2771,5,SK,Durum wheat,gdd,0.000622892337557981
EC-Earth3,-2.5,-2.5562,17,SK,Durum wheat,gdd,0.00149198469037771
EC-Earth3,-1.5,-1.5166,7,SK,Durum wheat,gdd,0.000877711832706246
IPSL-CM6A-LR,-3.5,-3.4513,9,SK,Durum wheat,gdd,0.00221200545793337
IPSL-CM6A-LR,-2.5,-2.5185,16,SK,Durum wheat,gdd,0.0016225940022625
IPSL-CM6A-LR,-1.5,-1.7768,5,SK,Durum wheat,gdd,0.00186708751452917
EC-Earth3,-3.5,-3.2771,5,CZ,Spring barley,gdd,0.0001075654873942
EC-Earth3,-2.5,-2.5562,17,CZ,Spring barley,gdd,-0.000166747442890239
EC-Earth3,-1.5,-1.5166,7,CZ,Spring barley,gdd,-0.000170924140293438
IPSL-CM6A-LR,-3.5,-3.4513,9,CZ,Spring barley,gdd,-0.000166339593772105
IPSL-CM6A-LR,-2.5,-2.5185,16,CZ,Spring barley,gdd,-9.16175551601798e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,CZ,Spring barley,gdd,-0.000291084440544775
EC-Earth3,-3.5,-3.2771,5,DE,Spring barley,gdd,6.89410978719992e-05
EC-Earth3,-2.5,-2.5562,17,DE,Spring barley,gdd,-0.000172915899438204
EC-Earth3,-1.5,-1.5166,7,DE,Spring barley,gdd,-1.72089932619025e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,DE,Spring barley,gdd,-7.99859995671815e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,DE,Spring barley,gdd,7.52600131839347e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,DE,Spring barley,gdd,0.000153905435519766
EC-Earth3,-3.5,-3.2771,5,DK,Spring barley,gdd,0.000204705829559534
EC-Earth3,-2.5,-2.5562,17,DK,Spring barley,gdd,-2.74301703842549e-05
EC-Earth3,-1.5,-1.5166,7,DK,Spring barley,gdd,0.000121474029557285
IPSL-CM6A-LR,-3.5,-3.4513,9,DK,Spring barley,gdd,-5.57925646653586e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,DK,Spring barley,gdd,0.000151320693087733
IPSL-CM6A-LR,-1.5,-1.7768,5,DK,Spring barley,gdd,0.000106929159931338
EC-Earth3,-3.5,-3.2771,5,EE,Spring barley,gdd,-0.000165136190528651
