model,exp,cntr,year,hdd_calendar,hdd_octmar,cdd_jja
EC-Earth3,g01,CZ,2002,3534.12,2775.16,88.36
EC-Earth3,g01,CZ,2003,3758.52,3072.02,148.88
EC-Earth3,g01,CZ,2004,3762.49,3005.06,69.1
EC-Earth3,g01,CZ,2005,3817.26,2947.13,63.12
EC-Earth3,g01,CZ,2006,3695.66,3202.54,120.89
EC-Earth3,g01,CZ,2007,3396.45,2355.14,103.99
EC-Earth3,g01,CZ,2008,3453.71,2814.45,81.96
EC-Earth3,g01,CZ,2009,3578.84,2866.45,71.44
EC-Earth3,g01,CZ,2010,4016.68,3000.83,106.74
EC-Earth3,g01,CZ,2011,3526.68,3025.46,67.09
EC-Earth3,g01,CZ,2012,3656.19,2869.51,103.26
EC-Earth3,g01,CZ,2013,3754.6,3024.16,114.6
EC-Earth3,g01,CZ,2014,3155.74,2516.17,81.21
EC-Earth3,g01,CZ,2015,3293.45,2522.67,180.82
EC-Earth3,g01,CZ,2016,3503.76,2566.18,81.38
EC-Earth3,g01,CZ,2017,3526.7,2887.88,119.12
EC-Earth3,g01,CZ,2018,3251.66,2800.74,161.36
EC-Earth3,g01,CZ,2019,3204.93,2572.12,149.98
EC-Earth3,g01,CZ,2020,3310.57,2454.14,83.24
EC-Earth3,g01,CZ,2021,3692.86,2755.29,86.04
EC-Earth3,g01,CZ,2022,3315.74,2649.92,128.12
EC-Earth3,g01,CZ,2023,3167.74,2521.85,122.71
EC-Earth3,g01,CZ,2024,3028.28,2341.12,141.02
EC-Earth3,g01,DE,1990,3127.26,2278.69,67.46
EC-Earth3,g01,DE,1991,3533.15,2557.46,67.37
EC-Earth3,g01,DE,1992,3263.54,2585.65,89.31
EC-Earth3,g01,DE,1993,3453.87,2631.44,39.94
EC-Earth3,g01,DE,1994,3103.13,2568.77,121.35
EC-Earth3,g01,DE,1995,3378.83,2403.06,102.64
EC-Earth3,g01,DE,1996,3922.67,2922.25,44.44
EC-Earth3,g01,DE,1997,3368.13,2652.51,68.25
EC-Earth3,g01,DE,1998,3267.26,2432.63,55.86
EC-Earth3,g01,DE,1999,3138.36,2595.21,61.89
EC-Earth3,g01,DE,2000,3004.18,2471.92,54.17
EC-Earth3,g01,DE,2001,3296.94,2370.67,75.97
EC-Earth3,g01,DE,2002,3106.54,2363.64,65.06
EC-Earth3,g01,DE,2003,3306.93,2629.76,151.15
EC-Earth3,g01,DE,2004,3335.04,2604.25,58.03
EC-Earth3,g01,DE,2005,3305.35,2591.16,62.98
EC-Earth3,g01,DE,2006,3189.98,2742,116.46
EC-Earth3,g01,DE,2007,3010.8,2030.95,53.05
EC-Earth3,g01,DE,2008,3196.68,2465.35,61.67
EC-Earth3,g01,DE,2009,3271.89,2680.86,62.63
EC-Earth3,g01,DE,2010,3755.47,2707.42,93.99
EC-Earth3,g01,DE,2011,3087.28,2706.61,48.5
EC-Earth3,g01,DE,2012,3315.34,2480.26,61.59
EC-Earth3,g01,DE,2013,3462.29,2744.23,87.41
EC-Earth3,g01,DE,2014,2836.64,2223.25,62.92
EC-Earth3,g01,DE,2015,3041.47,2325.74,124.07
EC-Earth3,g01,DE,2016,3208.44,2283.77,70.08
EC-Earth3,g01,DE,2017,3136.82,2530.43,73.11
EC-Earth3,g01,DE,2018,2983.86,2490.09,145.57
EC-Earth3,g01,DE,2019,2993.9,2285.26,135.49
EC-Earth3,g01,DE,2020,2897.17,2209.93,98.78
EC-Earth3,g01,DE,2021,3286.32,2393.15,62.99
EC-Earth3,g01,DE,2022,2893.49,2322.52,140.76
EC-Earth3,g01,DE,2023,2832.43,2190.18,98.85
EC-Earth3,g01,DE,2024,2768.02,2103.09,92.02
EC-Earth3,g01,DK,1990,2983.72,2195.89,11.01
EC-Earth3,g01,DK,1991,3404.36,2498.32,15.83
EC-Earth3,g01,DK,1992,3213.71,2372.28,22.83
EC-Earth3,g01,DK,1993,3544.7,2561.22,1.14
EC-Earth3,g01,DK,1994,3314.99,2689.47,50.15
EC-Earth3,g01,DK,1995,3493.73,2437.69,37.28
EC-Earth3,g01,DK,1996,3960.93,2981.56,14.81
EC-Earth3,g01,DK,1997,3471.28,2641.93,42.18
EC-Earth3,g01,DK,1998,3432.46,2463.17,2.02
EC-Earth3,g01,DK,1999,3269.55,2682.33,17.34
EC-Earth3,g01,DK,2000,3058.44,2420.71,6.47
EC-Earth3,g01,DK,2001,3422.15,2442.37,15.48
EC-Earth3,g01,DK,2002,3172.34,2326.65,29.62
EC-Earth3,g01,DK,2003,3322.63,2789.56,25.7
EC-Earth3,g01,DK,2004,3276.93,2559.64,13.97
EC-Earth3,g01,DK,2005,3228.52,2486.73,11.99
EC-Earth3,g01,DK,2006,3081.52,2625.59,40.34
EC-Earth3,g01,DK,2007,2953.4,1969.28,13.74
EC-Earth3,g01,DK,2008,3034.17,2325.65,20.93
EC-Earth3,g01,DK,2009,3199.53,2471.1,17.95
EC-Earth3,g01,DK,2010,3868.52,2781.22,22.02
