model,cntr,country_id,component,dln,fuel
ec-earth3,CZ,CZE,hdd_octmar,-0.125675113389825,Natural gas
ipsl-cm6a-lr,CZ,CZE,hdd_octmar,-0.118810270350613,Natural gas
ec-earth3,DE,DEU,hdd_octmar,-0.109845589566239,Natural gas
ipsl-cm6a-lr,DE,DEU,hdd_octmar,-0.112596850256022,Natural gas
ec-earth3,DK,DNK,hdd_octmar,-0.108186013048544,Natural gas
ipsl-cm6a-lr,DK,DNK,hdd_octmar,-0.109222478576257,Natural gas
ec-earth3,EE,EST,hdd_octmar,-0.149576892122506,Natural gas
ipsl-cm6a-lr,EE,EST,hdd_octmar,-0.144936046115661,Natural gas
ec-earth3,EL,GRC,hdd_octmar,-0.0912900171584606,Natural gas
ipsl-cm6a-lr,EL,GRC,hdd_octmar,-0.0720309030107324,Natural gas
ec-earth3,ES,ESP,hdd_octmar,-0.0755462971565251,Natural gas
ipsl-cm6a-lr,ES,ESP,hdd_octmar,-0.0677532766496799,Natural gas
ec-earth3,FR,FRA,hdd_octmar,-0.0929335984550673,Natural gas
ipsl-cm6a-lr,FR,FRA,hdd_octmar,-0.0890266727088432,Natural gas
ec-earth3,HR,HRV,hdd_octmar,-0.108177209477248,Natural gas
ipsl-cm6a-lr,HR,HRV,hdd_octmar,-0.099987036310364,Natural gas
ec-earth3,HU,HUN,hdd_octmar,-0.123949944066273,Natural gas
ipsl-cm6a-lr,HU,HUN,hdd_octmar,-0.113428105776753,Natural gas
ec-earth3,IE,IRL,hdd_octmar,-0.0825781600624471,Natural gas
ipsl-cm6a-lr,IE,IRL,hdd_octmar,-0.0749704691973558,Natural gas
ec-earth3,IT,ITA,hdd_octmar,-0.0949692486592738,Natural gas
ipsl-cm6a-lr,IT,ITA,hdd_octmar,-0.0834996418561364,Natural gas
ec-earth3,LT,LTU,hdd_octmar,-0.144258997752243,Natural gas
ipsl-cm6a-lr,LT,LTU,hdd_octmar,-0.141293930140784,Natural gas
