eobs_cell_id,cntr,pop,w_pop
32243,SE,5202,0.000506117483469456
34089,SE,5077,0.000493955875350716
25285,SE,5032,0.00048957769642797
34094,SE,5006,0.000487048081939273
27143,SE,4986,0.000485102224640274
28538,SE,4971,0.000483642831666026
32705,SE,4959,0.000482475317286627
28989,SE,4907,0.000477416088309231
28985,SE,4895,0.000476248573929832
28532,SE,4892,0.000475956695334982
29462,SE,4892,0.000475956695334982
27598,SE,4812,0.000468173266138989
29907,SE,4803,0.00046729763035444
31298,SE,4800,0.00046700575175959
22492,SE,4765,0.000463600501486343
32245,SE,4765,0.000463600501486343
28535,SE,4749,0.000462043815647145
32237,SE,4746,0.000461751937052295
29449,SE,4686,0.0004559143651553
29003,SE,4664,0.000453773922126402
33626,SE,4651,0.000452509114882053
21569,SE,4644,0.000451828064827403
28067,SE,4625,0.000449979500393355
29921,SE,4616,0.000449103864608806
18335,SE,4605,0.000448033643094357
34559,SE,4597,0.000447255300174757
17885,SE,4555,0.000443168999846861
21589,SE,4548,0.000442487949792212
34108,SE,4522,0.000439958335303514
31317,SE,4515,0.000439277285248864
30391,SE,4511,0.000438888113789065
32232,SE,4505,0.000438304356599365
34096,SE,4503,0.000438109770869465
34099,SE,4490,0.000436844963625117
34095,SE,4466,0.000434509934866319
34090,SE,4456,0.00043353700621682
26211,SE,4420,0.000430034463078623
27141,SE,4394,0.000427504848589925
33630,SE,4394,0.000427504848589925
29926,SE,4371,0.000425267112696077
30371,SE,4313,0.000419624126528982
29004,SE,4293,0.000417678269229983
32242,SE,4214,0.00040999213289894
35017,SE,4192,0.000407851689870042
28994,SE,4190,0.000407657104140142
30834,SE,4187,0.000407365225545292
35484,SE,4163,0.000405030196786495
34087,SE,4143,0.000403084339487496
28999,SE,4051,0.000394133395912104
30845,SE,3994,0.000388587702609959
22487,SE,3940,0.000383333887902664
34085,SE,3907,0.000380123223359316
18343,SE,3905,0.000379928637629417
21585,SE,3878,0.000377301730275769
22048,SE,3877,0.000377204437410819
22973,SE,3875,0.000377009851680919
21126,SE,3862,0.00037574504443657
29447,SE,3857,0.000375258580111821
31297,SE,3848,0.000374382944327271
31779,SE,3770,0.000366794100861178
20181,SE,3769,0.000366696807996228
35488,SE,3767,0.000366502222266328
23897,SE,3717,0.000361637579018833
32236,SE,3677,0.000357745864420836
25282,SE,3643,0.000354437907012539
30853,SE,3610,0.000351227242469192
21121,SE,3580,0.000348308456520694
30836,SE,3573,0.000347627406466045
28071,SE,3542,0.000344611327652598
22508,SE,3538,0.000344222156192798
28995,SE,3512,0.0003416925417041
29452,SE,3490,0.000339552098675202
28993,SE,3489,0.000339454805810252
23420,SE,3442,0.000334882041157606
27134,SE,3411,0.000331865962344159
22967,SE,3398,0.00033060115509981
35486,SE,3377,0.000328558004935862
28996,SE,3364,0.000327293197691513
24812,SE,3357,0.000326612147636863
20197,SE,3340,0.000324958168932715
22494,SE,3326,0.000323596068823416
33633,SE,3295,0.000320579990009969
31308,SE,3261,0.000317272032601672
25750,SE,3250,0.000316201811087222
23889,SE,3225,0.000313769489463475
22491,SE,3224,0.000313672196598525
33169,SE,3218,0.000313088439408825
25747,SE,3193,0.000310656117785077
31299,SE,3151,0.000306569817457181
33622,SE,3126,0.000304137495833433
28526,SE,3083,0.000299953902640587
34555,SE,3033,0.000295089259393091
30852,SE,3021,0.000293921745013692
22511,SE,3013,0.000293143402094093
31309,SE,2989,0.000290808373335295
26667,SE,2987,0.000290613787605395
30835,SE,2978,0.000289738151820846
16482,SE,2968,0.000288765223171347
18342,SE,2936,0.000285651851492949
35024,SE,2926,0.00028467892284345
18807,SE,2907,0.000282830358409402
24824,SE,2905,0.000282635772679502
30847,SE,2886,0.000280787208245454
35020,SE,2864,0.000278646765216555
22488,SE,2836,0.000275922564997958
26677,SE,2814,0.00027378212196906
34086,SE,2804,0.000272809193319561
29928,SE,2776,0.000270084993100963
22972,SE,2773,0.000269793114506113
29454,SE,2759,0.000268431014396814
19255,SE,2753,0.000267847257207115
20663,SE,2730,0.000265609521313267
29446,SE,2725,0.000265123056988517
31781,SE,2722,0.000264831178393668
28534,SE,2717,0.000264344714068918
35021,SE,2716,0.000264247421203968
33628,SE,2710,0.000263663664014269
33645,SE,2699,0.00026259344249982
26668,SE,2684,0.000261134049525571
28072,SE,2667,0.000259480070821422
26213,SE,2655,0.000258312556442023
28990,SE,2631,0.000255977527683225
28529,SE,2625,0.000255393770493526
22969,SE,2600,0.000252961448869778
31310,SE,2585,0.000251502055895529
28536,SE,2584,0.000251404763030579
27596,SE,2554,0.000248485977082082
19728,SE,2548,0.000247902219892382
16958,SE,2542,0.000247318462702683
28062,SE,2541,0.000247221169837733
16961,SE,2533,0.000246442826918134
33172,SE,2532,0.000246345534053184
15568,SE,2523,0.000245469898268635
22956,SE,2519,0.000245080726808835
35023,SE,2507,0.000243913212429436
29914,SE,2492,0.000242453819455187
29456,SE,2489,0.000242161940860337
26679,SE,2476,0.000240897133615989
34561,SE,2475,0.000240799840751039
33161,SE,2436,0.000237005419017992
32235,SE,2389,0.000232432654365346
35018,SE,2361,0.000229708454146748
33167,SE,2352,0.000228832818362199
23435,SE,2350,0.000228638232632299
32703,SE,2349,0.000228540939767349
30379,SE,2320,0.000225719446683802
30381,SE,2295,0.000223287125060054
32701,SE,2269,0.000220757510571356
33632,SE,2247,0.000218617067542458
29442,SE,2235,0.000217449553163059
28068,SE,2227,0.00021667121024346
32697,SE,2217,0.000215698281593961
27595,SE,2215,0.000215503695864061
30390,SE,2204,0.000214433474349612
33635,SE,2203,0.000214336181484662
24355,SE,2189,0.000212974081375363
28518,SE,2185,0.000212584909915563
28991,SE,2175,0.000211611981266064
21112,SE,2165,0.000210639052616565
19732,SE,2150,0.000209179659642316
22964,SE,2150,0.000209179659642316
22507,SE,2099,0.000204217723529871
25286,SE,2097,0.000204023137799971
23895,SE,2091,0.000203439380610271
28074,SE,2089,0.000203244794880372
35016,SE,2081,0.000202466451960772
24357,SE,2078,0.000202174573365923
19272,SE,2061,0.000200520594661774
34092,SE,2036,0.000198088273038026
33168,SE,2025,0.000197018051523577
23423,SE,1996,0.00019419655844003
23433,SE,1986,0.00019322362979053
27138,SE,1972,0.000191861529681232
34553,SE,1963,0.000190985893896682
29444,SE,1933,0.000188067107948185
29443,SE,1900,0.000184856443404838
25748,SE,1887,0.000183591636160489
