model,bin_id,delta_sv,n_years,cntr,crop,component,dln
HadGEM3-GC3-1MM,-4.5,-4.3969,4,DK,Soft wheat,gdd,-0.000355659861761378
IPSL-CM6A-LR,-9.5,-9.3401,5,DK,Soft wheat,gdd,0.003675961524072
IPSL-CM6A-LR,-8.5,-8.4598,8,DK,Soft wheat,gdd,0.0116660738816356
IPSL-CM6A-LR,-7.5,-7.5255,19,DK,Soft wheat,gdd,0.00118772343423674
IPSL-CM6A-LR,-6.5,-6.5577,11,DK,Soft wheat,gdd,0.00425489085328858
IPSL-CM6A-LR,-5.5,-5.5623,13,DK,Soft wheat,gdd,-0.000859649085499197
IPSL-CM6A-LR,-4.5,-4.3507,11,DK,Soft wheat,gdd,-0.000675007533043402
IPSL-CM6A-LR,-3.5,-3.4644,8,DK,Soft wheat,gdd,-0.000728278177349624
IPSL-CM6A-LR,-2.5,-2.5669,9,DK,Soft wheat,gdd,-0.000400195623582121
IPSL-CM6A-LR,-1.5,-1.2909,6,DK,Soft wheat,gdd,-0.000429372325832896
IPSL-CM6A-LR,-0.5,-0.6347,8,DK,Soft wheat,gdd,-0.000117600028134165
EC-Earth3,-9.5,-9.1554,4,EE,Soft wheat,gdd,-0.000635363947653522
EC-Earth3,-8.5,-8.4726,15,EE,Soft wheat,gdd,-0.000498027528554637
EC-Earth3,-7.5,-7.5562,20,EE,Soft wheat,gdd,-0.000557262436489833
EC-Earth3,-6.5,-6.4767,21,EE,Soft wheat,gdd,-0.000363271001353242
EC-Earth3,-5.5,-5.3342,8,EE,Soft wheat,gdd,-7.04793535495276e-05
EC-Earth3,-4.5,-4.5495,8,EE,Soft wheat,gdd,-0.000443539235361813
EC-Earth3,-3.5,-3.3459,9,EE,Soft wheat,gdd,-0.000429499852569123
EC-Earth3,-2.5,-2.4493,5,EE,Soft wheat,gdd,-0.000303414207789555
EC-Earth3,-1.5,-1.3807,6,EE,Soft wheat,gdd,2.0713708073149e-05
EC-Earth3,-0.5,-0.6596,3,EE,Soft wheat,gdd,0.000188256217931234
HadGEM3-GC3-1LL,-8.5,-8.3848,12,EE,Soft wheat,gdd,-0.00062120783377899
HadGEM3-GC3-1LL,-7.5,-7.5599,19,EE,Soft wheat,gdd,-0.000488698233632603
HadGEM3-GC3-1LL,-6.5,-6.5442,24,EE,Soft wheat,gdd,-0.000555672618619938
HadGEM3-GC3-1LL,-5.5,-5.5797,10,EE,Soft wheat,gdd,-0.000484356347138172
HadGEM3-GC3-1LL,-4.5,-4.5263,6,EE,Soft wheat,gdd,-0.000447944025088616
HadGEM3-GC3-1LL,-3.5,-3.7835,7,EE,Soft wheat,gdd,-0.000382597099589481
HadGEM3-GC3-1LL,-2.5,-2.4504,6,EE,Soft wheat,gdd,-0.000645894450436724
HadGEM3-GC3-1LL,-1.5,-1.3098,8,EE,Soft wheat,gdd,-2.13628301889375e-05
HadGEM3-GC3-1LL,-0.5,-0.331,6,EE,Soft wheat,gdd,-0.000195092164238709
HadGEM3-GC3-1MM,-14.5,-14.3032,4,EE,Soft wheat,gdd,0.0237041587224949
HadGEM3-GC3-1MM,-13.5,-13.3931,8,EE,Soft wheat,gdd,0.042562620959749
HadGEM3-GC3-1MM,-12.5,-12.588,13,EE,Soft wheat,gdd,0.0504232314448692
HadGEM3-GC3-1MM,-11.5,-11.5321,21,EE,Soft wheat,gdd,0.0306043657319512
HadGEM3-GC3-1MM,-10.5,-10.4803,10,EE,Soft wheat,gdd,0.035870416833272
HadGEM3-GC3-1MM,-9.5,-9.6161,7,EE,Soft wheat,gdd,0.00612578797626898
HadGEM3-GC3-1MM,-8.5,-8.6582,7,EE,Soft wheat,gdd,0.00350390988899392
HadGEM3-GC3-1MM,-7.5,-7.6345,8,EE,Soft wheat,gdd,0.00233604512223381
HadGEM3-GC3-1MM,-6.5,-6.4299,4,EE,Soft wheat,gdd,-0.000627436188305283
HadGEM3-GC3-1MM,-5.5,-5.3528,4,EE,Soft wheat,gdd,-0.000621580852735644
HadGEM3-GC3-1MM,-4.5,-4.3969,4,EE,Soft wheat,gdd,-0.000447114230623629
IPSL-CM6A-LR,-9.5,-9.3401,5,EE,Soft wheat,gdd,0.00414890455082397
IPSL-CM6A-LR,-8.5,-8.4598,8,EE,Soft wheat,gdd,0.00950362716077869
IPSL-CM6A-LR,-7.5,-7.5255,19,EE,Soft wheat,gdd,0.00241698292450777
IPSL-CM6A-LR,-6.5,-6.5577,11,EE,Soft wheat,gdd,0.00357001362841057
IPSL-CM6A-LR,-5.5,-5.5623,13,EE,Soft wheat,gdd,-0.000425167502998953
IPSL-CM6A-LR,-4.5,-4.3507,11,EE,Soft wheat,gdd,-0.000522556764373148
IPSL-CM6A-LR,-3.5,-3.4644,8,EE,Soft wheat,gdd,-0.000380616201883184
IPSL-CM6A-LR,-2.5,-2.5669,9,EE,Soft wheat,gdd,-0.00041880189762864
IPSL-CM6A-LR,-1.5,-1.2909,6,EE,Soft wheat,gdd,-0.000294147008104685
IPSL-CM6A-LR,-0.5,-0.6347,8,EE,Soft wheat,gdd,-0.000184966563624727
EC-Earth3,-9.5,-9.1554,4,EL,Soft wheat,gdd,-0.000346556118649843
EC-Earth3,-8.5,-8.4726,15,EL,Soft wheat,gdd,-0.000202395839324737
EC-Earth3,-7.5,-7.5562,20,EL,Soft wheat,gdd,-0.000439972264120074
EC-Earth3,-6.5,-6.4767,21,EL,Soft wheat,gdd,-0.000377055759198335
EC-Earth3,-5.5,-5.3342,8,EL,Soft wheat,gdd,-0.000226570862177486
EC-Earth3,-4.5,-4.5495,8,EL,Soft wheat,gdd,-0.000266872292601251
EC-Earth3,-3.5,-3.3459,9,EL,Soft wheat,gdd,-0.000374601941204057
EC-Earth3,-2.5,-2.4493,5,EL,Soft wheat,gdd,-0.000375704259764623
EC-Earth3,-1.5,-1.3807,6,EL,Soft wheat,gdd,-0.00032400724577956
EC-Earth3,-0.5,-0.6596,3,EL,Soft wheat,gdd,3.60499752930591e-05
HadGEM3-GC3-1LL,-8.5,-8.3848,12,EL,Soft wheat,gdd,-0.000470140158117591
HadGEM3-GC3-1LL,-7.5,-7.5599,19,EL,Soft wheat,gdd,-0.000127241367963056
HadGEM3-GC3-1LL,-6.5,-6.5442,24,EL,Soft wheat,gdd,-0.000273712604097954
HadGEM3-GC3-1LL,-5.5,-5.5797,10,EL,Soft wheat,gdd,-0.000252143461420541
HadGEM3-GC3-1LL,-4.5,-4.5263,6,EL,Soft wheat,gdd,-0.000243948448478361
HadGEM3-GC3-1LL,-3.5,-3.7835,7,EL,Soft wheat,gdd,-0.000283810877873998
HadGEM3-GC3-1LL,-2.5,-2.4504,6,EL,Soft wheat,gdd,-0.000310313841048353
HadGEM3-GC3-1LL,-1.5,-1.3098,8,EL,Soft wheat,gdd,-0.000235787543221068
HadGEM3-GC3-1LL,-0.5,-0.331,6,EL,Soft wheat,gdd,1.69197338216762e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,EL,Soft wheat,gdd,-0.000704243301454397
HadGEM3-GC3-1MM,-13.5,-13.3931,8,EL,Soft wheat,gdd,-0.000535989458215326
HadGEM3-GC3-1MM,-12.5,-12.588,13,EL,Soft wheat,gdd,-0.000686460623048248
HadGEM3-GC3-1MM,-11.5,-11.5321,21,EL,Soft wheat,gdd,-0.000655734606535784
HadGEM3-GC3-1MM,-10.5,-10.4803,10,EL,Soft wheat,gdd,-0.00055540509543687
HadGEM3-GC3-1MM,-9.5,-9.6161,7,EL,Soft wheat,gdd,-0.000379132827527227
HadGEM3-GC3-1MM,-8.5,-8.6582,7,EL,Soft wheat,gdd,-0.000294728887699909
HadGEM3-GC3-1MM,-7.5,-7.6345,8,EL,Soft wheat,gdd,-0.000351605586887713
HadGEM3-GC3-1MM,-6.5,-6.4299,4,EL,Soft wheat,gdd,-0.000549057705265373
HadGEM3-GC3-1MM,-5.5,-5.3528,4,EL,Soft wheat,gdd,-9.56083781624881e-05
HadGEM3-GC3-1MM,-4.5,-4.3969,4,EL,Soft wheat,gdd,-0.000375444085262123
IPSL-CM6A-LR,-9.5,-9.3401,5,EL,Soft wheat,gdd,-0.000451407052030393
IPSL-CM6A-LR,-8.5,-8.4598,8,EL,Soft wheat,gdd,-0.000544535703779327
IPSL-CM6A-LR,-7.5,-7.5255,19,EL,Soft wheat,gdd,-0.000291863617149887
IPSL-CM6A-LR,-6.5,-6.5577,11,EL,Soft wheat,gdd,-0.000327464729196029
IPSL-CM6A-LR,-5.5,-5.5623,13,EL,Soft wheat,gdd,-0.000325959896528836
IPSL-CM6A-LR,-4.5,-4.3507,11,EL,Soft wheat,gdd,-0.000257682975321187
IPSL-CM6A-LR,-3.5,-3.4644,8,EL,Soft wheat,gdd,-0.000264988447957164
IPSL-CM6A-LR,-2.5,-2.5669,9,EL,Soft wheat,gdd,-0.000220814063486561
IPSL-CM6A-LR,-1.5,-1.2909,6,EL,Soft wheat,gdd,-0.000262982721487981
IPSL-CM6A-LR,-0.5,-0.6347,8,EL,Soft wheat,gdd,-2.0511578796747e-05
EC-Earth3,-9.5,-9.1554,4,ES,Soft wheat,gdd,-0.00035076467006024
EC-Earth3,-8.5,-8.4726,15,ES,Soft wheat,gdd,-0.000419178545603417
EC-Earth3,-7.5,-7.5562,20,ES,Soft wheat,gdd,-0.000325514328900637
EC-Earth3,-6.5,-6.4767,21,ES,Soft wheat,gdd,-0.000147051021327881
EC-Earth3,-5.5,-5.3342,8,ES,Soft wheat,gdd,-0.000465784078025759
