model,bin_id,component,dsv_amoc,n_amoc,dln_amoc,dsv_isimip,n_isimip,dln_isimip,branch,fuel,dln_residual,pct_amoc,pct_isimip,pct_residual
IPSL-CM6A-LR,-3.5,precip2,-3.4644,8,0.0150238934031588,-3.4513,9,-0.0121188777266028,crop (spec C),,-0.0271427711297616,1.51373194111872,-1.20457398756195,-2.6777716439953
EC-Earth3,-1.5,cdd_jja,-1.3807,6,-0.00303024150402939,-1.5166,7,0.0141672194366516,energy,Electricity,0.017197460940681,-0.302565495619522,1.42680500905785,1.73461886283683
EC-Earth3,-1.5,hdd_calendar,-1.3807,6,0.00822912521418222,-1.5166,7,-0.0362378536562214,energy,Electricity,-0.0444669788704036,0.826307753380573,-3.55891224528292,-4.34928154801589
EC-Earth3,-2.5,cdd_jja,-2.4493,5,-0.00360540050250956,-2.5562,17,0.01514540288696,energy,Electricity,0.0187508033894696,-0.359890885013014,1.52606757171849,1.89277036474849
EC-Earth3,-2.5,hdd_calendar,-2.4493,5,0.0235224592662177,-2.5562,17,-0.0315901324213409,energy,Electricity,-0.0551125916875586,2.38012943142421,-3.1096377111571,-5.36214124075554
EC-Earth3,-3.5,cdd_jja,-3.3459,9,-0.00451505038344885,-3.2771,5,0.0105509509066349,energy,Electricity,0.0150660012900838,-0.450487286656165,1.06068084664264,1.51800655986158
EC-Earth3,-3.5,hdd_calendar,-3.3459,9,0.032213080493396,-3.2771,5,-0.0274568370257963,energy,Electricity,-0.0596699175191923,3.2737538086103,-2.70833243754531,-5.79245551318081
IPSL-CM6A-LR,-1.5,cdd_jja,-1.2909,6,-0.00313823152502558,-1.7768,5,0.0130665855930669,energy,Electricity,0.0162048171180925,-0.313331242357839,1.31523264624067,1.63368272698314
IPSL-CM6A-LR,-1.5,hdd_calendar,-1.2909,6,0.0216958528528836,-1.7768,5,-0.0274965094108282,energy,Electricity,-0.0491923622637118,2.19329192165205,-2.71219215347868,-4.80020164033035
IPSL-CM6A-LR,-2.5,cdd_jja,-2.5669,9,-0.00340812606338201,-2.5185,16,0.0123501489813896,energy,Electricity,0.0157582750447716,-0.340232499388005,1.24267269965708,1.5883091429401
IPSL-CM6A-LR,-2.5,hdd_calendar,-2.5669,9,0.0145146601191438,-2.5185,16,-0.0296918589699376,energy,Electricity,-0.0442065190890814,1.46205092999205,-2.92553862880964,-4.3243651380841
IPSL-CM6A-LR,-3.5,cdd_jja,-3.4644,8,-0.00440793079647037,-3.4513,9,0.0143920527779389,energy,Electricity,0.0187999835744093,-0.439823012804297,1.44961170028035,1.89778159326459
IPSL-CM6A-LR,-3.5,hdd_calendar,-3.4644,8,0.0287689636278788,-3.4513,9,-0.030812924526212,energy,Electricity,-0.0595818881540908,2.91867874235481,-3.03430448562758,-5.78416211782605
EC-Earth3,-1.5,hdd_octmar,-1.3807,6,0.0118530237001032,-1.5166,7,-0.0492336177949419,energy,Natural gas,-0.0610866414950451,1.1923549156706,-4.80412907756986,-5.92582710248978
EC-Earth3,-2.5,hdd_octmar,-2.4493,5,0.0328325989386261,-2.5562,17,-0.0428744483283235,energy,Natural gas,-0.0757070472669496,3.33775362648978,-4.19683350064274,-7.29122403256993
EC-Earth3,-3.5,hdd_octmar,-3.3459,9,0.0462496341551396,-3.2771,5,-0.0341877698684794,energy,Natural gas,-0.080437404023619,4.73358291209785,-3.36099713284027,-7.7287340124054
IPSL-CM6A-LR,-1.5,hdd_octmar,-1.2909,6,0.0310318525320547,-1.7768,5,-0.0433453544051446,energy,Natural gas,-0.0743772069371993,3.1518359834869,-4.24193717329573,-7.16785415042566
IPSL-CM6A-LR,-2.5,hdd_octmar,-2.5669,9,0.0199027576530714,-2.5185,16,-0.0449438464665162,energy,Natural gas,-0.0648466041195876,2.01021380775053,-4.39488340230305,-6.27887833087448
IPSL-CM6A-LR,-3.5,hdd_octmar,-3.4644,8,0.0337415131487968,-3.4513,9,-0.0445650481562251,energy,Natural gas,-0.0783065613050219,3.43172147709627,-4.35866148571338,-7.53190882986004
