NUTS_ID,nuts_level,crop,year,area_ha,production_t,yield_t_ha,area_source,area_ha_alt
PT15,2,Durum wheat,1999,597,836,1.4,CropStatHarm,599.68
PT15,2,Durum wheat,2000,597,836,1.4,CropStatHarm,555.56
PT15,2,Durum wheat,2001,508,747,1.47,CropStatHarm,534.16
PT15,2,Durum wheat,2002,584,903,1.55,CropStatHarm,564.96
PT15,2,Durum wheat,2003,570,616,1.08,CropStatHarm,576.64
PT15,2,Durum wheat,2004,450,674,1.5,CropStatHarm,456.12
PT15,2,Durum wheat,2005,85,22,0.26,CropStatHarm,89.87
PT15,2,Durum wheat,2006,32,48,1.5,CropStatHarm,29.34
PT15,2,Durum wheat,2007,0,0,0,CropStatHarm,0
PT15,2,Durum wheat,2008,0,0,0,CropStatHarm,0
PT15,2,Durum wheat,2009,84,138,1.63,CropStatHarm,77.21
PT15,2,Durum wheat,2010,0,0,0,CropStatHarm,0
PT15,2,Durum wheat,2011,0,0,0,CropStatHarm,0
PT15,2,Durum wheat,2012,0,0,0,CropStatHarm,0
PT15,2,Durum wheat,2013,86,135,1.57,CropStatHarm,89.46
PT15,2,Durum wheat,2014,86,132,1.54,CropStatHarm,90.2
PT15,2,Durum wheat,2015,86,129,1.5,CropStatHarm,89.76
PT15,2,Durum wheat,2016,86,132,1.54,CropStatHarm,89.11
PT15,2,Durum wheat,2017,138,215,1.56,CropStatHarm,140.42
PT15,2,Durum wheat,2018,102,162,1.58,CropStatHarm,99.6
PT15,2,Durum wheat,2019,145,158,1.09,CropStatHarm,151.92
PT15,2,Durum wheat,2020,149,226,1.52,CropStatHarm,148.42
PT15,2,Durum wheat,2021,152,191,1.25,CropStatHarm,151.9
PT15,2,Durum wheat,2022,155,178,1.14,CropStatHarm,16.48
PT15,2,Total barley,1986,4618,2417,0.52,CropStatHarm,5487.3
PT15,2,Total barley,1987,4438,2141,0.48,CropStatHarm,5279.4
PT15,2,Total barley,1988,4762,2087,0.44,CropStatHarm,4757.6
PT15,2,Total barley,1989,4938,3194,0.65,CropStatHarm,4968
PT15,2,Total barley,1990,3737,2199,0.59,CropStatHarm,3735.2
PT15,2,Total barley,1991,3826,2378,0.62,CropStatHarm,3835
PT15,2,Total barley,1992,3525,947,0.27,CropStatHarm,3535.1
PT15,2,Total barley,1993,3514,1406,0.4,CropStatHarm,3511.2
PT15,2,Total barley,1994,2125,914,0.43,CropStatHarm,2120
PT15,2,Total barley,1995,2101,516,0.25,CropStatHarm,2091
PT15,2,Total barley,1996,1797,823,0.46,CropStatHarm,1794
PT15,2,Total barley,1997,2160,432,0.2,CropStatHarm,2164.8
PT15,2,Total barley,1998,974,212,0.22,CropStatHarm,969.4
PT15,2,Total barley,1999,1358,1242,0.92,CropStatHarm,1355.75
PT15,2,Total barley,2000,1358,1242,0.92,CropStatHarm,1371.51
PT15,2,Total barley,2001,1155,1110,0.96,CropStatHarm,1164.06
PT15,2,Total barley,2002,1328,1195,0.9,CropStatHarm,1332.66
PT15,2,Total barley,2003,1268,797,0.63,CropStatHarm,1264.83
PT15,2,Total barley,2004,1453,992,0.68,CropStatHarm,1445.45
PT15,2,Total barley,2005,1122,294,0.26,CropStatHarm,1133.22
PT15,2,Total barley,2006,1305,1456,1.12,CropStatHarm,1324.8
PT15,2,Total barley,2007,720,898,1.25,CropStatHarm,728.64
PT15,2,Total barley,2008,750,907,1.21,CropStatHarm,732.36
PT15,2,Total barley,2009,319,382,1.2,CropStatHarm,326.88
PT15,2,Total barley,2010,280,339,1.21,CropStatHarm,283.08
PT15,2,Total barley,2011,263,334,1.27,CropStatHarm,266.08
PT15,2,Total barley,2012,278,180,0.65,CropStatHarm,275.1
PT15,2,Total barley,2013,353,424,1.2,CropStatHarm,349.22
PT15,2,Total barley,2014,305,358,1.17,CropStatHarm,309.06
PT15,2,Total barley,2015,294,338,1.15,CropStatHarm,296.38
PT15,2,Total barley,2016,294,345,1.17,CropStatHarm,288.68
PT15,2,Total barley,2017,319,381,1.2,CropStatHarm,324.8
PT15,2,Total barley,2018,355,426,1.2,CropStatHarm,369.54
PT15,2,Total barley,2019,550,524,0.95,CropStatHarm,548.5
PT15,2,Total barley,2020,550,671,1.22,CropStatHarm,551.58
PT15,2,Total barley,2021,562,506,0.9,CropStatHarm,563.04
PT15,2,Total barley,2022,573,470,0.82,CropStatHarm,393.5
FI197,3,Durum wheat,2000,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2001,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2002,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2003,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2004,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2005,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2006,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2007,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2008,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2009,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2010,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2011,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2012,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2013,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2014,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2015,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2016,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2017,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2018,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2019,0,0,0,CropStatHarm,0
FI197,3,Durum wheat,2020,0,0,0,CropStatHarm,0
FI197,3,Total barley,1998,32500,79534,2.45,CropStatHarm,34078.07
FI197,3,Total barley,1999,33400,84524,2.53,CropStatHarm,33323.5
FI197,3,Total barley,2000,32372,107877.36,3.33,CropStatHarm,36026.08
FI197,3,Total barley,2001,29698.38,95091.07,3.2,CropStatHarm,33373.99
FI197,3,Total barley,2002,28243.59,84417.26,2.99,CropStatHarm,30607
FI197,3,Total barley,2003,27811.5,84505.59,3.04,CropStatHarm,30162.92
FI197,3,Total barley,2004,29164.75,96428.33,3.31,CropStatHarm,33365.36
FI197,3,Total barley,2005,37609.77,133754.67,3.56,CropStatHarm,42777.35
FI197,3,Total barley,2006,35721.8,111588.84,3.12,CropStatHarm,39365.9
FI197,3,Total barley,2007,33700,118500,3.59,CropStatHarm,37101.41
FI197,3,Total barley,2008,36200,130600,3.61,CropStatHarm,43582.49
FI197,3,Total barley,2009,33061,124700,3.77,CropStatHarm,40578.71
FI197,3,Total barley,2010,23092,67700,2.93,CropStatHarm,23062.47
FI197,3,Total barley,2011,23384,75500,3.23,CropStatHarm,23398.61
FI197,3,Total barley,2012,25100,85800,3.42,CropStatHarm,27602.79
FI197,3,Total barley,2013,30000,119000,3.97,CropStatHarm,30753.33
FI197,3,Total barley,2014,29700,110700,3.73,CropStatHarm,31127.54
FI197,3,Total barley,2015,27400,96400,3.52,CropStatHarm,23784.62
FI197,3,Total barley,2016,27900,99200,3.56,CropStatHarm,22957.74
FI197,3,Total barley,2017,23500,91400,3.89,CropStatHarm,21687.49
FI197,3,Total barley,2018,25000,79500,3.18,CropStatHarm,23712.81
FI197,3,Total barley,2019,26900,108500,4.03,CropStatHarm,23583.22
FI197,3,Total barley,2020,24400,74600,3.06,CropStatHarm,22813.92
