branch,model,bin_id,component,crop,n,mean,sd,lo,hi,central
crop,IPSL-CM6A-LR,-4.5,precip_mj2,Soft wheat,12,0.00710951882425012,0.0317297833286359,-0.0571871110056812,0.0563125594751949,0.0158345414493224
crop,IPSL-CM6A-LR,-4.5,frost_mj,Spring barley,12,0.0286198506528327,0.0049657389597941,0.0192536931411738,0.0376331515765197,0.0310422459939696
crop,IPSL-CM6A-LR,-4.5,gdd_mj,Spring barley,12,-0.32620592645739,0.0697750685885031,-0.435610770190126,-0.238491779517081,-0.326596824737118
crop,IPSL-CM6A-LR,-4.5,heat_mj,Spring barley,12,-0.120873341585134,0.0347504440127379,-0.184921522693035,-0.0644410173806905,-0.109849230806087
crop,IPSL-CM6A-LR,-4.5,precip_mj,Spring barley,12,-0.0289570793561479,0.0288878470789106,-0.0805155937462359,0.0189529777912804,-0.0296581620504392
crop,IPSL-CM6A-LR,-4.5,precip_mj2,Spring barley,12,0.00928313648917356,0.0180485591443221,-0.0229655713479553,0.0374455524946304,0.0173415807734807
crop,IPSL-CM6A-LR,-4.5,frost_mj,Winter barley,12,0.0369725619113293,0.00867157606993428,0.0184115587244954,0.0490059883804089,0.0405109861849374
crop,IPSL-CM6A-LR,-4.5,gdd_mj,Winter barley,12,-0.334846045632454,0.0768395879791622,-0.470626736845628,-0.220257659560071,-0.336347292607758
crop,IPSL-CM6A-LR,-4.5,heat_mj,Winter barley,12,0.0829754232947782,0.0260332496760617,0.0465455253880675,0.131030238304494,0.0755332458359311
crop,IPSL-CM6A-LR,-4.5,precip_mj,Winter barley,12,-0.027940700440326,0.0369356253244891,-0.0995263108566127,0.0249948042192941,-0.0284421511222009
crop,IPSL-CM6A-LR,-4.5,precip_mj2,Winter barley,12,0.0129238475827953,0.031202381936099,-0.0433672048971634,0.0669934668961039,0.0215245669622314
crop,IPSL-CM6A-LR,-3.5,frost_mj,ALL,7,0.0275078117017787,0.00901760421257803,0.012764109933945,0.0365015643440612,0.0296267868814209
crop,IPSL-CM6A-LR,-3.5,gdd_mj,ALL,7,-0.217192323452712,0.038148459072519,-0.284888939564841,-0.172058177366442,-0.218743544589769
crop,IPSL-CM6A-LR,-3.5,heat_mj,ALL,7,-0.0628421878927796,0.0220036760598353,-0.107797166064166,-0.0418860364062881,-0.0583217152798385
crop,IPSL-CM6A-LR,-3.5,precip_mj,ALL,7,-0.00930159416338888,0.0282090045946708,-0.057425252498076,0.028734138168195,-0.00944954968899106
crop,IPSL-CM6A-LR,-3.5,precip_mj2,ALL,7,-0.0018850770391707,0.0274168657415966,-0.03638685532136,0.0404201808191685,0.00635200876517339
crop,IPSL-CM6A-LR,-3.5,frost_mj,Durum wheat,7,0.0151503692859875,0.00765408344127289,0.000163435912295291,0.0214792104013129,0.0171214448904617
crop,IPSL-CM6A-LR,-3.5,gdd_mj,Durum wheat,7,-0.17208196089894,0.0251265629588131,-0.216942556110176,-0.136573356426448,-0.173895470722481
crop,IPSL-CM6A-LR,-3.5,heat_mj,Durum wheat,7,0.0570433453600067,0.0133462813326749,0.0464114512425422,0.0854441774028544,0.0556949414782094
crop,IPSL-CM6A-LR,-3.5,precip_mj,Durum wheat,7,-0.00290527408883532,0.0364602119871134,-0.0406121858813703,0.0540357507883741,-0.00317819700458783
crop,IPSL-CM6A-LR,-3.5,precip_mj2,Durum wheat,7,-0.01014639653029,0.0282135143803303,-0.0556488581787556,0.0193038127042553,-0.000661550720226031
crop,IPSL-CM6A-LR,-3.5,frost_mj,Soft wheat,7,0.030202842435578,0.0104281596793989,0.0126951833099854,0.0406336614043529,0.0325411228640478
crop,IPSL-CM6A-LR,-3.5,gdd_mj,Soft wheat,7,-0.162635323315776,0.0281289721084449,-0.209957454387745,-0.128380904713461,-0.163658670690915
crop,IPSL-CM6A-LR,-3.5,heat_mj,Soft wheat,7,-0.102722377035782,0.0355012212846339,-0.174170815541447,-0.069112433457363,-0.0956280116025392
crop,IPSL-CM6A-LR,-3.5,precip_mj,Soft wheat,7,-0.00671571232230697,0.0307535163776243,-0.0509202381519674,0.0331353062672541,-0.0068059267629955
crop,IPSL-CM6A-LR,-3.5,precip_mj2,Soft wheat,7,-0.00340705831941127,0.0316615346076132,-0.0491421547190056,0.0372393439231104,0.00469095251341824
crop,IPSL-CM6A-LR,-3.5,frost_mj,Spring barley,7,0.024989471937433,0.00539115725902416,0.0154674289855708,0.0294284120661744,0.0265194490741473
crop,IPSL-CM6A-LR,-3.5,gdd_mj,Spring barley,7,-0.315128111228656,0.0611641898547325,-0.428148664087194,-0.245070486695037,-0.316854227746144
crop,IPSL-CM6A-LR,-3.5,heat_mj,Spring barley,7,-0.11320172293598,0.0412468224270602,-0.199717427721692,-0.0713779367238138,-0.105587469131772
crop,IPSL-CM6A-LR,-3.5,precip_mj,Spring barley,7,-0.0176212448827336,0.0358063107925744,-0.0818971757731298,0.0168587516540613,-0.0178844232142799
crop,IPSL-CM6A-LR,-3.5,precip_mj2,Spring barley,7,0.00397936322239367,0.0262328206708441,-0.0213115288777913,0.0539307824798988,0.0122183107270231
crop,IPSL-CM6A-LR,-3.5,frost_mj,Winter barley,7,0.0290000338045078,0.0103387374599702,0.0116389737241539,0.0405316430188307,0.031165252017043
crop,IPSL-CM6A-LR,-3.5,gdd_mj,Winter barley,7,-0.335159429741413,0.0599058927942472,-0.43873432124303,-0.273775708625063,-0.338450235776632
