DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bosnia and Herzegovina,2024,5242.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,1990,18414.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,1991,19897.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,1992,20245.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,1993,21090.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,1994,21358.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,1995,22109.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,1996,23229.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,1997,22933.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,1998,23388.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,1999,23482.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2000,23738.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2001,24396.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2002,25921.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2003,26026.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2004,19305.700,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2005,19016.500,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2006,19332.200,,
