NUTS_ID,cntr,crop,year,yield_t_ha,ln_yield,area_ha,production_t,gdd_aa,gdd_mj,heat_aa,heat_mj,frost_aa,frost_mj,precip_aa,precip_mj
ITH52,IT,Total barley,2002,4.7,1.54756250871601,5370,25243,1915.203,1561.759,122.131,97.125,0.147,4.173,440.057,349.372
ITH52,IT,Total barley,2003,4.61,1.52822785700856,4480,20656,2280.696,1758.993,352.294,198.513,3.8,11.113,212.844,214.259
ITH52,IT,Total barley,2004,4.9,1.58923520511658,4290,21026,1905.236,1451.686,116.445,75.288,0.476,12.314,298.045,355.731
ITH52,IT,Total barley,2005,5.1,1.62924053973028,4110,20956,1939.63,1593.52,124.001,113.412,0.73,11.447,356.463,296.118
ITH52,IT,Total barley,2006,5.45,1.69561560867515,4100,22360,2030.498,1647.411,164.846,153.237,0.162,12.827,227.954,183.757
ITH52,IT,Total barley,2007,4.08,1.40609698841607,3800,15500,2134.617,1741.479,146.887,107.97,0,3.903,241.277,322.153
ITH52,IT,Total barley,2008,4.08,1.40609698841607,3040,12406,2011.015,1565.362,136.914,77.157,0,5.749,389.834,425.405
ITH52,IT,Total barley,2009,4.57,1.51951320490611,2430,11110,2191.868,1715.703,188.649,102.874,0,4.273,280.393,388.003
ITH52,IT,Total barley,2010,5.24,1.65632149833295,1500,7860,2007.14,1599.567,127.22,97.44,0.155,10.666,450.04,441.222
ITH52,IT,Total barley,2011,5.04,1.61740608208328,1810,9124,2129.58,1650.389,151.939,61.427,0,6.98,228.724,340.833
ITH52,IT,Total barley,2012,6.49,1.870262530716,1950,12650,2154.026,1727.072,255.75,139.301,0.588,3.093,292.668,296.699
ITH52,IT,Total barley,2013,5.61,1.72455071953461,1640,9200,1979.055,1488.369,164.688,99.805,0,7.881,402.328,598.959
ITH52,IT,Total barley,2014,5.81,1.75958057086382,1560,9060,1923.337,1578.879,69.225,53.701,0,0.728,413.2,481.372
ITH52,IT,Total barley,2015,5.53,1.71018781553424,1475,8152.5,2186.624,1742.643,222.54,154.269,1.426,5.924,234.87,258.838
ITH52,IT,Total barley,2016,5.4,1.68639895357023,1620,8748,2008.915,1575.421,135.775,94.354,0.115,5.072,256.403,323.79
ITH52,IT,Total barley,2017,5,1.6094379124341,1600,8003,2228.316,1800.612,247.935,134.003,1.523,2.553,202.083,229.689
ITH52,IT,Total barley,2018,5.1,1.62924053973028,1680,8563,2165.105,1664.84,138.146,75.959,0,9.892,354.99,507.012
ITH52,IT,Total barley,2019,5.16,1.64093657949347,2020,10433,2130.377,1665.092,154.401,108.327,0.169,2.547,511.803,500.804
