model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-2.5,-2.5448,11,FR,FRA,hdd_calendar,-0.0584518221423399,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,FR,FRA,hdd_calendar,-0.0669847018154127,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,FR,FRA,hdd_calendar,-0.0577320058579472,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,FR,FRA,hdd_calendar,-0.0614060137807716,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,FR,FRA,hdd_calendar,-0.0514371173949252,Electricity
EC-Earth3,-4.5,-4.5546,8,HR,HRV,hdd_calendar,-0.0702320014519894,Electricity
EC-Earth3,-3.5,-3.4737,8,HR,HRV,hdd_calendar,-0.0738942671619922,Electricity
EC-Earth3,-2.5,-2.5448,11,HR,HRV,hdd_calendar,-0.0588822767536306,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,HR,HRV,hdd_calendar,-0.0718963203311929,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,HR,HRV,hdd_calendar,-0.0609239493483653,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,HR,HRV,hdd_calendar,-0.0572982149671406,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,HR,HRV,hdd_calendar,-0.054835723831002,Electricity
EC-Earth3,-4.5,-4.5546,8,HU,HUN,hdd_calendar,-0.077831039713956,Electricity
EC-Earth3,-3.5,-3.4737,8,HU,HUN,hdd_calendar,-0.0847387412172304,Electricity
EC-Earth3,-2.5,-2.5448,11,HU,HUN,hdd_calendar,-0.0656033329883419,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,HU,HUN,hdd_calendar,-0.0827319038538663,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,HU,HUN,hdd_calendar,-0.0683401818589771,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,HU,HUN,hdd_calendar,-0.0637607747738808,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,HU,HUN,hdd_calendar,-0.0621552228740841,Electricity
EC-Earth3,-4.5,-4.5546,8,IE,IRL,hdd_calendar,-0.0703947708878154,Electricity
EC-Earth3,-3.5,-3.4737,8,IE,IRL,hdd_calendar,-0.0746099270758146,Electricity
EC-Earth3,-2.5,-2.5448,11,IE,IRL,hdd_calendar,-0.0601496156473013,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,IE,IRL,hdd_calendar,-0.0662144685696198,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,IE,IRL,hdd_calendar,-0.0594979787510057,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,IE,IRL,hdd_calendar,-0.0658457817254569,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,IE,IRL,hdd_calendar,-0.0512197373502625,Electricity
EC-Earth3,-4.5,-4.5546,8,IT,ITA,hdd_calendar,-0.0600518197890877,Electricity
EC-Earth3,-3.5,-3.4737,8,IT,ITA,hdd_calendar,-0.0612080736217801,Electricity
EC-Earth3,-2.5,-2.5448,11,IT,ITA,hdd_calendar,-0.0508266714356702,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,IT,ITA,hdd_calendar,-0.0549905905712148,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,IT,ITA,hdd_calendar,-0.0497987804913934,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,IT,ITA,hdd_calendar,-0.0470356700685907,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,IT,ITA,hdd_calendar,-0.0437824434103042,Electricity
EC-Earth3,-4.5,-4.5546,8,LT,LTU,hdd_calendar,-0.0979852060549268,Electricity
EC-Earth3,-3.5,-3.4737,8,LT,LTU,hdd_calendar,-0.110555897225528,Electricity
EC-Earth3,-2.5,-2.5448,11,LT,LTU,hdd_calendar,-0.0796661611936301,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,LT,LTU,hdd_calendar,-0.107610428373763,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,LT,LTU,hdd_calendar,-0.0940285090180325,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,LT,LTU,hdd_calendar,-0.0887591071414237,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,LT,LTU,hdd_calendar,-0.0899540357226949,Electricity
EC-Earth3,-4.5,-4.5546,8,LU,LUX,hdd_calendar,-0.0781771181388292,Electricity
EC-Earth3,-3.5,-3.4737,8,LU,LUX,hdd_calendar,-0.0834802183023924,Electricity
EC-Earth3,-2.5,-2.5448,11,LU,LUX,hdd_calendar,-0.0669107258746371,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,LU,LUX,hdd_calendar,-0.0836056176799531,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,LU,LUX,hdd_calendar,-0.070499649350588,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,LU,LUX,hdd_calendar,-0.0744912002572859,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,LU,LUX,hdd_calendar,-0.0629021021632654,Electricity
EC-Earth3,-4.5,-4.5546,8,LV,LVA,hdd_calendar,-0.0975980112467452,Electricity
EC-Earth3,-3.5,-3.4737,8,LV,LVA,hdd_calendar,-0.111756100483352,Electricity
EC-Earth3,-2.5,-2.5448,11,LV,LVA,hdd_calendar,-0.080867650503335,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,LV,LVA,hdd_calendar,-0.107516397479026,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,LV,LVA,hdd_calendar,-0.0959746782818187,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,LV,LVA,hdd_calendar,-0.0897257149178319,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,LV,LVA,hdd_calendar,-0.0906507962654047,Electricity
EC-Earth3,-4.5,-4.5546,8,MT,MLT,hdd_calendar,-0.0379220495801366,Electricity
