model,bin_id,delta_sv,n_years,ssp_year,component,dln,branch
EC-Earth3,-3.5,-3.2771,1,2093,precip_mj,0.0308149269800377,crop
EC-Earth3,-2.5,-2.5562,1,2094,precip_mj,-0.0580307308997861,crop
EC-Earth3,-2.5,-2.5562,1,2095,precip_mj,0.0429299027945761,crop
EC-Earth3,-2.5,-2.5562,1,2096,precip_mj,0.0454338307559796,crop
EC-Earth3,-1.5,-1.5166,1,2097,precip_mj,0.0449928634626794,crop
EC-Earth3,-2.5,-2.5562,1,2098,precip_mj,0.0134048941362844,crop
EC-Earth3,-3.5,-3.2771,1,2099,precip_mj,0.0915721801704073,crop
EC-Earth3,-2.5,-2.5562,1,2100,precip_mj,0.0656358251495754,crop
EC-Earth3,-1.5,-1.5166,1,2071,precip_mj2,0.0227424448435724,crop
EC-Earth3,-1.5,-1.5166,1,2072,precip_mj2,0.0225629353682476,crop
EC-Earth3,-3.5,-3.2771,1,2073,precip_mj2,0.0111716320394165,crop
EC-Earth3,-2.5,-2.5562,1,2074,precip_mj2,-0.00559409845504838,crop
EC-Earth3,-2.5,-2.5562,1,2075,precip_mj2,-0.0037015917548844,crop
EC-Earth3,-2.5,-2.5562,1,2076,precip_mj2,0.0138849970963854,crop
EC-Earth3,-2.5,-2.5562,1,2077,precip_mj2,0.0108594995186424,crop
EC-Earth3,-1.5,-1.5166,1,2078,precip_mj2,-0.0175728235278698,crop
EC-Earth3,-2.5,-2.5562,1,2079,precip_mj2,-0.0351941814104687,crop
EC-Earth3,-1.5,-1.5166,1,2080,precip_mj2,0.0229780035886605,crop
EC-Earth3,-2.5,-2.5562,1,2081,precip_mj2,0.00138441417626252,crop
EC-Earth3,-2.5,-2.5562,1,2082,precip_mj2,-0.0548404793351869,crop
EC-Earth3,-2.5,-2.5562,1,2083,precip_mj2,-0.0539272683577082,crop
EC-Earth3,-2.5,-2.5562,1,2084,precip_mj2,-0.025218793917379,crop
EC-Earth3,-2.5,-2.5562,1,2085,precip_mj2,-0.0376148845172755,crop
EC-Earth3,-2.5,-2.5562,1,2086,precip_mj2,-0.0331492169072196,crop
EC-Earth3,-3.5,-3.2771,1,2087,precip_mj2,-0.0479545487622751,crop
EC-Earth3,-1.5,-1.5166,1,2088,precip_mj2,-0.0749735372473379,crop
EC-Earth3,-1.5,-1.5166,1,2089,precip_mj2,-0.0137130530012937,crop
EC-Earth3,-2.5,-2.5562,1,2090,precip_mj2,-0.0398175992023932,crop
EC-Earth3,-3.5,-3.2771,1,2092,precip_mj2,-0.0371103023581618,crop
EC-Earth3,-3.5,-3.2771,1,2093,precip_mj2,-0.0420801593667936,crop
EC-Earth3,-2.5,-2.5562,1,2094,precip_mj2,0.0421961392938908,crop
EC-Earth3,-2.5,-2.5562,1,2095,precip_mj2,-0.0499190659537844,crop
EC-Earth3,-2.5,-2.5562,1,2096,precip_mj2,-0.0685651531296956,crop
EC-Earth3,-1.5,-1.5166,1,2097,precip_mj2,-0.0578973068897002,crop
EC-Earth3,-2.5,-2.5562,1,2098,precip_mj2,-0.0284800476751288,crop
EC-Earth3,-3.5,-3.2771,1,2099,precip_mj2,-0.108132882597984,crop
EC-Earth3,-2.5,-2.5562,1,2100,precip_mj2,-0.0708374283364404,crop
