model,NUTS_ID,year,window,gdd,heat,frost,precip
ec-earth3,AL012,2011,Mar-Jul,2184.948,216.322,2.992,141.244
ec-earth3,AL012,2012,Apr-Aug,2749.884,663.49,0,182.021
ec-earth3,AL012,2012,Mar-Jul,2266.721,404.593,0.132,203.879
ec-earth3,AL012,2013,Apr-Aug,2732.755,486.087,0,189.413
ec-earth3,AL012,2013,Mar-Jul,2244.602,263.183,0.375,390.018
ec-earth3,AL012,2014,Apr-Aug,2574.521,387.506,0,255.579
ec-earth3,AL012,2014,Mar-Jul,2120.991,208.301,0,310.958
ec-earth3,AL012,2015,Apr-Aug,2733.288,631.054,0.243,104.546
ec-earth3,AL012,2015,Mar-Jul,2224.238,374.126,0.618,202.328
ec-earth3,AL012,2016,Apr-Aug,2753.041,536.112,0,178.759
ec-earth3,AL012,2016,Mar-Jul,2290.441,321.341,0,307.238
ec-earth3,AL012,2017,Apr-Aug,2785.988,693.721,0,101.5
ec-earth3,AL012,2017,Mar-Jul,2350.065,399.999,0,138.893
ec-earth3,AL012,2018,Apr-Aug,2915.479,573.837,0,136.308
ec-earth3,AL012,2018,Mar-Jul,2442.869,328.25,1,388.328
ec-earth3,AL012,2019,Apr-Aug,2731.713,600.72,0,225.297
ec-earth3,AL012,2019,Mar-Jul,2283.397,343.725,0.243,235.705
ec-earth3,AL012,2020,Apr-Aug,2687.295,556.61,0.375,80.113
ec-earth3,AL012,2020,Mar-Jul,2210.899,305.25,0.75,160.358
ec-earth3,AL012,2021,Apr-Aug,2711.616,659.43,0.243,99.066
ec-earth3,AL012,2021,Mar-Jul,2166.626,393.883,1.457,173.739
ec-earth3,AL012,2022,Apr-Aug,2834.445,712.246,0,113.434
ec-earth3,AL012,2022,Mar-Jul,2277.64,471.153,5.448,148.429
ec-earth3,AL012,2023,Apr-Aug,2705.148,587.558,0,159.084
ec-earth3,AL012,2023,Mar-Jul,2252.571,361.347,0.243,248.716
ec-earth3,AL013,1989,Apr-Aug,1640.386,41.459,0.654,373.347
ec-earth3,AL013,1989,Mar-Jul,1254.798,12.589,5.685,383.01
ec-earth3,AL013,1990,Apr-Aug,1737.031,83.359,1.777,212.052
ec-earth3,AL013,1990,Mar-Jul,1352.96,45.262,10.807,214.089
ec-earth3,AL013,1991,Apr-Aug,1560.129,59.313,2.444,298.41
ec-earth3,AL013,1991,Mar-Jul,1176.165,42.891,7.236,324.371
ec-earth3,AL013,1992,Apr-Aug,1793.568,126.886,2.189,311.961
ec-earth3,AL013,1992,Mar-Jul,1234.181,18.966,23.297,359.476
ec-earth3,AL013,1993,Apr-Aug,1877.877,159.252,3.426,182.968
ec-earth3,AL013,1993,Mar-Jul,1367.265,63.401,24.343,333.508
ec-earth3,AL013,1994,Apr-Aug,1897.758,148.973,1.276,269.212
ec-earth3,AL013,1994,Mar-Jul,1419.891,56.406,10.211,257.803
ec-earth3,AL013,1995,Apr-Aug,1711.641,53.652,7.104,316.842
ec-earth3,AL013,1995,Mar-Jul,1290.134,41.904,26.122,369.601
ec-earth3,AL013,1996,Apr-Aug,1810.397,87.072,4.796,224.726
ec-earth3,AL013,1996,Mar-Jul,1319.741,46.665,25.413,312.596
ec-earth3,AL013,1997,Apr-Aug,1682.751,51.089,15.198,220.464
ec-earth3,AL013,1997,Mar-Jul,1258.162,42.205,36.727,242.657
ec-earth3,AL013,1998,Apr-Aug,1916.448,197.281,0.876,268.79
ec-earth3,AL013,1998,Mar-Jul,1380.778,95.462,26.516,257.441
ec-earth3,AL013,1999,Apr-Aug,1921.159,111.577,0.756,278.246
ec-earth3,AL013,1999,Mar-Jul,1408.953,34.494,16.442,324.373
ec-earth3,AL013,2000,Apr-Aug,2008.613,188.812,2.227,166.27
ec-earth3,AL013,2000,Mar-Jul,1494.529,87.122,23.262,254.641
ec-earth3,AL013,2001,Apr-Aug,1946.359,151,4.779,305.019
ec-earth3,AL013,2001,Mar-Jul,1514.258,56.681,7.246,325.452
ec-earth3,AL013,2002,Apr-Aug,1887.473,73.276,2.046,339.13
ec-earth3,AL013,2002,Mar-Jul,1502.945,59.373,8.244,346.856
ec-earth3,AL013,2003,Apr-Aug,2055.511,204.714,6.594,175.816
ec-earth3,AL013,2003,Mar-Jul,1510.573,98.293,30.986,166.703
ec-earth3,AL013,2004,Apr-Aug,1742.016,85.129,0.282,306.101
ec-earth3,AL013,2004,Mar-Jul,1317.72,53.892,12.569,374.014
ec-earth3,AL013,2005,Apr-Aug,1837.39,86.476,6.137,208.166
ec-earth3,AL013,2005,Mar-Jul,1407.576,56.291,22.62,252.453
ec-earth3,AL013,2006,Apr-Aug,1829.202,109.371,0.546,314.799
ec-earth3,AL013,2006,Mar-Jul,1390.79,68.283,15.099,399.16
ec-earth3,AL013,2007,Apr-Aug,2112.91,259.944,1.169,193.997
ec-earth3,AL013,2007,Mar-Jul,1612.085,157.883,5.981,282.528
ec-earth3,AL013,2008,Apr-Aug,1952.653,160.805,1.126,255.697
ec-earth3,AL013,2008,Mar-Jul,1451.304,78.162,9.107,383.54
ec-earth3,AL013,2009,Apr-Aug,1961.496,115.962,0.044,317.085
ec-earth3,AL013,2009,Mar-Jul,1461.469,56.448,16.834,416.059
ec-earth3,AL013,2010,Apr-Aug,1929.358,142.367,0.908,278.885
ec-earth3,AL013,2010,Mar-Jul,1430.7,55.355,15.87,390.24
ec-earth3,AL013,2011,Apr-Aug,1941.555,184.179,2.213,200.821
ec-earth3,AL013,2011,Mar-Jul,1417.096,63.812,16.719,265.542
ec-earth3,AL013,2012,Apr-Aug,2126.575,312.524,3.693,245.367
ec-earth3,AL013,2012,Mar-Jul,1583.302,175.523,20.51,258.262
ec-earth3,AL013,2013,Apr-Aug,2002.263,156.089,0.058,269.375
ec-earth3,AL013,2013,Mar-Jul,1487.154,68.998,11.014,479.376
ec-earth3,AL013,2014,Apr-Aug,1824.156,91.707,1.406,376.608
ec-earth3,AL013,2014,Mar-Jul,1364.598,27.053,8.348,443.095
ec-earth3,AL013,2015,Apr-Aug,2064.12,236.392,4.116,168.923
ec-earth3,AL013,2015,Mar-Jul,1508.352,130.521,18.859,273.562
ec-earth3,AL013,2016,Apr-Aug,2043.442,139.437,0.511,310.966
ec-earth3,AL013,2016,Mar-Jul,1575.661,90.066,7.728,432.861
ec-earth3,AL013,2017,Apr-Aug,2098.461,285.598,3.451,213.174
ec-earth3,AL013,2017,Mar-Jul,1618.598,141.454,6.639,293.881
ec-earth3,AL013,2018,Apr-Aug,2148.605,120.327,0.026,301.596
ec-earth3,AL013,2018,Mar-Jul,1659.529,46.946,9.45,579.314
ec-earth3,AL013,2019,Apr-Aug,2005.949,222.033,0.092,347.538
ec-earth3,AL013,2019,Mar-Jul,1509.336,98.3,7.27,374.184
ec-earth3,AL013,2020,Apr-Aug,1958.093,175.875,3.629,245.994
ec-earth3,AL013,2020,Mar-Jul,1472.815,94.148,11.403,314.535
ec-earth3,AL013,2021,Apr-Aug,2061.62,330.116,7.308,188.658
ec-earth3,AL013,2021,Mar-Jul,1501.238,190.688,28.086,282.478
ec-earth3,AL013,2022,Apr-Aug,2159.507,271.355,2.407,258.643
ec-earth3,AL013,2022,Mar-Jul,1630.723,186.232,23.384,286.41
ec-earth3,AL013,2023,Apr-Aug,2003.42,239.526,3.963,296.944
ec-earth3,AL013,2023,Mar-Jul,1516.575,142.49,11.49,375.116
ec-earth3,AL014,1989,Apr-Aug,2219.999,168.416,0,276.056
ec-earth3,AL014,1989,Mar-Jul,1820.338,74.888,0.285,315.5
ec-earth3,AL014,1990,Apr-Aug,2335.699,283.928,0,197.676
ec-earth3,AL014,1990,Mar-Jul,1932.595,166.71,2.89,198.088
ec-earth3,AL014,1991,Apr-Aug,2160.632,262.688,0.233,210.712
ec-earth3,AL014,1991,Mar-Jul,1733.796,162.945,0.891,251.648
ec-earth3,AL014,1992,Apr-Aug,2356.836,342.346,0.007,246.537
ec-earth3,AL014,1992,Mar-Jul,1783.266,113.894,7.504,310.769
ec-earth3,AL014,1993,Apr-Aug,2415.692,377.025,0.891,128.498
ec-earth3,AL014,1993,Mar-Jul,1863.356,175.924,8.826,316.132
ec-earth3,AL014,1994,Apr-Aug,2438.707,423.917,0.007,220.145
ec-earth3,AL014,1994,Mar-Jul,1948.688,223.426,1.398,201.156
ec-earth3,AL014,1995,Apr-Aug,2259.391,243.142,1.654,294.29
ec-earth3,AL014,1995,Mar-Jul,1767.924,168.239,6.192,367.475
ec-earth3,AL014,1996,Apr-Aug,2327.893,291.011,1.367,201.377
ec-earth3,AL014,1996,Mar-Jul,1784.475,155.689,10.796,351.446
ec-earth3,AL014,1997,Apr-Aug,2239.608,261.194,4.414,133.415
ec-earth3,AL014,1997,Mar-Jul,1769.369,175.847,9.002,155.446
ec-earth3,AL014,1998,Apr-Aug,2420.559,423.759,0.007,195.786
ec-earth3,AL014,1998,Mar-Jul,1847.363,228.633,9.973,177.085
ec-earth3,AL014,1999,Apr-Aug,2455.589,372.991,0,197.925
ec-earth3,AL014,1999,Mar-Jul,1930.586,182.134,4.435,242.142
ec-earth3,AL014,2000,Apr-Aug,2562.289,412.389,0.516,130.311
ec-earth3,AL014,2000,Mar-Jul,2014.079,221.31,9.833,207.419
ec-earth3,AL014,2001,Apr-Aug,2541.746,427.114,0.742,189.057
ec-earth3,AL014,2001,Mar-Jul,2114.266,214.246,0.991,227.807
ec-earth3,AL014,2002,Apr-Aug,2491.273,243.367,0.243,194.626
ec-earth3,AL014,2002,Mar-Jul,2089.035,183.938,1.203,211.406
ec-earth3,AL014,2003,Apr-Aug,2689.89,531.524,2.646,87.691
ec-earth3,AL014,2003,Mar-Jul,2125.366,316.315,10.197,83.407
ec-earth3,AL014,2004,Apr-Aug,2364.313,244.9,0,234.755
ec-earth3,AL014,2004,Mar-Jul,1900.251,149.638,4.15,366.841
ec-earth3,AL014,2005,Apr-Aug,2428.848,256.657,1.16,107.493
ec-earth3,AL014,2005,Mar-Jul,1965.084,170.456,9.735,184.194
ec-earth3,AL014,2006,Apr-Aug,2388.551,291.139,0,232.137
ec-earth3,AL014,2006,Mar-Jul,1921.717,200.813,3.703,333.68
ec-earth3,AL014,2007,Apr-Aug,2613.906,482.94,0,85.945
ec-earth3,AL014,2007,Mar-Jul,2135.585,306.125,0.027,204.179
ec-earth3,AL014,2008,Apr-Aug,2481.7,396.767,0,190.036
ec-earth3,AL014,2008,Mar-Jul,1979.486,221.764,0.516,344.599
ec-earth3,AL014,2009,Apr-Aug,2516.135,327.308,0,206.652
ec-earth3,AL014,2009,Mar-Jul,1972.941,171.77,5.317,309.507
ec-earth3,AL014,2010,Apr-Aug,2455.052,325.771,0,184.45
ec-earth3,AL014,2010,Mar-Jul,1939.403,160.495,4.442,278.767
ec-earth3,AL014,2011,Apr-Aug,2472.845,365.505,0.233,116.093
ec-earth3,AL014,2011,Mar-Jul,1942.762,157.452,7.01,185.5
ec-earth3,AL014,2012,Apr-Aug,2571.462,557.51,0.756,208.956
ec-earth3,AL014,2012,Mar-Jul,2056.308,332.344,4.435,224.27
ec-earth3,AL014,2013,Apr-Aug,2517.874,369.492,0,207.596
ec-earth3,AL014,2013,Mar-Jul,2002.176,192.69,3.046,443.344
ec-earth3,AL014,2014,Apr-Aug,2323.942,264.358,0.467,283.19
ec-earth3,AL014,2014,Mar-Jul,1860.456,125.665,1.213,338.982
ec-earth3,AL014,2015,Apr-Aug,2536.471,507.402,1.32,112.607
ec-earth3,AL014,2015,Mar-Jul,1987.269,295.251,5.562,216.807
ec-earth3,AL014,2016,Apr-Aug,2533.966,388.859,0.007,217.645
ec-earth3,AL014,2016,Mar-Jul,2050.526,232.84,0.511,342.225
ec-earth3,AL014,2017,Apr-Aug,2579.454,552.665,0.523,121.864
ec-earth3,AL014,2017,Mar-Jul,2117.543,303.363,0.536,179.096
ec-earth3,AL014,2018,Apr-Aug,2677.424,404.497,0,168.624
ec-earth3,AL014,2018,Mar-Jul,2168.828,212.626,2.804,457.217
ec-earth3,AL014,2019,Apr-Aug,2512.566,474.058,0,268.806
ec-earth3,AL014,2019,Mar-Jul,2038.811,260.388,1.158,283.967
ec-earth3,AL014,2020,Apr-Aug,2484.038,432.217,1.531,115.983
ec-earth3,AL014,2020,Mar-Jul,1984.106,235.675,3.551,206.403
ec-earth3,AL014,2021,Apr-Aug,2511.095,563.645,1.588,137.452
ec-earth3,AL014,2021,Mar-Jul,1940.321,332.679,7.235,213.647
ec-earth3,AL014,2022,Apr-Aug,2645.623,580.952,0.24,173.107
ec-earth3,AL014,2022,Mar-Jul,2083.243,381.959,10.275,205.741
ec-earth3,AL014,2023,Apr-Aug,2499.064,464.471,0.719,194.22
ec-earth3,AL014,2023,Mar-Jul,2024.346,278.949,2.128,292.494
ec-earth3,AL015,1989,Apr-Aug,1954.515,119.974,0.32,340.65
ec-earth3,AL015,1989,Mar-Jul,1562.643,51.492,3.011,388.742
ec-earth3,AL015,1990,Apr-Aug,2065.657,202.455,0.859,233.322
