model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-7.5,-7.5562,20,BG,BGR,hdd_calendar,0.0299125975408161,Electricity
EC-Earth3,-6.5,-6.4767,21,BG,BGR,hdd_calendar,0.0226062758699004,Electricity
EC-Earth3,-5.5,-5.3342,8,BG,BGR,hdd_calendar,0.0224869712599471,Electricity
EC-Earth3,-4.5,-4.5495,8,BG,BGR,hdd_calendar,0.0225959501779907,Electricity
EC-Earth3,-3.5,-3.3459,9,BG,BGR,hdd_calendar,0.0275629993936617,Electricity
EC-Earth3,-2.5,-2.4493,5,BG,BGR,hdd_calendar,0.0255184005649382,Electricity
EC-Earth3,-1.5,-1.3807,6,BG,BGR,hdd_calendar,0.00691392673991315,Electricity
EC-Earth3,-0.5,-0.6596,3,BG,BGR,hdd_calendar,-0.00986830476267534,Electricity
HadGEM3-GC3-1LL,-8.5,-8.3848,12,BG,BGR,hdd_calendar,0.0339424317889988,Electricity
HadGEM3-GC3-1LL,-7.5,-7.5599,19,BG,BGR,hdd_calendar,0.0223217042740924,Electricity
HadGEM3-GC3-1LL,-6.5,-6.5442,24,BG,BGR,hdd_calendar,0.0285275755808675,Electricity
HadGEM3-GC3-1LL,-5.5,-5.5797,10,BG,BGR,hdd_calendar,0.0139253883999772,Electricity
HadGEM3-GC3-1LL,-4.5,-4.5263,6,BG,BGR,hdd_calendar,0.0308160955829169,Electricity
HadGEM3-GC3-1LL,-3.5,-3.7835,7,BG,BGR,hdd_calendar,0.0241323348527387,Electricity
HadGEM3-GC3-1LL,-2.5,-2.4504,6,BG,BGR,hdd_calendar,0.0144165670261449,Electricity
HadGEM3-GC3-1LL,-1.5,-1.3098,8,BG,BGR,hdd_calendar,0.00474504683961194,Electricity
HadGEM3-GC3-1LL,-0.5,-0.331,6,BG,BGR,hdd_calendar,0.00484640263853807,Electricity
HadGEM3-GC3-1MM,-14.5,-14.3032,4,BG,BGR,hdd_calendar,0.0621747932287866,Electricity
HadGEM3-GC3-1MM,-13.5,-13.3931,8,BG,BGR,hdd_calendar,0.0749324651597456,Electricity
HadGEM3-GC3-1MM,-12.5,-12.588,13,BG,BGR,hdd_calendar,0.0593630364957234,Electricity
HadGEM3-GC3-1MM,-11.5,-11.5321,21,BG,BGR,hdd_calendar,0.0614929247940839,Electricity
HadGEM3-GC3-1MM,-10.5,-10.4803,10,BG,BGR,hdd_calendar,0.0611477969292963,Electricity
HadGEM3-GC3-1MM,-9.5,-9.6161,7,BG,BGR,hdd_calendar,0.0418634489819049,Electricity
HadGEM3-GC3-1MM,-8.5,-8.6582,7,BG,BGR,hdd_calendar,0.0376275109410548,Electricity
HadGEM3-GC3-1MM,-7.5,-7.6345,8,BG,BGR,hdd_calendar,0.0391174486406422,Electricity
HadGEM3-GC3-1MM,-6.5,-6.4299,4,BG,BGR,hdd_calendar,0.0185116544284358,Electricity
HadGEM3-GC3-1MM,-5.5,-5.3528,4,BG,BGR,hdd_calendar,0.0197138519985966,Electricity
HadGEM3-GC3-1MM,-4.5,-4.3969,4,BG,BGR,hdd_calendar,0.0195448200492657,Electricity
IPSL-CM6A-LR,-9.5,-9.3401,5,BG,BGR,hdd_calendar,0.04670763364691,Electricity
IPSL-CM6A-LR,-8.5,-8.4598,8,BG,BGR,hdd_calendar,0.0334034269436246,Electricity
IPSL-CM6A-LR,-7.5,-7.5255,19,BG,BGR,hdd_calendar,0.0309385500880557,Electricity
IPSL-CM6A-LR,-6.5,-6.5577,11,BG,BGR,hdd_calendar,0.0394463051533771,Electricity
IPSL-CM6A-LR,-5.5,-5.5623,13,BG,BGR,hdd_calendar,0.0158808023265563,Electricity
IPSL-CM6A-LR,-4.5,-4.3507,11,BG,BGR,hdd_calendar,0.0103916906011536,Electricity
IPSL-CM6A-LR,-3.5,-3.4644,8,BG,BGR,hdd_calendar,0.011298021685078,Electricity
IPSL-CM6A-LR,-2.5,-2.5669,9,BG,BGR,hdd_calendar,0.0054547424548584,Electricity
IPSL-CM6A-LR,-1.5,-1.2909,6,BG,BGR,hdd_calendar,0.0107757355141497,Electricity
IPSL-CM6A-LR,-0.5,-0.6347,8,BG,BGR,hdd_calendar,0.000119677378614318,Electricity
EC-Earth3,-9.5,-9.1554,4,CY,CYP,hdd_calendar,0.011782229537285,Electricity
EC-Earth3,-8.5,-8.4726,15,CY,CYP,hdd_calendar,0.0176723285113263,Electricity
EC-Earth3,-7.5,-7.5562,20,CY,CYP,hdd_calendar,0.0131053346226414,Electricity
EC-Earth3,-6.5,-6.4767,21,CY,CYP,hdd_calendar,0.0146086360787256,Electricity
EC-Earth3,-5.5,-5.3342,8,CY,CYP,hdd_calendar,0.0143056683494972,Electricity
EC-Earth3,-4.5,-4.5495,8,CY,CYP,hdd_calendar,0.0118119578379998,Electricity
EC-Earth3,-3.5,-3.3459,9,CY,CYP,hdd_calendar,0.010759818292325,Electricity
EC-Earth3,-2.5,-2.4493,5,CY,CYP,hdd_calendar,0.0095213130545827,Electricity
EC-Earth3,-1.5,-1.3807,6,CY,CYP,hdd_calendar,0.00279794565417318,Electricity
EC-Earth3,-0.5,-0.6596,3,CY,CYP,hdd_calendar,-0.00147346132477109,Electricity
HadGEM3-GC3-1LL,-8.5,-8.3848,12,CY,CYP,hdd_calendar,0.0163547217637197,Electricity
HadGEM3-GC3-1LL,-7.5,-7.5599,19,CY,CYP,hdd_calendar,0.0162169464666138,Electricity
HadGEM3-GC3-1LL,-6.5,-6.5442,24,CY,CYP,hdd_calendar,0.0145739685932525,Electricity
HadGEM3-GC3-1LL,-5.5,-5.5797,10,CY,CYP,hdd_calendar,0.0092106476525046,Electricity
HadGEM3-GC3-1LL,-4.5,-4.5263,6,CY,CYP,hdd_calendar,0.0144573292792254,Electricity
HadGEM3-GC3-1LL,-3.5,-3.7835,7,CY,CYP,hdd_calendar,0.013690693251011,Electricity
HadGEM3-GC3-1LL,-2.5,-2.4504,6,CY,CYP,hdd_calendar,0.0101740868952943,Electricity
HadGEM3-GC3-1LL,-1.5,-1.3098,8,CY,CYP,hdd_calendar,0.00164176637521297,Electricity
HadGEM3-GC3-1LL,-0.5,-0.331,6,CY,CYP,hdd_calendar,0.00290985080620564,Electricity
HadGEM3-GC3-1MM,-14.5,-14.3032,4,CY,CYP,hdd_calendar,0.0370214077367005,Electricity
HadGEM3-GC3-1MM,-13.5,-13.3931,8,CY,CYP,hdd_calendar,0.0380635384438275,Electricity
HadGEM3-GC3-1MM,-12.5,-12.588,13,CY,CYP,hdd_calendar,0.0328020765396981,Electricity
HadGEM3-GC3-1MM,-11.5,-11.5321,21,CY,CYP,hdd_calendar,0.0311552032338294,Electricity
HadGEM3-GC3-1MM,-10.5,-10.4803,10,CY,CYP,hdd_calendar,0.030280892977885,Electricity
HadGEM3-GC3-1MM,-9.5,-9.6161,7,CY,CYP,hdd_calendar,0.0252403896975637,Electricity
HadGEM3-GC3-1MM,-8.5,-8.6582,7,CY,CYP,hdd_calendar,0.018573161257501,Electricity
HadGEM3-GC3-1MM,-7.5,-7.6345,8,CY,CYP,hdd_calendar,0.0231162979518818,Electricity
HadGEM3-GC3-1MM,-6.5,-6.4299,4,CY,CYP,hdd_calendar,0.00944392628055893,Electricity
HadGEM3-GC3-1MM,-5.5,-5.3528,4,CY,CYP,hdd_calendar,0.00709287433562661,Electricity
HadGEM3-GC3-1MM,-4.5,-4.3969,4,CY,CYP,hdd_calendar,0.00526686704971397,Electricity
IPSL-CM6A-LR,-9.5,-9.3401,5,CY,CYP,hdd_calendar,0.0194531003202265,Electricity
IPSL-CM6A-LR,-8.5,-8.4598,8,CY,CYP,hdd_calendar,0.0183518298650317,Electricity
IPSL-CM6A-LR,-7.5,-7.5255,19,CY,CYP,hdd_calendar,0.0164177010289958,Electricity
IPSL-CM6A-LR,-6.5,-6.5577,11,CY,CYP,hdd_calendar,0.0201266000984898,Electricity
IPSL-CM6A-LR,-5.5,-5.5623,13,CY,CYP,hdd_calendar,0.00870498696385696,Electricity
IPSL-CM6A-LR,-4.5,-4.3507,11,CY,CYP,hdd_calendar,0.00763763845681324,Electricity
IPSL-CM6A-LR,-3.5,-3.4644,8,CY,CYP,hdd_calendar,0.00511639897970098,Electricity
IPSL-CM6A-LR,-2.5,-2.5669,9,CY,CYP,hdd_calendar,0.0044840901384783,Electricity
IPSL-CM6A-LR,-1.5,-1.2909,6,CY,CYP,hdd_calendar,0.00335219673778229,Electricity
IPSL-CM6A-LR,-0.5,-0.6347,8,CY,CYP,hdd_calendar,0.000732769995362407,Electricity
EC-Earth3,-9.5,-9.1554,4,CZ,CZE,hdd_calendar,0.0367476091551954,Electricity
EC-Earth3,-8.5,-8.4726,15,CZ,CZE,hdd_calendar,0.0617684008345635,Electricity
EC-Earth3,-7.5,-7.5562,20,CZ,CZE,hdd_calendar,0.0430431126865081,Electricity
EC-Earth3,-6.5,-6.4767,21,CZ,CZE,hdd_calendar,0.0292673722654898,Electricity
EC-Earth3,-5.5,-5.3342,8,CZ,CZE,hdd_calendar,0.0256769390764618,Electricity
EC-Earth3,-4.5,-4.5495,8,CZ,CZE,hdd_calendar,0.0361349638608405,Electricity
EC-Earth3,-3.5,-3.3459,9,CZ,CZE,hdd_calendar,0.0313197246823621,Electricity
EC-Earth3,-2.5,-2.4493,5,CZ,CZE,hdd_calendar,0.0234611276017406,Electricity
EC-Earth3,-1.5,-1.3807,6,CZ,CZE,hdd_calendar,0.00606891610072339,Electricity
EC-Earth3,-0.5,-0.6596,3,CZ,CZE,hdd_calendar,-0.00514925853716821,Electricity
HadGEM3-GC3-1LL,-8.5,-8.3848,12,CZ,CZE,hdd_calendar,0.0429482803391495,Electricity
HadGEM3-GC3-1LL,-7.5,-7.5599,19,CZ,CZE,hdd_calendar,0.0277020793810811,Electricity
HadGEM3-GC3-1LL,-6.5,-6.5442,24,CZ,CZE,hdd_calendar,0.0393212412676113,Electricity
HadGEM3-GC3-1LL,-5.5,-5.5797,10,CZ,CZE,hdd_calendar,0.0264060373005134,Electricity
HadGEM3-GC3-1LL,-4.5,-4.5263,6,CZ,CZE,hdd_calendar,0.0299789317240412,Electricity
HadGEM3-GC3-1LL,-3.5,-3.7835,7,CZ,CZE,hdd_calendar,0.0349778899370939,Electricity
HadGEM3-GC3-1LL,-2.5,-2.4504,6,CZ,CZE,hdd_calendar,0.0179259230314052,Electricity
HadGEM3-GC3-1LL,-1.5,-1.3098,8,CZ,CZE,hdd_calendar,0.0100496194393862,Electricity
HadGEM3-GC3-1LL,-0.5,-0.331,6,CZ,CZE,hdd_calendar,0.00390613096802954,Electricity
HadGEM3-GC3-1MM,-14.5,-14.3032,4,CZ,CZE,hdd_calendar,0.0818363271458117,Electricity
HadGEM3-GC3-1MM,-13.5,-13.3931,8,CZ,CZE,hdd_calendar,0.101630846282649,Electricity
HadGEM3-GC3-1MM,-12.5,-12.588,13,CZ,CZE,hdd_calendar,0.0884905086827395,Electricity
HadGEM3-GC3-1MM,-11.5,-11.5321,21,CZ,CZE,hdd_calendar,0.083369431456343,Electricity
HadGEM3-GC3-1MM,-10.5,-10.4803,10,CZ,CZE,hdd_calendar,0.0784785575165475,Electricity
HadGEM3-GC3-1MM,-9.5,-9.6161,7,CZ,CZE,hdd_calendar,0.051474692475954,Electricity
HadGEM3-GC3-1MM,-8.5,-8.6582,7,CZ,CZE,hdd_calendar,0.0506973207103029,Electricity
HadGEM3-GC3-1MM,-7.5,-7.6345,8,CZ,CZE,hdd_calendar,0.0432530932732499,Electricity
HadGEM3-GC3-1MM,-6.5,-6.4299,4,CZ,CZE,hdd_calendar,0.0322595863073435,Electricity
HadGEM3-GC3-1MM,-5.5,-5.3528,4,CZ,CZE,hdd_calendar,0.0214355958900273,Electricity
HadGEM3-GC3-1MM,-4.5,-4.3969,4,CZ,CZE,hdd_calendar,0.0235899564509825,Electricity
IPSL-CM6A-LR,-9.5,-9.3401,5,CZ,CZE,hdd_calendar,0.0658582135603012,Electricity
IPSL-CM6A-LR,-8.5,-8.4598,8,CZ,CZE,hdd_calendar,0.0644106596574697,Electricity
IPSL-CM6A-LR,-7.5,-7.5255,19,CZ,CZE,hdd_calendar,0.0493109008678755,Electricity
