branch,model,bin_id,component,n,mean,sd,lo,hi,central
crop,IPSL-CM6A-LR,-2.5,gdd_mj,9,0.0286293960423812,0.0144180381484522,0.00996715977411187,0.0525851263276479,0.0318619078136256
crop,IPSL-CM6A-LR,-2.5,heat_mj,9,0.00191242827731065,0.00681973919275659,-0.00921141528863377,0.0103788816123605,0.00466603094944814
crop,IPSL-CM6A-LR,-2.5,precip_mj,9,-0.0263794536181529,0.0272495212810604,-0.0775509787882892,0.0222438561167515,-0.0264909203481779
crop,IPSL-CM6A-LR,-2.5,precip_mj2,9,0.0161244399274667,0.0218753560606966,-0.0261164075288855,0.0542082744702326,0.0229878503394942
crop,IPSL-CM6A-LR,-1.5,frost_mj,6,-0.027459426741229,0.0234078270113198,-0.0613224076118999,-0.00194771609827006,-0.0276721166390351
crop,IPSL-CM6A-LR,-1.5,gdd_mj,6,0.0527667884634203,0.0292403126134161,0.0246592445949938,0.0949225539471663,0.056038304787055
crop,IPSL-CM6A-LR,-1.5,heat_mj,6,0.00158942824637672,0.00502488819616179,-0.00433754450130294,0.00774625740060597,0.00396927411294747
crop,IPSL-CM6A-LR,-1.5,precip_mj,6,-0.00858116177257959,0.0265418136342157,-0.0373979431022558,0.0261409239247309,-0.00867046827933937
crop,IPSL-CM6A-LR,-1.5,precip_mj2,6,0.000222989460154584,0.0244070389176665,-0.0344063240921271,0.0250671174521149,0.00600400742890208
crop,IPSL-CM6A-LR,-0.5,frost_mj,8,-0.000348788260502101,0.0142899161914535,-0.0178952032867458,0.0154549484485168,0.00310403910774848
crop,IPSL-CM6A-LR,-0.5,gdd_mj,8,-3.88254001117364e-05,0.04998211851782,-0.0564147366084043,0.0807748407326787,0.00193192577522418
crop,IPSL-CM6A-LR,-0.5,heat_mj,8,-0.00371948088689891,0.00657967590498466,-0.011389225056999,0.00526051362801492,-0.000433320297054001
crop,IPSL-CM6A-LR,-0.5,precip_mj,8,-0.0135146897263958,0.0388542156912167,-0.0632665086251211,0.0444742591317386,-0.013653397943044
crop,IPSL-CM6A-LR,-0.5,precip_mj2,8,0.00248559084458646,0.0330713275772358,-0.045419870647991,0.0458068324704573,0.00960206057495624
energy Electricity,EC-Earth3,-9.5,cdd_jja,4,-0.00759270400197322,0.00227055706793788,-0.0105830322535222,-0.00511623027022375,-0.00823993459322141
energy Electricity,EC-Earth3,-9.5,hdd_calendar,4,0.0387176725958494,0.00790062179159835,0.0274330307506704,0.0452485372618043,0.0380607053809427
energy Electricity,EC-Earth3,-8.5,cdd_jja,15,-0.00617082110060883,0.0038442379614732,-0.0116079468777589,0.00121881476036459,-0.00726320681173076
energy Electricity,EC-Earth3,-8.5,hdd_calendar,15,0.0557325500435734,0.0257514587644436,-0.000533602886497094,0.103580329578125,0.0547106905442203
