branch,model,bin_id,n,mean,sd,lo,hi,central
energy Electricity,IPSL-CM6A-LR,-8.5,8,0.0642234206197012,0.0303954367013906,0.0138588908035724,0.0978809451981406,0.0627390370717237
energy Electricity,IPSL-CM6A-LR,-7.5,19,0.0510212468689803,0.0150668023566126,0.0191541782769395,0.0834247172987686,0.0493484982881602
energy Electricity,IPSL-CM6A-LR,-6.5,11,0.0591211923329218,0.0193987356322257,0.0278501398215901,0.0937838053220518,0.0577413087477896
energy Electricity,IPSL-CM6A-LR,-5.5,13,0.0345972795969311,0.01010430810836,0.019815141225131,0.0539628252989521,0.0330336140197025
energy Electricity,IPSL-CM6A-LR,-4.5,11,0.0220067660857004,0.00899020911534289,0.00817334975303443,0.0365718832755146,0.0201927700399096
energy Electricity,IPSL-CM6A-LR,-3.5,8,0.0260576614783687,0.0121010575459364,0.0100920219457327,0.0433018765036549,0.0243610328314084
energy Electricity,IPSL-CM6A-LR,-2.5,9,0.0127957510115126,0.00678030440877102,-0.0045131755110588,0.0193558598545709,0.0111065340557618
energy Electricity,IPSL-CM6A-LR,-1.5,6,0.0204539902193462,0.0134434044423539,0.0025002848546226,0.0370312150200841,0.018557621327858
energy Electricity,IPSL-CM6A-LR,-0.5,8,0.00569694310132348,0.0174815079947696,-0.0244304710119749,0.0269413648329178,0.00381165399584965
energy Natural gas,EC-Earth3,-9.5,4,0.0485242095261766,0.0178954585005087,0.0241120178302545,0.0664020282485954,0.0484521555138654
energy Natural gas,EC-Earth3,-8.5,15,0.0758093527202114,0.0411814936217437,-0.019912367309768,0.156171763675566,0.0757102445290502
energy Natural gas,EC-Earth3,-7.5,20,0.0523390220404879,0.0241666922402974,0.0116526553115806,0.109453174745224,0.0521940962247984
energy Natural gas,EC-Earth3,-6.5,21,0.0437846893719589,0.0274776679775843,-0.0171513791525341,0.0966409275538926,0.0435845046729828
energy Natural gas,EC-Earth3,-5.5,8,0.0364573971270981,0.0231008191200335,0.00967723188353605,0.0708430857507525,0.0362272599923065
energy Natural gas,EC-Earth3,-4.5,8,0.0501145794572306,0.0201422442638006,0.0203416936107828,0.0815526968128333,0.0499257926014346
energy Natural gas,EC-Earth3,-3.5,9,0.0464383348811736,0.0329797333015375,0.0144974531064009,0.102629062657794,0.0462496341551396
energy Natural gas,EC-Earth3,-2.5,5,0.03293905027912,0.0277358554324374,0.0135515574205706,0.0803598750728141,0.0328325989386261
energy Natural gas,EC-Earth3,-1.5,6,0.0121328365254693,0.0164347761302865,-0.00394463197438086,0.0356367714295331,0.0118530237001032
energy Natural gas,EC-Earth3,-0.5,3,0.00300462190065553,0.0190289666987454,-0.0134029373861923,0.023865240498115,0.00286579069340289
