model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-2.5,-2.5562,17,HR,HRV,hdd_calendar,-0.0308474454273071,Electricity
EC-Earth3,-1.5,-1.5166,7,HR,HRV,hdd_calendar,-0.0326066339307353,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,HR,HRV,hdd_calendar,-0.0301567982906378,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,HR,HRV,hdd_calendar,-0.0296523677385714,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,HR,HRV,hdd_calendar,-0.0289977859698539,Electricity
EC-Earth3,-3.5,-3.2771,5,HU,HUN,hdd_calendar,-0.0246130200410993,Electricity
EC-Earth3,-2.5,-2.5562,17,HU,HUN,hdd_calendar,-0.0333787496582664,Electricity
EC-Earth3,-1.5,-1.5166,7,HU,HUN,hdd_calendar,-0.0333012883305104,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,HU,HUN,hdd_calendar,-0.0335320880469691,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,HU,HUN,hdd_calendar,-0.0343066454092297,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,HU,HUN,hdd_calendar,-0.0330638160550198,Electricity
EC-Earth3,-3.5,-3.2771,5,IE,IRL,hdd_calendar,-0.0357471912612344,Electricity
EC-Earth3,-2.5,-2.5562,17,IE,IRL,hdd_calendar,-0.0342253259258323,Electricity
EC-Earth3,-1.5,-1.5166,7,IE,IRL,hdd_calendar,-0.0419604806643634,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,IE,IRL,hdd_calendar,-0.0228293219982103,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,IE,IRL,hdd_calendar,-0.0218835147130859,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,IE,IRL,hdd_calendar,-0.0176661219131206,Electricity
EC-Earth3,-3.5,-3.2771,5,IT,ITA,hdd_calendar,-0.022122310317323,Electricity
EC-Earth3,-2.5,-2.5562,17,IT,ITA,hdd_calendar,-0.0262857448536084,Electricity
EC-Earth3,-1.5,-1.5166,7,IT,ITA,hdd_calendar,-0.0301332579496956,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,IT,ITA,hdd_calendar,-0.0254746748010028,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,IT,ITA,hdd_calendar,-0.0225020870291507,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,IT,ITA,hdd_calendar,-0.0237559503357262,Electricity
EC-Earth3,-3.5,-3.2771,5,LT,LTU,hdd_calendar,-0.0380429616137403,Electricity
EC-Earth3,-2.5,-2.5562,17,LT,LTU,hdd_calendar,-0.0377760033371645,Electricity
EC-Earth3,-1.5,-1.5166,7,LT,LTU,hdd_calendar,-0.0427504147338903,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,LT,LTU,hdd_calendar,-0.0420011870021447,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,LT,LTU,hdd_calendar,-0.0493100621383882,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,LT,LTU,hdd_calendar,-0.0366330387072368,Electricity
EC-Earth3,-3.5,-3.2771,5,LU,LUX,hdd_calendar,-0.0265633643138888,Electricity
EC-Earth3,-2.5,-2.5562,17,LU,LUX,hdd_calendar,-0.0336152713736714,Electricity
EC-Earth3,-1.5,-1.5166,7,LU,LUX,hdd_calendar,-0.0375619036567187,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,LU,LUX,hdd_calendar,-0.0380055729170419,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,LU,LUX,hdd_calendar,-0.0332561087687971,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,LU,LUX,hdd_calendar,-0.0332827244511926,Electricity
EC-Earth3,-3.5,-3.2771,5,LV,LVA,hdd_calendar,-0.0402182904118768,Electricity
EC-Earth3,-2.5,-2.5562,17,LV,LVA,hdd_calendar,-0.0371953229554905,Electricity
EC-Earth3,-1.5,-1.5166,7,LV,LVA,hdd_calendar,-0.0442825498459029,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,LV,LVA,hdd_calendar,-0.0406506275049056,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,LV,LVA,hdd_calendar,-0.0500137748166256,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,LV,LVA,hdd_calendar,-0.0367048712282116,Electricity
EC-Earth3,-3.5,-3.2771,5,MT,MLT,hdd_calendar,-0.0120209223477399,Electricity
EC-Earth3,-2.5,-2.5562,17,MT,MLT,hdd_calendar,-0.0179663565703027,Electricity
EC-Earth3,-1.5,-1.5166,7,MT,MLT,hdd_calendar,-0.0184372113972319,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,MT,MLT,hdd_calendar,-0.0183934251995894,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,MT,MLT,hdd_calendar,-0.0142550859014034,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,MT,MLT,hdd_calendar,-0.0134612016136719,Electricity
EC-Earth3,-3.5,-3.2771,5,NL,NLD,hdd_calendar,-0.0269612016673419,Electricity
EC-Earth3,-2.5,-2.5562,17,NL,NLD,hdd_calendar,-0.0298985068854303,Electricity
EC-Earth3,-1.5,-1.5166,7,NL,NLD,hdd_calendar,-0.0380357112632838,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,NL,NLD,hdd_calendar,-0.0328960515191364,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,NL,NLD,hdd_calendar,-0.0316309678758648,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,NL,NLD,hdd_calendar,-0.0286362749224153,Electricity
