model,bin_id,delta_sv,n_years,cntr,crop,component,dln
IPSL-CM6A-LR,-2.5,-2.5023,10,ES,Spring barley,gdd_mj,-0.146558491583217
EC-Earth3,-3.5,-3.2771,5,FI,Spring barley,gdd_mj,-0.170453493852121
EC-Earth3,-2.5,-2.5562,17,FI,Spring barley,gdd_mj,-0.125853587643495
EC-Earth3,-1.5,-1.5166,7,FI,Spring barley,gdd_mj,-0.163695359664015
IPSL-CM6A-LR,-4.5,-4.291,5,FI,Spring barley,gdd_mj,-0.115274252538218
IPSL-CM6A-LR,-3.5,-3.4498,14,FI,Spring barley,gdd_mj,-0.122830673405365
IPSL-CM6A-LR,-2.5,-2.5023,10,FI,Spring barley,gdd_mj,-0.114221843623864
EC-Earth3,-3.5,-3.2771,5,FR,Spring barley,gdd_mj,-0.107022070315503
EC-Earth3,-2.5,-2.5562,17,FR,Spring barley,gdd_mj,-0.139708679452288
EC-Earth3,-1.5,-1.5166,7,FR,Spring barley,gdd_mj,-0.168252741576355
IPSL-CM6A-LR,-4.5,-4.291,5,FR,Spring barley,gdd_mj,-0.18042713873129
IPSL-CM6A-LR,-3.5,-3.4498,14,FR,Spring barley,gdd_mj,-0.101401935247637
IPSL-CM6A-LR,-2.5,-2.5023,10,FR,Spring barley,gdd_mj,-0.118712198451686
EC-Earth3,-3.5,-3.2771,5,HU,Spring barley,gdd_mj,-0.123493032700146
EC-Earth3,-2.5,-2.5562,17,HU,Spring barley,gdd_mj,-0.132163731408139
EC-Earth3,-1.5,-1.5166,7,HU,Spring barley,gdd_mj,-0.191614184373229
IPSL-CM6A-LR,-4.5,-4.291,5,HU,Spring barley,gdd_mj,-0.171789115139646
IPSL-CM6A-LR,-3.5,-3.4498,14,HU,Spring barley,gdd_mj,-0.130516242793856
IPSL-CM6A-LR,-2.5,-2.5023,10,HU,Spring barley,gdd_mj,-0.183412915399796
EC-Earth3,-3.5,-3.2771,5,LT,Spring barley,gdd_mj,-0.15605130847064
EC-Earth3,-2.5,-2.5562,17,LT,Spring barley,gdd_mj,-0.118206706430989
EC-Earth3,-1.5,-1.5166,7,LT,Spring barley,gdd_mj,-0.149102155205159
IPSL-CM6A-LR,-4.5,-4.291,5,LT,Spring barley,gdd_mj,-0.141363082184791
IPSL-CM6A-LR,-3.5,-3.4498,14,LT,Spring barley,gdd_mj,-0.135327829101642
IPSL-CM6A-LR,-2.5,-2.5023,10,LT,Spring barley,gdd_mj,-0.154922820918269
EC-Earth3,-3.5,-3.2771,5,LV,Spring barley,gdd_mj,-0.172671959730302
EC-Earth3,-2.5,-2.5562,17,LV,Spring barley,gdd_mj,-0.123120926917854
EC-Earth3,-1.5,-1.5166,7,LV,Spring barley,gdd_mj,-0.15551139400709
IPSL-CM6A-LR,-4.5,-4.291,5,LV,Spring barley,gdd_mj,-0.134028387758343
IPSL-CM6A-LR,-3.5,-3.4498,14,LV,Spring barley,gdd_mj,-0.137308245923111
IPSL-CM6A-LR,-2.5,-2.5023,10,LV,Spring barley,gdd_mj,-0.149843641814299
EC-Earth3,-3.5,-3.2771,5,SE,Spring barley,gdd_mj,-0.137104104274881
EC-Earth3,-2.5,-2.5562,17,SE,Spring barley,gdd_mj,-0.126478632899362
EC-Earth3,-1.5,-1.5166,7,SE,Spring barley,gdd_mj,-0.172065747826201
IPSL-CM6A-LR,-4.5,-4.291,5,SE,Spring barley,gdd_mj,-0.142191877485794
IPSL-CM6A-LR,-3.5,-3.4498,14,SE,Spring barley,gdd_mj,-0.107292555560555
IPSL-CM6A-LR,-2.5,-2.5023,10,SE,Spring barley,gdd_mj,-0.109630370819155
EC-Earth3,-3.5,-3.2771,5,SK,Spring barley,gdd_mj,-0.106226110952636
EC-Earth3,-2.5,-2.5562,17,SK,Spring barley,gdd_mj,-0.125150195605985
EC-Earth3,-1.5,-1.5166,7,SK,Spring barley,gdd_mj,-0.186537405009461
IPSL-CM6A-LR,-4.5,-4.291,5,SK,Spring barley,gdd_mj,-0.168794662444714
IPSL-CM6A-LR,-3.5,-3.4498,14,SK,Spring barley,gdd_mj,-0.126003229798438
IPSL-CM6A-LR,-2.5,-2.5023,10,SK,Spring barley,gdd_mj,-0.17944861741303
EC-Earth3,-3.5,-3.2771,5,CZ,Winter barley,gdd_mj,-0.105658692008486
EC-Earth3,-2.5,-2.5562,17,CZ,Winter barley,gdd_mj,-0.130251120307048
EC-Earth3,-1.5,-1.5166,7,CZ,Winter barley,gdd_mj,-0.175423682298003
IPSL-CM6A-LR,-4.5,-4.291,5,CZ,Winter barley,gdd_mj,-0.180317112989783
IPSL-CM6A-LR,-3.5,-3.4498,14,CZ,Winter barley,gdd_mj,-0.123826065545473
IPSL-CM6A-LR,-2.5,-2.5023,10,CZ,Winter barley,gdd_mj,-0.164037893590833
EC-Earth3,-3.5,-3.2771,5,DE,Winter barley,gdd_mj,-0.120467677395537
EC-Earth3,-2.5,-2.5562,17,DE,Winter barley,gdd_mj,-0.133478332704559
EC-Earth3,-1.5,-1.5166,7,DE,Winter barley,gdd_mj,-0.171822771901885
IPSL-CM6A-LR,-4.5,-4.291,5,DE,Winter barley,gdd_mj,-0.186572481925985
IPSL-CM6A-LR,-3.5,-3.4498,14,DE,Winter barley,gdd_mj,-0.112815555400438
IPSL-CM6A-LR,-2.5,-2.5023,10,DE,Winter barley,gdd_mj,-0.141186756003991
EC-Earth3,-3.5,-3.2771,5,DK,Winter barley,gdd_mj,-0.137346474024916
EC-Earth3,-2.5,-2.5562,17,DK,Winter barley,gdd_mj,-0.127687719450168
EC-Earth3,-1.5,-1.5166,7,DK,Winter barley,gdd_mj,-0.172773030151289
IPSL-CM6A-LR,-4.5,-4.291,5,DK,Winter barley,gdd_mj,-0.154715423170174
IPSL-CM6A-LR,-3.5,-3.4498,14,DK,Winter barley,gdd_mj,-0.101145185500419
IPSL-CM6A-LR,-2.5,-2.5023,10,DK,Winter barley,gdd_mj,-0.102537153144687
EC-Earth3,-3.5,-3.2771,5,EE,Winter barley,gdd_mj,-0.193365492990038
EC-Earth3,-2.5,-2.5562,17,EE,Winter barley,gdd_mj,-0.13930764557731
