branch,model,bin_id,component,crop,n,mean,sd,lo,hi,central
crop,IPSL-CM6A-LR,-2.5,heat_mj,Spring barley,16,-0.040506770748891,0.0144653363014247,-0.0655213742632431,-0.0134554758286687,-0.0365514929875587
crop,IPSL-CM6A-LR,-2.5,precip_mj,Spring barley,16,-0.000138119074265295,0.0307168055881377,-0.0426729168836572,0.0699040313840411,-0.000296307162618762
crop,IPSL-CM6A-LR,-2.5,precip_mj2,Spring barley,16,-0.0130100521546811,0.0263266114684396,-0.0716766832300854,0.0238587772443848,-0.00384908081905287
crop,IPSL-CM6A-LR,-2.5,frost_mj,Winter barley,16,0.0172230366731252,0.0157351347906117,-0.0274984211758928,0.0380049203693002,0.0215727589612098
crop,IPSL-CM6A-LR,-2.5,gdd_mj,Winter barley,16,-0.127064419767703,0.052468939217828,-0.225209352038857,-0.0538818631190576,-0.124462153346581
crop,IPSL-CM6A-LR,-2.5,heat_mj,Winter barley,16,0.0263148324496776,0.00927509269984496,0.0107997647721562,0.0446881114983661,0.0230553690573185
crop,IPSL-CM6A-LR,-2.5,precip_mj,Winter barley,16,0.00787344106523591,0.0438784709547702,-0.0807272412834657,0.0828816060125006,0.0077468073271212
crop,IPSL-CM6A-LR,-2.5,precip_mj2,Winter barley,16,-0.0183111130734581,0.0442872834225878,-0.107599211247431,0.0613742181835896,-0.00920424292078723
crop,IPSL-CM6A-LR,-1.5,frost_mj,ALL,5,0.0122828141928741,0.0196729022070187,-0.0201119355387462,0.0320754634502833,0.017048427216082
crop,IPSL-CM6A-LR,-1.5,gdd_mj,ALL,5,-0.0886921299160821,0.0632631214654213,-0.153736177957915,-0.00389620027094056,-0.0863028077253321
crop,IPSL-CM6A-LR,-1.5,heat_mj,ALL,5,-0.0270248853302667,0.013686588834237,-0.0450743252281942,-0.0111349403668852,-0.0229724166766604
crop,IPSL-CM6A-LR,-1.5,precip_mj,ALL,5,0.00190849047070153,0.0296695056430927,-0.0352989491084259,0.0434403692443317,0.00171174704473824
crop,IPSL-CM6A-LR,-1.5,precip_mj2,ALL,5,-0.0158328263679126,0.0297234788249338,-0.0569158445707491,0.0233054462212373,-0.0065555432080206
crop,IPSL-CM6A-LR,-1.5,frost_mj,Durum wheat,5,0.0098867026741364,0.00619786098557695,0.00139079827603101,0.0177443015900107,0.0119007917580817
crop,IPSL-CM6A-LR,-1.5,gdd_mj,Durum wheat,5,-0.0870809141368661,0.0436758992021386,-0.126851005458461,-0.0179551126924466,-0.0887170297741142
crop,IPSL-CM6A-LR,-1.5,heat_mj,Durum wheat,5,0.0271541510197477,0.0113080483732892,0.0114350856068839,0.0422933912578223,0.0256118027864931
crop,IPSL-CM6A-LR,-1.5,precip_mj,Durum wheat,5,-0.0339393663060798,0.0531428060649852,-0.108582090190704,0.0284799370980017,-0.034635888457614
