model,bin_id,component,dsv_amoc,n_amoc,dln_amoc,dsv_isimip,n_isimip,dln_isimip,branch,fuel,dln_residual,pct_amoc,pct_isimip,pct_residual
IPSL-CM6A-LR,-4.5,precip_mj2,-4.3507,11,0.0184291869110266,-4.3046,12,0.0191620426927637,crop (spec A),,0.0007328557817371,1.86000523994943,1.93468129376395,0.0733124386147699
IPSL-CM6A-LR,-5.5,frost_mj,-5.5623,13,-0.0342652405314589,-5.3985,4,0.0393696900656574,crop (spec A),,0.0736349305971163,-3.36848353047023,4.01549475303868,7.64137680260588
IPSL-CM6A-LR,-5.5,gdd_mj,-5.5623,13,0.0859285884452549,-5.3985,4,-0.256372434896645,crop (spec A),,-0.3423010233419,8.9728506319581,-22.6146295008806,-28.9865594500426
IPSL-CM6A-LR,-5.5,heat_mj,-5.5623,13,0.00808780937277025,-5.3985,4,-0.0626757439798401,crop (spec A),,-0.0707635533526104,0.812060405575621,-6.07520188704159,-6.83178407911629
IPSL-CM6A-LR,-5.5,precip_mj,-5.5623,13,-0.0376329206470629,-5.3985,4,-0.0124265591544757,crop (spec A),,0.0252063614925872,-3.69336021959955,-1.23496682940851,2.55267279161302
IPSL-CM6A-LR,-5.5,precip_mj2,-5.5623,13,0.0300731197701724,-5.3985,4,0.00648438140746796,crop (spec A),,-0.0235887383627044,3.05298833069427,0.650545052403029,-2.33126988087125
EC-Earth3,-2.5,frost,-2.4493,5,-0.00108946829793714,-2.5448,11,-0.0011271102749742,crop (spec C),,-3.76419770370601e-05,-0.108887504281485,-0.112647532476362,-0.00376412685867411
EC-Earth3,-2.5,gdd,-2.4493,5,-0.000162005908867788,-2.5448,11,0.000294166345017421,crop (spec C),,0.000456172253885209,-0.0161992786619214,0.0294209616179542,0.0456276316270765
EC-Earth3,-2.5,heat,-2.4493,5,0.000514582867253591,-2.5448,11,-0.0154166996628328,crop (spec C),,-0.0159312825300864,0.0514715287730061,-1.52984706951674,-1.58050508815853
EC-Earth3,-2.5,precip,-2.4493,5,-0.0475986408280553,-2.5448,11,-0.00495485708365484,crop (spec C),,0.0426437837444005,-4.64835871549171,-0.494260202833241,4.35660934274174
EC-Earth3,-2.5,precip2,-2.4493,5,0.0314011964833225,-2.5448,11,0.00113528768801294,crop (spec C),,-0.0302659087953096,3.18994152676235,0.113593237102405,-2.98124821483894
