model,bin_id,delta_sv,n_years,component,dln,spec,branch
HadGEM3-GC3-1LL,-5.5,-5.5797,10,precip_mj,-0.0231771976661003,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-4.5,-4.5263,6,precip_mj,-0.0464936110085083,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-3.5,-3.7835,7,precip_mj,-0.0157868889290002,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-2.5,-2.4504,6,precip_mj,-0.0438610297958566,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-1.5,-1.3098,8,precip_mj,-0.00406765231632343,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-0.5,-0.331,6,precip_mj,-0.0116493584596518,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-14.5,-14.3032,4,precip_mj,-0.0623645588618509,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-13.5,-13.3931,8,precip_mj,-0.0604278346004973,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-12.5,-12.588,13,precip_mj,-0.0740804459698619,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-11.5,-11.5321,21,precip_mj,-0.0791553395981925,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-10.5,-10.4803,10,precip_mj,-0.0689004342587559,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-9.5,-9.6161,7,precip_mj,-0.058053320009196,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-8.5,-8.6582,7,precip_mj,-0.0573681308523407,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-7.5,-7.6345,8,precip_mj,-0.0414249471886672,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-6.5,-6.4299,4,precip_mj,-0.0391149537021896,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-5.5,-5.3528,4,precip_mj,-0.0275702693400334,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-4.5,-4.3969,4,precip_mj,-0.00540895765852726,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-9.5,-9.3401,5,precip_mj,-0.0428336158310079,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-8.5,-8.4598,8,precip_mj,-0.0423044119251505,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-7.5,-7.5255,19,precip_mj,-0.0488476063349756,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-6.5,-6.5577,11,precip_mj,-0.0555137623283011,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-5.5,-5.5623,13,precip_mj,-0.0376329206470629,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-4.5,-4.3507,11,precip_mj,-0.0221107076479519,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-3.5,-3.4644,8,precip_mj,-0.0222532798320608,benchmark,NAHosMIP (A)
