model,cntr,crop,component,dln
ipsl-cm6a-lr,FI,Spring barley,frost_mj,0.0705340232697888
ec-earth3,FR,Spring barley,frost_mj,0.0196183075872345
ipsl-cm6a-lr,FR,Spring barley,frost_mj,0.017444867753912
ec-earth3,HU,Spring barley,frost_mj,0.0237112934807554
ipsl-cm6a-lr,HU,Spring barley,frost_mj,0.020799348128873
ec-earth3,LT,Spring barley,frost_mj,0.0506792981277715
ipsl-cm6a-lr,LT,Spring barley,frost_mj,0.0432967141481584
ec-earth3,LV,Spring barley,frost_mj,0.056158509591335
ipsl-cm6a-lr,LV,Spring barley,frost_mj,0.0490280116263201
ec-earth3,SE,Spring barley,frost_mj,0.0611235787866192
ipsl-cm6a-lr,SE,Spring barley,frost_mj,0.0534337359638535
ec-earth3,SK,Spring barley,frost_mj,0.0350645865805076
ipsl-cm6a-lr,SK,Spring barley,frost_mj,0.0305108372387132
ec-earth3,CZ,Winter barley,frost_mj,0.0806956059801321
ipsl-cm6a-lr,CZ,Winter barley,frost_mj,0.0672809475336363
ec-earth3,DE,Winter barley,frost_mj,0.0600910746711969
ipsl-cm6a-lr,DE,Winter barley,frost_mj,0.0523989864054142
ec-earth3,DK,Winter barley,frost_mj,0.057051486831282
ipsl-cm6a-lr,DK,Winter barley,frost_mj,0.0504091014969433
ec-earth3,EE,Winter barley,frost_mj,0.122453641806554
ipsl-cm6a-lr,EE,Winter barley,frost_mj,0.111150268595012
ec-earth3,EL,Winter barley,frost_mj,0.02460221296903
ipsl-cm6a-lr,EL,Winter barley,frost_mj,0.0202524359646615
ec-earth3,ES,Winter barley,frost_mj,0.0283130751692878
ipsl-cm6a-lr,ES,Winter barley,frost_mj,0.0247614457542232
ec-earth3,FR,Winter barley,frost_mj,0.0331713212091626
ipsl-cm6a-lr,FR,Winter barley,frost_mj,0.0294785141751217
ec-earth3,HU,Winter barley,frost_mj,0.0414519097814249
ipsl-cm6a-lr,HU,Winter barley,frost_mj,0.0364703292670859
ec-earth3,IT,Winter barley,frost_mj,0.0154113719372586
ipsl-cm6a-lr,IT,Winter barley,frost_mj,0.0142105636271038
ec-earth3,LT,Winter barley,frost_mj,0.0957241923186707
ipsl-cm6a-lr,LT,Winter barley,frost_mj,0.0816837734947054
ec-earth3,LV,Winter barley,frost_mj,0.104237143803952
ipsl-cm6a-lr,LV,Winter barley,frost_mj,0.0912057563631578
ec-earth3,SE,Winter barley,frost_mj,0.100993240231181
ipsl-cm6a-lr,SE,Winter barley,frost_mj,0.0875155729583613
ec-earth3,SK,Winter barley,frost_mj,0.0685302581872922
ipsl-cm6a-lr,SK,Winter barley,frost_mj,0.0594497800368429
ec-earth3,CZ,Soft wheat,precip_mj,-0.0146604284493763
ipsl-cm6a-lr,CZ,Soft wheat,precip_mj,0.00544589619124283
ec-earth3,DE,Soft wheat,precip_mj,0.00867420954301743
ipsl-cm6a-lr,DE,Soft wheat,precip_mj,-0.000754092210390216
ec-earth3,DK,Soft wheat,precip_mj,0.034448091758837
ipsl-cm6a-lr,DK,Soft wheat,precip_mj,0.00552041483528351
ec-earth3,EE,Soft wheat,precip_mj,0.0910670185937366
ipsl-cm6a-lr,EE,Soft wheat,precip_mj,0.00469968020418479
ec-earth3,EL,Soft wheat,precip_mj,-0.0507214489811757
ipsl-cm6a-lr,EL,Soft wheat,precip_mj,-0.0174725335127814
ec-earth3,ES,Soft wheat,precip_mj,-0.0712296604090389
ipsl-cm6a-lr,ES,Soft wheat,precip_mj,-0.0354452005935994
ec-earth3,FI,Soft wheat,precip_mj,0.0778614098168127
ipsl-cm6a-lr,FI,Soft wheat,precip_mj,0.0093994698902141
ec-earth3,FR,Soft wheat,precip_mj,-0.0317459918377883
ipsl-cm6a-lr,FR,Soft wheat,precip_mj,-0.0364690019213056
ec-earth3,HU,Soft wheat,precip_mj,-0.065884532843197
ipsl-cm6a-lr,HU,Soft wheat,precip_mj,0.00361823852037301
ec-earth3,IT,Soft wheat,precip_mj,-0.0978211220179299
ipsl-cm6a-lr,IT,Soft wheat,precip_mj,-0.0356936949302193
ec-earth3,LT,Soft wheat,precip_mj,0.0728527556591168
ipsl-cm6a-lr,LT,Soft wheat,precip_mj,0.0013167347597347
ec-earth3,LV,Soft wheat,precip_mj,0.0873826216145342
ipsl-cm6a-lr,LV,Soft wheat,precip_mj,0.00634557061681574
ec-earth3,RO,Soft wheat,precip_mj,-0.050026754483087
ipsl-cm6a-lr,RO,Soft wheat,precip_mj,0.000710894636771489
ec-earth3,SE,Soft wheat,precip_mj,0.0797530523052546
ipsl-cm6a-lr,SE,Soft wheat,precip_mj,0.00179435421926417
ec-earth3,SK,Soft wheat,precip_mj,-0.0620701768321079
