model,bin_id,delta_sv,n_years,fuel,component,dln
HadGEM3-GC3-1MM,-11.5,-11.5321,21,Natural gas,hdd_octmar,0.117466422284111
HadGEM3-GC3-1MM,-10.5,-10.4803,10,Natural gas,hdd_octmar,0.0967004485468298
HadGEM3-GC3-1MM,-9.5,-9.6161,7,Natural gas,hdd_octmar,0.0808809576341212
HadGEM3-GC3-1MM,-8.5,-8.6582,7,Natural gas,hdd_octmar,0.0649677466228651
HadGEM3-GC3-1MM,-7.5,-7.6345,8,Natural gas,hdd_octmar,0.054176588495406
HadGEM3-GC3-1MM,-6.5,-6.4299,4,Natural gas,hdd_octmar,0.0416745487068863
HadGEM3-GC3-1MM,-5.5,-5.3528,4,Natural gas,hdd_octmar,0.0276523937638916
HadGEM3-GC3-1MM,-4.5,-4.3969,4,Natural gas,hdd_octmar,0.021593466173655
IPSL-CM6A-LR,-9.5,-9.3401,5,Natural gas,hdd_octmar,0.0959857844969267
IPSL-CM6A-LR,-8.5,-8.4598,8,Natural gas,hdd_octmar,0.0967546908882204
IPSL-CM6A-LR,-7.5,-7.5255,19,Natural gas,hdd_octmar,0.0760116633548904
IPSL-CM6A-LR,-6.5,-6.5577,11,Natural gas,hdd_octmar,0.0953661703411332
IPSL-CM6A-LR,-5.5,-5.5623,13,Natural gas,hdd_octmar,0.0535126917787674
IPSL-CM6A-LR,-4.5,-4.3507,11,Natural gas,hdd_octmar,0.0278882433915637
IPSL-CM6A-LR,-3.5,-3.4644,8,Natural gas,hdd_octmar,0.0337415131487968
IPSL-CM6A-LR,-2.5,-2.5669,9,Natural gas,hdd_octmar,0.0199027576530714
IPSL-CM6A-LR,-1.5,-1.2909,6,Natural gas,hdd_octmar,0.0310318525320547
IPSL-CM6A-LR,-0.5,-0.6347,8,Natural gas,hdd_octmar,0.00141543419531477
