model,bin_id,delta_sv,n_years,ssp_year,component,crop,dln,branch
IPSL-CM6A-LR,-4.5,-4.291,1,2087,precip,Soft wheat,0.0118578195029656,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2088,precip,Soft wheat,0.00763201409338912,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2089,precip,Soft wheat,0.0343414990353377,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2090,precip,Soft wheat,0.0631620940888113,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2091,precip,Soft wheat,0.00585796667168639,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2092,precip,Soft wheat,0.0258520465977006,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2093,precip,Soft wheat,0.0495371467552602,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2094,precip,Soft wheat,0.0594461037927857,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2095,precip,Soft wheat,0.0988827162486274,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2096,precip,Soft wheat,-0.000236916475219661,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2097,precip,Soft wheat,0.00110096061130505,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2098,precip,Soft wheat,0.0984877553642912,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2099,precip,Soft wheat,0.0242705298148027,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2100,precip,Soft wheat,0.0520412719198099,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2071,precip2,Soft wheat,-0.0755492208836113,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2072,precip2,Soft wheat,-0.0422993469985279,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2073,precip2,Soft wheat,0.00527489015549181,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2074,precip2,Soft wheat,0.0235876934673885,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2075,precip2,Soft wheat,-0.0209399494089597,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2076,precip2,Soft wheat,0.00899210902931931,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2077,precip2,Soft wheat,-0.0196206101308716,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2078,precip2,Soft wheat,-0.0534107746770033,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2079,precip2,Soft wheat,0.0115617092248499,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2080,precip2,Soft wheat,-0.025553762951606,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2081,precip2,Soft wheat,-0.0286889057746311,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2082,precip2,Soft wheat,-0.0780825969317568,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2084,precip2,Soft wheat,-0.0192263672627698,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2085,precip2,Soft wheat,2.69768832627101e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2086,precip2,Soft wheat,0.000312186964042428,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2087,precip2,Soft wheat,-0.0097251229515665,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2088,precip2,Soft wheat,-0.00986219021133219,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2089,precip2,Soft wheat,-0.034219235998586,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2090,precip2,Soft wheat,-0.0645396533600813,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2091,precip2,Soft wheat,-0.00842684609393016,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2092,precip2,Soft wheat,-0.0309406960212859,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2093,precip2,Soft wheat,-0.0537568305796962,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2094,precip2,Soft wheat,-0.058687622239436,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2095,precip2,Soft wheat,-0.0968763256715384,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2096,precip2,Soft wheat,-0.00652054670405855,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2097,precip2,Soft wheat,-0.00386191008945517,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2098,precip2,Soft wheat,-0.0906381966917114,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2099,precip2,Soft wheat,-0.024534516619132,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2100,precip2,Soft wheat,-0.0601855118758571,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2071,gdd,Spring barley,-2.9366055950339e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2072,gdd,Spring barley,-0.000405515802042478,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2073,gdd,Spring barley,-0.000301164878308618,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2074,gdd,Spring barley,-0.000194362886338449,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2075,gdd,Spring barley,2.71014519621834e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2076,gdd,Spring barley,-0.000108212642198043,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2077,gdd,Spring barley,-0.000178710461166123,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2078,gdd,Spring barley,1.09025994507892e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2079,gdd,Spring barley,0.000146021298273931,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2080,gdd,Spring barley,1.5708612490952e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2081,gdd,Spring barley,-0.000168952757146931,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2082,gdd,Spring barley,-6.12759539493785e-05,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2084,gdd,Spring barley,-8.56981548452523e-05,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2085,gdd,Spring barley,-9.01960325510769e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2086,gdd,Spring barley,-0.000212270365260276,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2087,gdd,Spring barley,-0.000142279601831892,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2088,gdd,Spring barley,-0.000118436156142052,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2089,gdd,Spring barley,1.110686283505e-05,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2090,gdd,Spring barley,-4.54562713963618e-06,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2091,gdd,Spring barley,8.58799354304199e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2092,gdd,Spring barley,-0.000351324241085018,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2093,gdd,Spring barley,-0.000102351089750711,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2094,gdd,Spring barley,0.000271704902801055,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2095,gdd,Spring barley,0.000196202928835289,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2096,gdd,Spring barley,-6.79645373141864e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2097,gdd,Spring barley,-0.000175835743010437,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2098,gdd,Spring barley,-0.000103714958678185,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2099,gdd,Spring barley,3.54728899927047e-05,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2100,gdd,Spring barley,-2.87236905332497e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2071,heat,Spring barley,-0.0299856249328594,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2072,heat,Spring barley,-0.0495658047676323,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2073,heat,Spring barley,-0.0144775908301716,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2074,heat,Spring barley,-0.0192120433484794,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2075,heat,Spring barley,-0.034239436973544,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2076,heat,Spring barley,-0.0365219905692462,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2077,heat,Spring barley,-0.00159790929295148,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2078,heat,Spring barley,-0.056090768191933,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2079,heat,Spring barley,-0.0187693986866432,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2080,heat,Spring barley,-0.00196007591977781,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2081,heat,Spring barley,-0.0205652601809806,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2082,heat,Spring barley,-0.00669812633453968,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2084,heat,Spring barley,-0.0057062131354849,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2085,heat,Spring barley,-0.0224818669154983,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2086,heat,Spring barley,0.00917570401393065,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2087,heat,Spring barley,-0.0224133416433078,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2088,heat,Spring barley,-0.0437193529323885,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2089,heat,Spring barley,-0.0235913066144006,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2090,heat,Spring barley,-0.017586610364978,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2091,heat,Spring barley,-0.00434879996833474,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2092,heat,Spring barley,-0.0402021421757898,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2093,heat,Spring barley,-0.00707859632518045,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2094,heat,Spring barley,-0.000894908100221125,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2095,heat,Spring barley,-0.045968007056415,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2096,heat,Spring barley,-0.00749847575210848,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2097,heat,Spring barley,-0.0397841230511176,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2098,heat,Spring barley,-0.0114514824826748,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2099,heat,Spring barley,-0.0259404073437252,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2100,heat,Spring barley,-0.0422405138737292,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2071,frost,Spring barley,0.00341091079791448,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2072,frost,Spring barley,0.00771326545415997,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2073,frost,Spring barley,0.00179680560060219,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2074,frost,Spring barley,0.00408777584286502,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2075,frost,Spring barley,0.00479827457891254,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2076,frost,Spring barley,0.00335802945379424,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2077,frost,Spring barley,-3.05981921289369e-06,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2078,frost,Spring barley,0.00448838738801157,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2079,frost,Spring barley,0.00245987152768203,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2080,frost,Spring barley,0.00461400576030191,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2081,frost,Spring barley,0.00537624714859363,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2082,frost,Spring barley,0.003633548566781,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2084,frost,Spring barley,0.00145290372651428,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2085,frost,Spring barley,-0.00224678727109928,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2086,frost,Spring barley,-0.000418910497592906,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2087,frost,Spring barley,0.00310646510774686,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2088,frost,Spring barley,0.00140107821877714,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2089,frost,Spring barley,0.00329015027601609,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2090,frost,Spring barley,0.000897939416174801,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2091,frost,Spring barley,-0.000259850124015878,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2092,frost,Spring barley,0.000760447705728052,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2093,frost,Spring barley,0.00173807429918637,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2094,frost,Spring barley,0.00151054427693899,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2095,frost,Spring barley,0.00256467297672607,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2096,frost,Spring barley,0.00131373201908207,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2097,frost,Spring barley,-0.000374853996994212,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2098,frost,Spring barley,0.00370116337805048,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2099,frost,Spring barley,0.00201269614601109,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2100,frost,Spring barley,0.00608408463104633,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2071,precip,Spring barley,0.040211253944448,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2072,precip,Spring barley,0.0314681792228752,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2073,precip,Spring barley,0.0290163123465308,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2074,precip,Spring barley,-0.0216440163623686,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2075,precip,Spring barley,0.0322681251853404,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2076,precip,Spring barley,0.0343771629635688,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2077,precip,Spring barley,0.0462036445276677,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2078,precip,Spring barley,0.0779449564714108,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2079,precip,Spring barley,0.0628742811036546,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2080,precip,Spring barley,0.0503966753589938,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2081,precip,Spring barley,0.0353229851405251,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2082,precip,Spring barley,0.123014801091784,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2084,precip,Spring barley,0.0362046945886355,crop_gddwin
