branch,model,bin_id,crop,n,mean,sd,lo,hi,central
crop_gddwin,EC-Earth3,-3.5,Soft wheat,8,-0.0432053046128334,0.0237432554332679,-0.0924915902587152,-0.0264016619431192,-0.028113769647332
crop_gddwin,EC-Earth3,-3.5,Spring barley,8,-0.0513588731440531,0.039500607332922,-0.136433106169552,-0.0162232904893136,-0.024227209373845
crop_gddwin,EC-Earth3,-3.5,Winter barley,8,-0.0217615194515802,0.0193126865933443,-0.056861576094896,-0.00334843303349983,-0.00921735366407906
crop_gddwin,EC-Earth3,-2.5,ALL,11,-0.0330096930913903,0.012728284343868,-0.0579144246382889,-0.00718914053975737,-0.0200692129884315
crop_gddwin,EC-Earth3,-2.5,Durum wheat,11,-0.0248310762450742,0.0252745269849919,-0.0533289072007089,0.0181754968265391,-0.0132650119657963
crop_gddwin,EC-Earth3,-2.5,Soft wheat,11,-0.0339589346935839,0.014740045625742,-0.0616188820936693,-0.00963351993765436,-0.0221117224376863
crop_gddwin,EC-Earth3,-2.5,Spring barley,11,-0.0452278428318957,0.0272564903927544,-0.0914252771372319,0.00302836169383528,-0.0261025156727899
crop_gddwin,EC-Earth3,-2.5,Winter barley,11,-0.0175324139844837,0.0070030942016912,-0.0287565237343411,-0.00713124580105481,-0.00794029223357712
crop_gddwin,IPSL-CM6A-LR,-5.5,ALL,4,-0.0238290326309583,0.00412867658371681,-0.0288130893336396,-0.0199676989730717,-0.0176605722028792
crop_gddwin,IPSL-CM6A-LR,-5.5,Durum wheat,4,-0.00887245366942372,0.0162860960006793,-0.0206187799801121,0.014342401921364,-0.00437654041480685
crop_gddwin,IPSL-CM6A-LR,-5.5,Soft wheat,4,-0.0300240666308719,0.00372695294409966,-0.0334833726103336,-0.0247717410539846,-0.023810148705154
crop_gddwin,IPSL-CM6A-LR,-5.5,Spring barley,4,-0.0203846202553089,0.00501407595053241,-0.0259867778597315,-0.0155055862790607,-0.0121295987132542
crop_gddwin,IPSL-CM6A-LR,-5.5,Winter barley,4,-0.0140799542084796,0.00502446766066672,-0.0195439607564379,-0.00822474987074372,-0.00987114674205637
crop_gddwin,IPSL-CM6A-LR,-4.5,ALL,12,-0.0350666900648688,0.0238710816483626,-0.0780401852102054,-0.00437238433509516,-0.0189000392610147
crop_gddwin,IPSL-CM6A-LR,-4.5,Durum wheat,12,-0.0173012884506793,0.0347960218663908,-0.10610423749467,0.0173845470239774,-0.00544779536001397
crop_gddwin,IPSL-CM6A-LR,-4.5,Soft wheat,12,-0.0388849802637304,0.0247429088959623,-0.0812623985026164,-0.00759150375928879,-0.0234948774608867
crop_gddwin,IPSL-CM6A-LR,-4.5,Spring barley,12,-0.047053480082684,0.0350427760391299,-0.105645738135758,0.00626074983843218,-0.0220224759731152
crop_gddwin,IPSL-CM6A-LR,-4.5,Winter barley,12,-0.0150600236336051,0.017683638629005,-0.056113514643215,0.000952894775330795,-0.00524879912141334
crop_gddwin,IPSL-CM6A-LR,-3.5,ALL,7,-0.0339427208657105,0.0212012572378919,-0.0644807007859571,-0.006895930170836,-0.0215370941591399
crop_gddwin,IPSL-CM6A-LR,-3.5,Durum wheat,7,0.00242124663880056,0.0129864777056188,-0.0147399954138411,0.0237991197889026,0.0116158910974332
crop_gddwin,IPSL-CM6A-LR,-3.5,Soft wheat,7,-0.0414512889303758,0.0228505657871833,-0.0706425125785566,-0.012502560072483,-0.0294807603769472
crop_gddwin,IPSL-CM6A-LR,-3.5,Spring barley,7,-0.0450080518356306,0.0399061923435994,-0.113042441634743,0.00804295204970224,-0.0276963562322067
crop_gddwin,IPSL-CM6A-LR,-3.5,Winter barley,7,-0.0135797915385413,0.0117968424612467,-0.0317956515641023,0.00420174399146669,-0.00406838255194488
crop_gddwin,IPSL-CM6A-LR,-2.5,ALL,6,-0.0217752530551455,0.0087540771877027,-0.0304667406360064,-0.00882129993515809,-0.00949288908740363
crop_gddwin,IPSL-CM6A-LR,-2.5,Durum wheat,6,-0.00103679050495104,0.0226970141879627,-0.0369306754191583,0.0263221326237343,0.0103459957904279
crop_gddwin,IPSL-CM6A-LR,-2.5,Soft wheat,6,-0.0270365921304649,0.00667915221948825,-0.0343998992362709,-0.0155156936086083,-0.0164265149587431
