model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
EC-Earth3,-6.5,-6.3408,1,33,Electricity,cdd_jja,0.000485632672900864,energy Electricity
EC-Earth3,-5.5,-5.064,1,34,Electricity,cdd_jja,-6.10010633193503e-05,energy Electricity
EC-Earth3,-3.5,-3.9051,1,35,Electricity,cdd_jja,0.0130911202797026,energy Electricity
EC-Earth3,-5.5,-5.2512,1,36,Electricity,cdd_jja,-0.00363575163469187,energy Electricity
EC-Earth3,-4.5,-4.7716,1,37,Electricity,cdd_jja,0.0175318546990296,energy Electricity
EC-Earth3,-4.5,-4.4358,1,38,Electricity,cdd_jja,-0.00139474043159208,energy Electricity
EC-Earth3,-4.5,-4.9035,1,39,Electricity,cdd_jja,0.00385399135667808,energy Electricity
EC-Earth3,-6.5,-6.18,1,40,Electricity,cdd_jja,6.97663817656167e-05,energy Electricity
EC-Earth3,-6.5,-6.008,1,41,Electricity,cdd_jja,-0.00543445900461405,energy Electricity
EC-Earth3,-6.5,-6.2364,1,42,Electricity,cdd_jja,-0.00346176666247138,energy Electricity
EC-Earth3,-6.5,-6.8341,1,43,Electricity,cdd_jja,-0.00138983822800593,energy Electricity
EC-Earth3,-6.5,-6.675,1,44,Electricity,cdd_jja,0.00663039679559183,energy Electricity
EC-Earth3,-6.5,-6.8501,1,45,Electricity,cdd_jja,0.0038593122381469,energy Electricity
EC-Earth3,-6.5,-6.7223,1,46,Electricity,cdd_jja,-0.00214691069967241,energy Electricity
EC-Earth3,-5.5,-5.7248,1,47,Electricity,cdd_jja,0.00316881714618803,energy Electricity
EC-Earth3,-6.5,-6.2241,1,48,Electricity,cdd_jja,-0.00558220006466031,energy Electricity
EC-Earth3,-5.5,-5.8453,1,49,Electricity,cdd_jja,-0.000877092667789957,energy Electricity
EC-Earth3,-6.5,-6.8563,1,50,Electricity,cdd_jja,-0.00416899965977401,energy Electricity
EC-Earth3,-7.5,-7.5461,1,51,Electricity,cdd_jja,-0.00726050747467684,energy Electricity
EC-Earth3,-6.5,-6.3315,1,52,Electricity,cdd_jja,-0.00591025385368527,energy Electricity
EC-Earth3,-6.5,-6.7481,1,53,Electricity,cdd_jja,0.00313255899589443,energy Electricity
EC-Earth3,-6.5,-6.1066,1,54,Electricity,cdd_jja,-0.00741535423601386,energy Electricity
EC-Earth3,-6.5,-6.0168,1,55,Electricity,cdd_jja,-0.0051564042058569,energy Electricity
EC-Earth3,-5.5,-5.2452,1,56,Electricity,cdd_jja,-0.00817824517153246,energy Electricity
EC-Earth3,-7.5,-7.1289,1,57,Electricity,cdd_jja,0.00469380628144437,energy Electricity
EC-Earth3,-7.5,-7.2115,1,58,Electricity,cdd_jja,-0.00710242521488984,energy Electricity
EC-Earth3,-7.5,-7.9509,1,59,Electricity,cdd_jja,0.000474606002400587,energy Electricity
EC-Earth3,-8.5,-8.2102,1,60,Electricity,cdd_jja,-0.00525104509543897,energy Electricity
EC-Earth3,-6.5,-6.4442,1,61,Electricity,cdd_jja,-0.0100091744035631,energy Electricity
EC-Earth3,-7.5,-7.1806,1,62,Electricity,cdd_jja,-0.0131013787968827,energy Electricity
EC-Earth3,-7.5,-7.7831,1,63,Electricity,cdd_jja,-0.0100724229487711,energy Electricity
EC-Earth3,-7.5,-7.286,1,64,Electricity,cdd_jja,0.000232175206550968,energy Electricity
EC-Earth3,-6.5,-6.7982,1,65,Electricity,cdd_jja,4.83989645374774e-05,energy Electricity
EC-Earth3,-7.5,-7.5499,1,66,Electricity,cdd_jja,0.000352281878056909,energy Electricity
EC-Earth3,-7.5,-7.3663,1,67,Electricity,cdd_jja,8.54674647666917e-05,energy Electricity
EC-Earth3,-7.5,-7.4385,1,68,Electricity,cdd_jja,-0.00558437150615581,energy Electricity
EC-Earth3,-7.5,-7.9514,1,69,Electricity,cdd_jja,-0.00587759920266978,energy Electricity
EC-Earth3,-7.5,-7.4094,1,70,Electricity,cdd_jja,-0.00712361712720083,energy Electricity
EC-Earth3,-7.5,-7.3154,1,71,Electricity,cdd_jja,-0.00886290774533007,energy Electricity
EC-Earth3,-7.5,-7.6278,1,72,Electricity,cdd_jja,-0.00836750972197848,energy Electricity
EC-Earth3,-9.5,-9.1196,1,73,Electricity,cdd_jja,-0.00697572135295129,energy Electricity
EC-Earth3,-8.5,-8.8784,1,74,Electricity,cdd_jja,0.00121881476036459,energy Electricity
EC-Earth3,-8.5,-8.3663,1,75,Electricity,cdd_jja,-0.00448853075630768,energy Electricity
EC-Earth3,-6.5,-6.7767,1,76,Electricity,cdd_jja,-0.00791819308288668,energy Electricity
EC-Earth3,-7.5,-7.9209,1,77,Electricity,cdd_jja,-0.00392212420478286,energy Electricity
