model,bin_id,delta_sv,n_years,cntr,crop,component,dln
IPSL-CM6A-LR,-4.5,-4.3046,12,RO,Soft wheat,gdd,0.00076515665531763
IPSL-CM6A-LR,-3.5,-3.5013,7,RO,Soft wheat,gdd,0.000690590686317421
IPSL-CM6A-LR,-2.5,-2.2964,6,RO,Soft wheat,gdd,0.00059378320237975
EC-Earth3,-4.5,-4.5546,8,SE,Soft wheat,gdd,5.76825273358853e-06
EC-Earth3,-3.5,-3.4737,8,SE,Soft wheat,gdd,9.23183599990121e-06
EC-Earth3,-2.5,-2.5448,11,SE,Soft wheat,gdd,0.000335918803679443
IPSL-CM6A-LR,-5.5,-5.3985,4,SE,Soft wheat,gdd,2.506104454074e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,SE,Soft wheat,gdd,0.000338378488855513
IPSL-CM6A-LR,-3.5,-3.5013,7,SE,Soft wheat,gdd,0.000324330454660113
IPSL-CM6A-LR,-2.5,-2.2964,6,SE,Soft wheat,gdd,0.000191514868873289
EC-Earth3,-4.5,-4.5546,8,SK,Soft wheat,gdd,0.000670735502542918
EC-Earth3,-3.5,-3.4737,8,SK,Soft wheat,gdd,0.000822829765844973
EC-Earth3,-2.5,-2.5448,11,SK,Soft wheat,gdd,0.00094643630782264
IPSL-CM6A-LR,-5.5,-5.3985,4,SK,Soft wheat,gdd,0.000519961136317203
IPSL-CM6A-LR,-4.5,-4.3046,12,SK,Soft wheat,gdd,0.000855935853820709
IPSL-CM6A-LR,-3.5,-3.5013,7,SK,Soft wheat,gdd,0.000761049511042831
IPSL-CM6A-LR,-2.5,-2.2964,6,SK,Soft wheat,gdd,0.000615275418119504
EC-Earth3,-4.5,-4.5546,8,EL,Durum wheat,gdd,0.000742220009196138
EC-Earth3,-3.5,-3.4737,8,EL,Durum wheat,gdd,0.00226165116685023
EC-Earth3,-2.5,-2.5448,11,EL,Durum wheat,gdd,0.00134899209351624
IPSL-CM6A-LR,-5.5,-5.3985,4,EL,Durum wheat,gdd,0.000518028496496298
IPSL-CM6A-LR,-4.5,-4.3046,12,EL,Durum wheat,gdd,0.00200388600129706
IPSL-CM6A-LR,-3.5,-3.5013,7,EL,Durum wheat,gdd,0.00160841285890745
IPSL-CM6A-LR,-2.5,-2.2964,6,EL,Durum wheat,gdd,0.00100729928697907
EC-Earth3,-4.5,-4.5546,8,ES,Durum wheat,gdd,0.000146956103438214
EC-Earth3,-3.5,-3.4737,8,ES,Durum wheat,gdd,0.00142677546569191
EC-Earth3,-2.5,-2.5448,11,ES,Durum wheat,gdd,0.00102308542520923
IPSL-CM6A-LR,-5.5,-5.3985,4,ES,Durum wheat,gdd,0.000279516575539317
IPSL-CM6A-LR,-4.5,-4.3046,12,ES,Durum wheat,gdd,-6.53538065402145e-06
IPSL-CM6A-LR,-3.5,-3.5013,7,ES,Durum wheat,gdd,0.0010219667248471
IPSL-CM6A-LR,-2.5,-2.2964,6,ES,Durum wheat,gdd,0.000199380737337139
EC-Earth3,-4.5,-4.5546,8,FR,Durum wheat,gdd,0.00181425175219635
EC-Earth3,-3.5,-3.4737,8,FR,Durum wheat,gdd,0.00115403438545204
EC-Earth3,-2.5,-2.5448,11,FR,Durum wheat,gdd,0.00155088284902542
IPSL-CM6A-LR,-5.5,-5.3985,4,FR,Durum wheat,gdd,-0.000400366722018123
IPSL-CM6A-LR,-4.5,-4.3046,12,FR,Durum wheat,gdd,0.00113606892535354
IPSL-CM6A-LR,-3.5,-3.5013,7,FR,Durum wheat,gdd,0.00125825373975607
IPSL-CM6A-LR,-2.5,-2.2964,6,FR,Durum wheat,gdd,0.000322089579345087
EC-Earth3,-4.5,-4.5546,8,HU,Durum wheat,gdd,0.00221562897462014
EC-Earth3,-3.5,-3.4737,8,HU,Durum wheat,gdd,0.00244658376843462
EC-Earth3,-2.5,-2.5448,11,HU,Durum wheat,gdd,0.00254520410749735
IPSL-CM6A-LR,-5.5,-5.3985,4,HU,Durum wheat,gdd,8.75965623339927e-06
IPSL-CM6A-LR,-4.5,-4.3046,12,HU,Durum wheat,gdd,0.00246403305187437
IPSL-CM6A-LR,-3.5,-3.5013,7,HU,Durum wheat,gdd,0.00196215117549977
IPSL-CM6A-LR,-2.5,-2.2964,6,HU,Durum wheat,gdd,0.00194448659483226
