model,bin_id,delta_sv,n_years,component,dln
HadGEM3-GC3-1MM,-4.5,-4.3969,4,heat_mj,0.00215877867604226
IPSL-CM6A-LR,-9.5,-9.3401,5,heat_mj,0.0102659785832199
IPSL-CM6A-LR,-8.5,-8.4598,8,heat_mj,0.010800032105009
IPSL-CM6A-LR,-7.5,-7.5255,19,heat_mj,0.00825383674654731
IPSL-CM6A-LR,-6.5,-6.5577,11,heat_mj,0.00768766402321467
IPSL-CM6A-LR,-5.5,-5.5623,13,heat_mj,0.00808780937277025
IPSL-CM6A-LR,-4.5,-4.3507,11,heat_mj,0.002325408724447
IPSL-CM6A-LR,-3.5,-3.4644,8,heat_mj,0.00371762402381238
IPSL-CM6A-LR,-2.5,-2.5669,9,heat_mj,0.00466603094944814
IPSL-CM6A-LR,-1.5,-1.2909,6,heat_mj,0.00396927411294747
IPSL-CM6A-LR,-0.5,-0.6347,8,heat_mj,-0.000433320297054001
EC-Earth3,-9.5,-9.1554,4,frost_mj,-0.0432972410504532
EC-Earth3,-8.5,-8.4726,15,frost_mj,-0.0603728030222579
EC-Earth3,-7.5,-7.5562,20,frost_mj,-0.0445025523141044
EC-Earth3,-6.5,-6.4767,21,frost_mj,-0.0295765139882783
EC-Earth3,-5.5,-5.3342,8,frost_mj,-0.032391389097653
EC-Earth3,-4.5,-4.5495,8,frost_mj,-0.0313944836482179
EC-Earth3,-3.5,-3.3459,9,frost_mj,-0.0380787713610687
EC-Earth3,-2.5,-2.4493,5,frost_mj,-0.0199402292606923
EC-Earth3,-1.5,-1.3807,6,frost_mj,-0.00242887782298804
EC-Earth3,-0.5,-0.6596,3,frost_mj,-0.00595179483105118
HadGEM3-GC3-1LL,-8.5,-8.3848,12,frost_mj,-0.0419296287382582
HadGEM3-GC3-1LL,-7.5,-7.5599,19,frost_mj,-0.0338573509808125
HadGEM3-GC3-1LL,-6.5,-6.5442,24,frost_mj,-0.0426178582005796
HadGEM3-GC3-1LL,-5.5,-5.5797,10,frost_mj,-0.0282264381915481
HadGEM3-GC3-1LL,-4.5,-4.5263,6,frost_mj,-0.032949731059998
HadGEM3-GC3-1LL,-3.5,-3.7835,7,frost_mj,-0.0294531290713707
HadGEM3-GC3-1LL,-2.5,-2.4504,6,frost_mj,-0.0331004076229282
HadGEM3-GC3-1LL,-1.5,-1.3098,8,frost_mj,-0.0011677856534996
HadGEM3-GC3-1LL,-0.5,-0.331,6,frost_mj,-0.00870616935613733
HadGEM3-GC3-1MM,-14.5,-14.3032,4,frost_mj,-0.0930372469047909
HadGEM3-GC3-1MM,-13.5,-13.3931,8,frost_mj,-0.102455621694217
HadGEM3-GC3-1MM,-12.5,-12.588,13,frost_mj,-0.0991688809526557
HadGEM3-GC3-1MM,-11.5,-11.5321,21,frost_mj,-0.0906135112098831
HadGEM3-GC3-1MM,-10.5,-10.4803,10,frost_mj,-0.0699829384754656
HadGEM3-GC3-1MM,-9.5,-9.6161,7,frost_mj,-0.0651471137964
HadGEM3-GC3-1MM,-8.5,-8.6582,7,frost_mj,-0.0512639080083252
HadGEM3-GC3-1MM,-7.5,-7.6345,8,frost_mj,-0.0506513435179168
HadGEM3-GC3-1MM,-6.5,-6.4299,4,frost_mj,-0.0235711127241426
HadGEM3-GC3-1MM,-5.5,-5.3528,4,frost_mj,-0.0343760637927547
HadGEM3-GC3-1MM,-4.5,-4.3969,4,frost_mj,-0.0186364619214984
IPSL-CM6A-LR,-9.5,-9.3401,5,frost_mj,-0.064449449841459
IPSL-CM6A-LR,-8.5,-8.4598,8,frost_mj,-0.0605898973988018
IPSL-CM6A-LR,-7.5,-7.5255,19,frost_mj,-0.0513031686778746
IPSL-CM6A-LR,-6.5,-6.5577,11,frost_mj,-0.0604288810054257
IPSL-CM6A-LR,-5.5,-5.5623,13,frost_mj,-0.0342652405314589
IPSL-CM6A-LR,-4.5,-4.3507,11,frost_mj,-0.0318744051216611
IPSL-CM6A-LR,-3.5,-3.4644,8,frost_mj,-0.0250722871731702
IPSL-CM6A-LR,-2.5,-2.5669,9,frost_mj,-0.00904749983742773
IPSL-CM6A-LR,-1.5,-1.2909,6,frost_mj,-0.0276721166390351
IPSL-CM6A-LR,-0.5,-0.6347,8,frost_mj,0.00310403910774848
EC-Earth3,-9.5,-9.1554,4,precip_mj,-0.011820889446214
EC-Earth3,-8.5,-8.4726,15,precip_mj,-0.0352542361130242
EC-Earth3,-7.5,-7.5562,20,precip_mj,-0.0309604589673141
EC-Earth3,-6.5,-6.4767,21,precip_mj,-0.042078483298847
EC-Earth3,-5.5,-5.3342,8,precip_mj,-0.0318088653063362
EC-Earth3,-4.5,-4.5495,8,precip_mj,-0.0417584538685695
EC-Earth3,-3.5,-3.3459,9,precip_mj,-0.0225653591890312
EC-Earth3,-2.5,-2.4493,5,precip_mj,-0.0405841165680573
EC-Earth3,-1.5,-1.3807,6,precip_mj,-0.00575621484302101
EC-Earth3,-0.5,-0.6596,3,precip_mj,-0.0244214170572742
HadGEM3-GC3-1LL,-8.5,-8.3848,12,precip_mj,-0.0463978280765126
HadGEM3-GC3-1LL,-7.5,-7.5599,19,precip_mj,-0.0342880054940903
HadGEM3-GC3-1LL,-6.5,-6.5442,24,precip_mj,-0.0224081964041991
HadGEM3-GC3-1LL,-5.5,-5.5797,10,precip_mj,-0.0231771976661003
HadGEM3-GC3-1LL,-4.5,-4.5263,6,precip_mj,-0.0464936110085083
HadGEM3-GC3-1LL,-3.5,-3.7835,7,precip_mj,-0.0157868889290002
HadGEM3-GC3-1LL,-2.5,-2.4504,6,precip_mj,-0.0438610297958566
HadGEM3-GC3-1LL,-1.5,-1.3098,8,precip_mj,-0.00406765231632343
HadGEM3-GC3-1LL,-0.5,-0.331,6,precip_mj,-0.0116493584596518
HadGEM3-GC3-1MM,-14.5,-14.3032,4,precip_mj,-0.0623645588618509
HadGEM3-GC3-1MM,-13.5,-13.3931,8,precip_mj,-0.0604278346004973
HadGEM3-GC3-1MM,-12.5,-12.588,13,precip_mj,-0.0740804459698619
HadGEM3-GC3-1MM,-11.5,-11.5321,21,precip_mj,-0.0791553395981925
HadGEM3-GC3-1MM,-10.5,-10.4803,10,precip_mj,-0.0689004342587559
HadGEM3-GC3-1MM,-9.5,-9.6161,7,precip_mj,-0.058053320009196
HadGEM3-GC3-1MM,-8.5,-8.6582,7,precip_mj,-0.0573681308523407
HadGEM3-GC3-1MM,-7.5,-7.6345,8,precip_mj,-0.0414249471886672
HadGEM3-GC3-1MM,-6.5,-6.4299,4,precip_mj,-0.0391149537021896
HadGEM3-GC3-1MM,-5.5,-5.3528,4,precip_mj,-0.0275702693400334
HadGEM3-GC3-1MM,-4.5,-4.3969,4,precip_mj,-0.00540895765852726
IPSL-CM6A-LR,-9.5,-9.3401,5,precip_mj,-0.0428336158310079
IPSL-CM6A-LR,-8.5,-8.4598,8,precip_mj,-0.0423044119251505
IPSL-CM6A-LR,-7.5,-7.5255,19,precip_mj,-0.0488476063349756
IPSL-CM6A-LR,-6.5,-6.5577,11,precip_mj,-0.0555137623283011
IPSL-CM6A-LR,-5.5,-5.5623,13,precip_mj,-0.0376329206470629
IPSL-CM6A-LR,-4.5,-4.3507,11,precip_mj,-0.0221107076479519
IPSL-CM6A-LR,-3.5,-3.4644,8,precip_mj,-0.0222532798320608
IPSL-CM6A-LR,-2.5,-2.5669,9,precip_mj,-0.0264909203481779
IPSL-CM6A-LR,-1.5,-1.2909,6,precip_mj,-0.00867046827933937
IPSL-CM6A-LR,-0.5,-0.6347,8,precip_mj,-0.013653397943044
EC-Earth3,-9.5,-9.1554,4,precip_mj2,0.00683526587933535
EC-Earth3,-8.5,-8.4726,15,precip_mj2,0.0292807961681736
EC-Earth3,-7.5,-7.5562,20,precip_mj2,0.025302400430482
EC-Earth3,-6.5,-6.4767,21,precip_mj2,0.0345061790605187
EC-Earth3,-5.5,-5.3342,8,precip_mj2,0.0228733380413699
EC-Earth3,-4.5,-4.5495,8,precip_mj2,0.0322646402763554
EC-Earth3,-3.5,-3.3459,9,precip_mj2,0.0194482586412002
EC-Earth3,-2.5,-2.4493,5,precip_mj2,0.0325098762885144
EC-Earth3,-1.5,-1.3807,6,precip_mj2,0.00372073831169028
EC-Earth3,-0.5,-0.6596,3,precip_mj2,0.0173710762355314
HadGEM3-GC3-1LL,-8.5,-8.3848,12,precip_mj2,0.0378837350946665
HadGEM3-GC3-1LL,-7.5,-7.5599,19,precip_mj2,0.0282909250986218
HadGEM3-GC3-1LL,-6.5,-6.5442,24,precip_mj2,0.0182665901871985
HadGEM3-GC3-1LL,-5.5,-5.5797,10,precip_mj2,0.0180628573693814
HadGEM3-GC3-1LL,-4.5,-4.5263,6,precip_mj2,0.0369093909662835
HadGEM3-GC3-1LL,-3.5,-3.7835,7,precip_mj2,0.0119387643623036
HadGEM3-GC3-1LL,-2.5,-2.4504,6,precip_mj2,0.0357577372256306
HadGEM3-GC3-1LL,-1.5,-1.3098,8,precip_mj2,0.000733021943360423
HadGEM3-GC3-1LL,-0.5,-0.331,6,precip_mj2,0.00854540090199867
HadGEM3-GC3-1MM,-14.5,-14.3032,4,precip_mj2,0.0480986293983676
HadGEM3-GC3-1MM,-13.5,-13.3931,8,precip_mj2,0.0472214207421878
HadGEM3-GC3-1MM,-12.5,-12.588,13,precip_mj2,0.0567544178386327
HadGEM3-GC3-1MM,-11.5,-11.5321,21,precip_mj2,0.0598197125423666
HadGEM3-GC3-1MM,-10.5,-10.4803,10,precip_mj2,0.0524618524818163
HadGEM3-GC3-1MM,-9.5,-9.6161,7,precip_mj2,0.0436447155224538
HadGEM3-GC3-1MM,-8.5,-8.6582,7,precip_mj2,0.0456001290453041
HadGEM3-GC3-1MM,-7.5,-7.6345,8,precip_mj2,0.0313494283709889
HadGEM3-GC3-1MM,-6.5,-6.4299,4,precip_mj2,0.0307954515155038
HadGEM3-GC3-1MM,-5.5,-5.3528,4,precip_mj2,0.0217225974444861
HadGEM3-GC3-1MM,-4.5,-4.3969,4,precip_mj2,0.00381923602409995
IPSL-CM6A-LR,-9.5,-9.3401,5,precip_mj2,0.0343608170183878
IPSL-CM6A-LR,-8.5,-8.4598,8,precip_mj2,0.0331262438719427
IPSL-CM6A-LR,-7.5,-7.5255,19,precip_mj2,0.0384521194045636
IPSL-CM6A-LR,-6.5,-6.5577,11,precip_mj2,0.0436836742627855
IPSL-CM6A-LR,-5.5,-5.5623,13,precip_mj2,0.0300731197701724
IPSL-CM6A-LR,-4.5,-4.3507,11,precip_mj2,0.0184291869110266
IPSL-CM6A-LR,-3.5,-3.4644,8,precip_mj2,0.0161813501842527
IPSL-CM6A-LR,-2.5,-2.5669,9,precip_mj2,0.0229878503394942
IPSL-CM6A-LR,-1.5,-1.2909,6,precip_mj2,0.00600400742890208
IPSL-CM6A-LR,-0.5,-0.6347,8,precip_mj2,0.00960206057495624
